rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:1xPpYbCaJWonL7IFXPDjON,Aitch,Taste (Make It Shake),Since 93,1,1,6,2906654,2019-09-12
2,spotify:track:51MMC5DogGZAnHil5HQAXg,Post Malone,Circles,Republic Records,2,12,2,2832649,2019-09-12
3,spotify:track:7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,Ladbroke Grove,AJ Tracey,3,3,31,2451935,2019-09-12
4,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,1,2,12,2314023,2019-09-12
5,spotify:track:23GvTfcGK454ppLsts3W44,"Young T & Bugsey, Aitch",Strike a Pose (feat. Aitch),Black Butter,5,10,14,2288429,2019-09-12
6,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,Columbia,2,4,21,2260925,2019-09-12
7,spotify:track:6vBdBCoOhKHiYDDOcorfNo,"Post Malone, Young Thug",Goodbyes (feat. Young Thug),Republic Records,7,15,10,2224522,2019-09-12
8,spotify:track:6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,Sorry,Atlantic Records UK,7,7,8,2184323,2019-09-12
9,spotify:track:77Y7tccX9Hx5iClDr39uy9,Post Malone,Hollywood's Bleeding,Republic Records,9,-1,1,2178202,2019-09-12
10,spotify:track:6EOKwHETwSkZ9gW2b6ASE0,Lil Tecca,Ransom,Republic Records,5,5,14,2075352,2019-09-12
11,spotify:track:4Yq3XUNfWrAPWuB94qkC09,"Post Malone, Ozzy Osbourne, Travis Scott",Take What You Want (feat. Ozzy Osbourne & Travis Scott),Republic Records,11,-1,1,2072362,2019-09-12
12,spotify:track:7C39RtGhnEw7cyf0Pyw7PV,Post Malone,Saint-Tropez,Republic Records,12,-1,1,2027933,2019-09-12
13,spotify:track:6oJ6le65B3SEqPwMRNXWjY,"Kygo, Whitney Houston",Higher Love,Kygo/RCA Records,6,9,11,1997376,2019-09-12
14,spotify:track:70eFcWOvlMObDhURTqT4Fv,"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),Atlantic Records UK,1,6,11,1980640,2019-09-12
15,spotify:track:1AI7UPw3fgwAFkvAlZWhE0,"Ed Sheeran, Stormzy",Take Me Back to London (feat. Stormzy),Atlantic Records UK,4,8,9,1947412,2019-09-12
16,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,1,11,37,1871285,2019-09-12
17,spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?,PLG - Capitol,7,14,8,1732832,2019-09-12
18,spotify:track:5aubXDnDNVKA5pS7EnR0mp,"MIST, Fredo",So High (feat. Fredo),Warner Records,9,13,10,1663495,2019-09-12
19,spotify:track:4VqTRBvYg0z8C4nsl4Hupy,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,3,42,47,1662864,2019-09-12
20,spotify:track:6UFEJuDXQMWhL5UH5f9fUR,"Post Malone, DaBaby",Enemies (feat. DaBaby),Republic Records,20,-1,1,1658281,2019-09-12
21,spotify:track:0SxjNrhMwarsbcgEy0pavJ,Headie One,Both,Relentless Records,18,18,4,1595130,2019-09-12
22,spotify:track:59PYPDxTbqJpiGfyogPb5h,"Post Malone, Halsey, Future",Die For Me (feat. Future & Halsey),Republic Records,22,-1,1,1583696,2019-09-12
23,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),23,29,6,1575488,2019-09-12
24,spotify:track:3hFG4jR5stnIQJDI64KlJY,Post Malone,A Thousand Bad Times,Republic Records,24,-1,1,1503767,2019-09-12
25,spotify:track:3z4CGd63tpUn9a6oQSG0CI,"Dave, Burna Boy",Location (feat. Burna Boy),Neighbourhood,9,16,27,1458082,2019-09-12
26,spotify:track:0hGH0S74Eoyv6mXZcOKtdQ,"Post Malone, Meek Mill, Lil Baby",On The Road (feat. Meek Mill & Lil Baby),Republic Records,26,-1,1,1451793,2019-09-12
27,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),Atlantic Records UK,1,17,18,1413682,2019-09-12
28,spotify:track:0Ryd8975WihbObpp5cPW1t,"Ariana Grande, Social House",boyfriend (with Social House),Republic Records,5,19,6,1389602,2019-09-12
29,spotify:track:584UC3Qpm8SbYd7aRWKREu,"Aitch, ZieZie",Buss Down (feat. ZieZie),Since 93,29,-1,1,1381379,2019-09-12
30,spotify:track:36orMWv2PgvnzXsd5CJ0yL,"Sam Feldt, RANI",Post Malone (feat. RANI),Spinnin' Remixes,23,23,11,1366316,2019-09-12
31,spotify:track:5pAbCxt9e3f81lOmjIXwzd,"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy),FAMM,22,22,4,1355455,2019-09-12
32,spotify:track:0Zp10WiPeEi6EUJZvWcNT9,Mabel,Mad Love,Polydor Records,11,20,14,1288040,2019-09-12
33,spotify:track:4LIbjDbLweGCrHVw8QbMSb,Post Malone,Allergic,Republic Records,33,-1,1,1279755,2019-09-12
34,spotify:track:3Yh9lZcWyKrK9GjbhuS0hR,Lizzo,Good as Hell,Nice Life/Atlantic,21,21,10,1261024,2019-09-12
35,spotify:track:2ve5NyzWHUbIYxL33goCX7,Post Malone,Wow.,Republic Records,2,73,38,1245629,2019-09-12
36,spotify:track:2leIuE4fdcJoNMSKu5Yr7a,"Post Malone, SZA",Staring At The Sun (feat. SZA),Republic Records,36,-1,1,1211200,2019-09-12
37,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,1,25,24,1198558,2019-09-12
38,spotify:track:6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,Outnumbered,Riggins Recording Limited,32,32,13,1179378,2019-09-12
39,spotify:track:44ZJ4hLD5onikKsVLQaILr,Stormzy,Vossi Bop,#Merky Records,1,28,20,1177106,2019-09-12
40,spotify:track:4hDoWaIklSVAKLocU3IDBr,Post Malone,I'm Gonna Be,Republic Records,40,-1,1,1157706,2019-09-12
41,spotify:track:5RgBnDtHKFHgtVdqabjGE3,"Jax Jones, Bebe Rexha",Harder (with Bebe Rexha),Polydor Records,30,30,9,1157194,2019-09-12
42,spotify:track:1yAPglN5AGf7UoLK062ZYq,"Sigala, Becky Hill",Wish You Well,Ministry of Sound Recordings,11,26,16,1139028,2019-09-12
43,spotify:track:2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,Ministry of Sound Recordings,43,51,4,1129564,2019-09-12
44,spotify:track:7fuSDngvlH3PJs3MbKVWNu,Stormzy,Sounds of the Skeng,Atlantic Records UK,44,-1,1,1114005,2019-09-12
45,spotify:track:5qmq61DAAOUaW8AUo8xKhh,Lizzo,Truth Hurts,Nice Life/Atlantic,33,36,20,1112233,2019-09-12
46,spotify:track:322tcqPhma7F6hfCeLisx0,"Lauv, Anne-Marie","fuck, i'm lonely",Lauv,34,34,6,1097074,2019-09-12
47,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,"Chris Brown, Drake",No Guidance (feat. Drake),Chris Brown Entertainment/RCA Records,8,31,14,1095066,2019-09-12
48,spotify:track:2nyTaLu3TTrSS6CAxR3z0b,"Ed Sheeran, Jaykae, Aitch, Stormzy","Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",Atlantic Records UK,27,27,3,1077598,2019-09-12
49,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,Panini,Columbia,20,50,12,1063106,2019-09-12
50,spotify:track:60iSKGrGazRzICtMjADNSM,Lewis Capaldi,Hold Me While You Wait,Vertigo Berlin,4,24,19,1044067,2019-09-12
51,spotify:track:5tZWtGT65sMrDVPB5H444n,Freya Ridings,Castles,Good Soldier Records/Capitol Records,27,33,10,958282,2019-09-12
52,spotify:track:0rIAC4PXANcKmitJfoqmVm,Normani,Motivation,Keep Cool/RCA Records,39,39,4,952807,2019-09-12
53,spotify:track:1DFD5Fotzgn6yYXkYsKiGs,"MEDUZA, Goodboys",Piece Of Your Heart,Virgin,1,37,26,948398,2019-09-12
54,spotify:track:51Fjme0JiitpyXKuyQiCDo,"Y2K, bbno$",Lalala,Columbia,41,41,12,940965,2019-09-12
55,spotify:track:2YpeDb67231RjR0MgVLzsG,"Lil Nas X, Billy Ray Cyrus",Old Town Road (feat. Billy Ray Cyrus) - Remix,Columbia,3,38,23,924904,2019-09-12
56,spotify:track:5wIjM4q7oIgiLqn8Qfoyxh,"Russ Millions, Tion Wayne, Aitch, Swarmz, Sav'o, JAY1",Keisha & Becky - Remix,EMI,15,44,22,884627,2019-09-12
57,spotify:track:4YgtN1HasxdDlrrZIggYxn,Post Malone,Myself,Republic Records,57,-1,1,883948,2019-09-12
58,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,16,35,4,880015,2019-09-12
59,spotify:track:5ry2OE6R2zPQFDO85XkgRb,"Drake, Rick Ross",Money In The Grave (Drake ft. Rick Ross),Republic Records,15,40,13,866727,2019-09-12
60,spotify:track:2sfZgYusD8bBvB7qWekvSx,Post Malone,I Know,Republic Records,60,-1,1,866119,2019-09-12
61,spotify:track:4RzpCjByV1NWUGKVQGuej6,Post Malone,Internet,Republic Records,61,-1,1,859050,2019-09-12
62,spotify:track:7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,Liar,Syco Music/Epic,62,-1,1,840212,2019-09-12
63,spotify:track:3DKCTIiJ97bS9TGiqcABjo,"Dave, AJ Tracey",Thiago Silva,Tropics Records,10,49,11,770227,2019-09-12
64,spotify:track:3M9Apu4OZfylLTFKvgEtKa,"Tiësto, Jonas Blue, Rita Ora",Ritual,"Universal Music, a division of Universal International Music BV",39,45,15,765671,2019-09-12
65,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,"Ed Sheeran, Camila Cabello, Cardi B",South of the Border (feat. Camila Cabello & Cardi B),Atlantic Records UK,8,47,9,730892,2019-09-12
66,spotify:track:4wuCQX7JvAZLlrcmH4AeZF,"Ed Sheeran, Chance the Rapper, PnB Rock",Cross Me (feat. Chance the Rapper & PnB Rock),Atlantic Records UK,5,46,16,728901,2019-09-12
67,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,Bruises,Vertigo Berlin,9,54,33,713666,2019-09-12
68,spotify:track:4QEMi9FXOolfFFlLFUIolw,D-Block Europe,Home P*ssy,D-Block Europe,28,53,10,697553,2019-09-12
69,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,You Need To Calm Down,Taylor Swift,12,43,13,697367,2019-09-12
70,spotify:track:44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,Slide Away,RCA/Legacy,56,58,4,695123,2019-09-12
71,spotify:track:4y90aFUvxkibo5m3XUzaBd,"Aitch, Tyreezy",Already (feat. Tyreezy),Since 93,71,-1,1,679908,2019-09-12
72,spotify:track:3s4mrPrEFFPF0LmAfutW0n,"Young Thug, J. Cole, Travis Scott",The London (feat. J. Cole & Travis Scott),300 Entertainment/Atl,18,56,16,639803,2019-09-12
73,spotify:track:6UclKcQnlOzKOPxXrt4hd4,Aitch,Intro,Since 93,73,-1,1,632825,2019-09-12
74,spotify:track:4GnyYF4eMbgYQB7ulg73I9,"Aitch, MoStack, Steel Banglez",Weekday (feat. Mo$tack & Steel Banglez),Since 93,74,-1,1,627103,2019-09-12
75,spotify:track:2Fpnm7xLo2nVB7UrxK9yAe,Aitch,2 G's,Since 93,75,-1,1,617610,2019-09-12
76,spotify:track:3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,The Man,Taylor Swift,25,48,3,615393,2019-09-12
77,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,3,70,50,614064,2019-09-12
78,spotify:track:78KyOmqWmqLkQcXO1cA7MO,"Steel Banglez, AJ Tracey, MoStack",Fashion Week (feat. AJ Tracey & MoStack),Warner Records,7,63,25,608438,2019-09-12
79,spotify:track:7d8GetOsjbxYnlo6Y9e5Kw,The Killers,Mr. Brightside,Island Records,37,64,142,607255,2019-09-12
80,spotify:track:27iStw5WlAk7DbaItmd2ua,Aitch,What's Next,Since 93,80,-1,1,600453,2019-09-12
81,spotify:track:1hxE8xAp7CrBsdpiRpiWFy,Stormzy,Crown,Atlantic Records UK,8,55,12,582805,2019-09-12
82,spotify:track:2hN5zu0d36ccHGHINeo1Mg,JAY1,Mocking It,GRM Daily Records,23,67,12,579988,2019-09-12
83,spotify:track:6u8epWzzk3CsJ05sqExF6T,"Becky Hill, WEISS",I Could Get Used To This,Polydor Records,59,59,11,577195,2019-09-12
84,spotify:track:2cytBOLpwFRX7J9URCrFIe,"NSG, Tion Wayne",Options,NSG Entertainment,8,76,37,576863,2019-09-12
85,spotify:track:5WHTFyqSii0lmT9R21abT8,Mabel,Don't Call Me Up,Polydor Records,3,68,34,576040,2019-09-12
86,spotify:track:2x0RZdkZcD8QRI53XT4GI5,"Avicii, Aloe Blacc",SOS (feat. Aloe Blacc),Universal Music AB,6,61,22,567608,2019-09-12
87,spotify:track:6moU77g9RQyMzHNuKEaQKq,Ali Gatie,It's You,Warner Records,60,69,12,565550,2019-09-12
88,spotify:track:3zgKEF4I4ILmTTSBvtiRlJ,"Wiley, Kranium, Dappy, Tory Lanez","My One (feat. Tory Lanez, Kranium & Dappy)",Relentless Records,66,66,10,564085,2019-09-12
89,spotify:track:0SErNy2An0gCpYFRUNWwNT,"Hardy Caprio, DigDat",Guten Tag,EMI,20,72,19,563485,2019-09-12
