rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
88,spotify:track:1M8t1j3Kv2qp97bdq5q4Vl,Tom Santa,Rainfall (Praise You),Polydor Records,49,74,14,516738,2022-09-01
89,spotify:track:6VIYEyjNW71NnIGEduf8D8,Tom Grennan,Remind Me,Insanity Records,59,81,16,513815,2022-09-01
90,spotify:track:3DQVgcqaP3iSMbaKsd57l5,Arctic Monkeys,I Bet You Look Good On The Dancefloor,Domino Recording Co,90,113,17,507845,2022-09-01
91,spotify:track:4hJhHbkhZFnxmWbAkZRoe0,"Fireboy DML, Ed Sheeran",Peru,YBNL Nation / EMPIRE,6,83,36,505840,2022-09-01
92,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,1,94,192,505787,2022-09-01
93,spotify:track:0FDzzruyVECATHXKHFs9eJ,Coldplay,A Sky Full of Stars,Parlophone UK,84,84,3,505416,2022-09-01
94,spotify:track:29tzJGvqJPTAFs6LXmsHoA,Arctic Monkeys,R U Mine?,Domino Recording Co,94,130,12,504932,2022-09-01
95,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,57,96,76,502718,2022-09-01
96,spotify:track:75JFxkI2RXiU7L9VXzMkle,Coldplay,The Scientist,Parlophone Records Limited,77,77,3,500627,2022-09-01
97,spotify:track:2hZ17zF5a03Ly4by80wI2M,"Headie One, Abra Cadabra, Bandokay",Can't Be Us,Relentless Records,38,62,4,499110,2022-09-01
98,spotify:track:0UvCh63URrLFcPkKt99hHd,Oasis,Don't Look Back in Anger - Remastered,Big Brother,44,86,242,497693,2022-09-01
99,spotify:track:3sNVsP50132BTNlImLx70i,Kanye West,Bound 2,Rock The World/IDJ/Kanye/LP6,99,131,26,494900,2022-09-01
100,spotify:track:1bgKMxPQU7JIZEhNsM1vFs,"Alesso, Zara Larsson",Words (feat. Zara Larsson),10:22PM,100,112,3,494752,2022-09-01
101,spotify:track:78ywqAbY9QktwlTHyc8c4I,"D-Block Europe, Ghost Killer Track",Elegant & Gang,D-Block Europe,26,99,12,492889,2022-09-01
102,spotify:track:0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,Sex on Fire,RCA/Legacy,81,93,77,492108,2022-09-01
103,spotify:track:337kcYVjYXdLBItCw9ry3b,"D-Block Europe, Central Cee",Overseas,D-Block Europe,2,102,41,491963,2022-09-01
104,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,12,67,5,488861,2022-09-01
105,spotify:track:2wGSgTmgSF3xjRrHkTc25R,"The Game, 50 Cent",Hate It Or Love It,Geffen,46,85,10,488391,2022-09-01
106,spotify:track:40CqacI9p2CRWPXKUNppPW,"D-Block Europe, Young Adz",Man In The Mirror,D-Block Europe,106,-1,1,477590,2022-09-01
107,spotify:track:3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,Red Zone Entertainment / IDJ,15,100,34,476439,2022-09-01
108,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,11,106,60,473483,2022-09-01
109,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,108,46,473330,2022-09-01
110,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,51,109,56,473091,2022-09-01
111,spotify:track:3Oww84xrmgjyr5J1ilOmAf,"Luude, Colin Hay",Down Under (feat. Colin Hay),Sweat It Out,4,101,35,472921,2022-09-01
112,spotify:track:1FxSStcuz43FhiB5KAFWc0,"HStikkytokky, J Fado, DMC",Hold This,HStikkytokky x J Fado,49,55,4,471316,2022-09-01
113,spotify:track:1Hohk6AufHZOrrhMXZppax,Beyoncé,ALIEN SUPERSTAR,Parkwood Entertainment/Columbia,14,73,5,470808,2022-09-01
114,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,38,117,17,470354,2022-09-01
