collab_artist,number of times,main_artist
DJ Maphorisa,2,Young Stunna
Kabza De Small,2,Young Stunna
Visca,1,Young Stunna
Daliwonga,1,Young Stunna
Deeper Phil,1,Young Stunna
Mfundo Da DJ,1,Young Stunna
Nkulee501,1,Young Stunna
Sleazy,1,Young Stunna
Big Zulu,1,Young Stunna
Madumane,1,Young Stunna
Skroef 28,1,Young Stunna
Mellow,1,Young Stunna
Black Motion,1,Young Stunna
