main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
GIRIBOY,195,74,6,8,0,0,0,1555,603,2021,1,1,2023,11,27,193
GOT the beat,164,2,2,43,1,0,0,1275,862,2022,1,1,2023,9,31,13
GRAY,179,122,1,3,0,0,0,1023,1009,2022,9,15,2022,9,29,122
Gaeko,166,3,2,28,0,0,0,1345,1156,2021,1,2,2022,12,31,163
Gaho,160,89,1,5,0,0,0,1611,1583,2021,2,4,2021,3,25,159
Galantis,176,64,1,15,0,0,0,1499,1401,2021,5,1,2021,9,29,128
Geegooin,176,48,1,3,0,0,0,1317,1303,2021,11,2,2021,12,25,48
Geeks,200,91,1,43,0,0,0,295,1,2024,1,1,2025,12,31,200
Gen Hoshino,198,75,1,12,0,0,0,1177,1100,2022,4,2,2022,6,30,108
Gguggugi,155,155,1,1,0,0,0,813,813,2023,4,13,2023,4,13,155
Girls' Generation,198,6,4,26,1,0,0,1058,197,2022,1,1,2024,12,29,13
Giveon,200,13,3,98,0,0,0,1597,435,2021,1,1,2024,12,31,144
Glass Animals,197,14,1,102,0,0,0,1611,736,2021,1,1,2023,12,31,172
Gloria Gaynor,182,167,1,2,0,0,0,785,778,2023,5,11,2023,5,18,182
Gracie Abrams,199,129,1,6,0,0,0,232,169,2024,1,2,2025,12,26,199
Grizzly,190,141,1,3,0,0,0,1002,988,2022,10,6,2022,10,20,181
GroovyRoom,199,15,3,36,0,0,0,1023,414,2022,1,1,2024,12,30,189
Gunna,194,73,2,19,0,0,0,1254,631,2022,1,3,2023,10,31,99
Gwangil Jo,177,15,5,16,0,0,0,1345,1240,2021,1,2,2022,12,30,141
Gwen Stefani,197,88,1,5,0,0,0,1289,554,2021,12,22,2023,12,30,102
GyeongseoYeji,196,76,1,72,0,0,0,1366,288,2021,1,1,2024,12,31,194
H.E.R.,188,70,1,5,0,0,0,1527,1499,2021,4,6,2021,5,29,70
H1-KEY,198,85,1,14,1,0,0,869,701,2023,2,2,2023,8,30,160
HAECHAN,131,131,1,1,0,0,0,1212,1212,2022,3,10,2022,3,10,131
HANRORO,174,174,1,2,0,0,0,64,57,2025,5,1,2025,5,8,174
HAON,198,24,2,28,0,0,0,456,8,2024,1,1,2025,12,30,173
