main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
BTS,200,1,56,188,0,1,0,2318,750,2019,1,1,2023,12,31,126
Baani Sandhu,200,27,1,78,0,0,0,2108,1394,2019,1,1,2021,12,31,131
Bad Bunny,198,55,3,20,0,0,0,2318,1674,2019,2,2,2020,12,28,58
Badshah,200,1,26,324,0,0,0,2318,8,2019,1,1,2025,12,31,103
Baggh-e SMG,182,148,1,3,0,0,0,78,64,2025,4,1,2025,5,24,148
Barney Sku,199,80,1,31,0,0,0,897,680,2023,1,1,2023,8,30,126
Bayaan,189,4,2,14,0,0,0,120,29,2025,3,1,2025,6,29,189
BeatRAW,185,138,1,3,0,0,0,2269,2255,2019,4,2,2019,5,25,155
Becky G,190,91,1,11,0,0,0,1674,1604,2020,1,3,2021,12,31,182
Bella Poarch,185,15,1,21,0,0,0,1506,1366,2021,5,1,2021,10,30,170
Beyonc,188,188,1,1,0,0,0,2262,2262,2019,4,25,2019,4,25,188
Bheems Ceciroleo,183,145,2,4,0,0,0,897,862,2023,1,16,2023,2,26,183
Bhuvan Bam,182,36,2,5,0,0,0,2059,1807,2019,7,14,2020,11,28,36
Bilal Saeed,199,46,2,83,0,0,0,2038,1156,2019,1,1,2022,12,31,116
Billie Eilish,200,3,20,218,0,0,0,2318,351,2019,1,1,2024,12,31,13
Bir,200,87,1,39,0,0,0,799,435,2023,1,1,2024,12,31,156
Black Eyed Peas,199,181,1,3,0,0,0,2052,2003,2019,1,5,2020,12,21,191
Blue,157,94,1,3,0,1,0,435,421,2024,4,2,2024,5,25,105
Blueface,187,41,2,3,0,0,0,2318,2304,2019,2,7,2019,3,28,41
Bohemia,200,53,1,85,0,0,0,2101,288,2019,1,1,2024,12,31,129
Bombay the Artist,187,122,1,5,0,0,0,281,253,2024,9,3,2024,10,26,122
Boney M.,200,194,1,2,0,0,0,1541,1527,2021,4,15,2021,4,29,194
BoyWithUke,194,100,1,15,0,0,0,1324,1142,2021,3,2,2022,12,31,145
Bruno Mars,195,38,2,24,0,0,0,1576,1415,2021,3,1,2021,8,29,189
Bunny,174,8,1,51,0,0,0,372,8,2024,1,1,2025,12,31,134
CJ,189,35,1,22,0,0,0,1653,1506,2020,1,1,2021,12,31,182
CKay,196,4,3,54,0,0,0,1380,1002,2021,1,1,2022,12,31,21
Calvin Harris,198,32,3,32,0,0,0,2318,946,2019,2,1,2022,12,30,173
Camila Cabello,200,18,8,77,0,0,0,2318,1156,2019,1,1,2022,12,31,86
Cardi B,200,13,2,42,0,0,0,1786,1478,2020,1,1,2021,12,31,97
Catej Molic,158,147,1,2,0,0,0,785,757,2023,5,8,2023,6,11,158
Cecilia Krull,180,119,1,4,0,0,0,1912,1891,2020,4,9,2020,4,30,124
Chamath Sangeeth,199,10,1,20,0,0,0,1429,1002,2021,8,2,2022,12,30,175
Chandana Dixit,195,97,1,4,0,0,0,1660,1639,2020,1,7,2021,12,31,97
Chani Nattan,193,5,1,99,0,0,0,1044,358,2022,1,1,2024,12,31,168
Charlie Puth,199,4,6,157,0,0,0,1891,253,2020,1,1,2024,12,31,184
Charly Black,181,174,1,3,0,0,0,1471,1457,2021,6,1,2021,7,24,180
Cheema Y,200,27,3,93,0,0,0,764,29,2023,1,1,2025,12,31,67
Chinmayi,175,51,2,7,0,0,0,2276,8,2019,4,2,2025,6,26,84
Chris Brown,191,7,3,67,0,0,0,2213,687,2019,1,1,2023,12,30,116
Clean Bandit,199,81,1,9,0,0,0,1261,1205,2022,1,3,2022,3,27,199
Coldplay,199,5,4,41,0,0,0,1373,281,2021,1,1,2024,12,31,5
Conan Gray,191,110,1,12,0,0,0,1765,1688,2020,9,1,2020,11,29,186
Connie Francis,156,125,2,3,0,0,0,43,29,2025,5,5,2025,6,29,125
Coolio,199,165,1,2,0,0,0,988,981,2022,10,20,2022,10,27,165
Curtis Waters,198,111,1,9,0,0,0,1793,1730,2020,8,3,2020,10,27,175
DG IMMORTALS,192,10,1,22,0,0,0,911,764,2023,1,1,2023,6,30,165
DHARIA,200,82,1,56,0,0,0,2199,1338,2019,1,1,2021,12,31,186
DIVINE,199,2,28,195,1,0,0,2318,120,2019,1,1,2025,12,31,163
DJ Khaled,188,27,4,17,0,0,0,2318,1681,2019,2,1,2020,11,30,187
DJ MOHAN kanker,182,182,1,1,0,0,0,526,526,2024,1,25,2024,1,25,182
DJ Snake,200,28,7,214,0,0,0,2318,582,2019,1,1,2023,12,31,31
DaBaby,198,6,2,50,0,0,0,2241,1569,2019,1,1,2021,12,31,181
Dabzee,200,24,4,33,0,0,0,1051,78,2022,4,1,2025,11,29,76
Daddy Yankee,172,5,2,32,0,0,0,2318,666,2019,2,2,2023,9,31,5
Dalex,174,141,1,4,0,0,0,2290,2269,2019,3,4,2019,4,28,141
Danny,186,10,1,71,0,0,0,512,8,2024,1,1,2025,12,31,30
Darbuka Siva,194,24,1,47,0,0,0,1247,820,2022,2,1,2023,10,31,31
Darsh Dhaliwal,194,194,1,1,0,0,0,1625,1625,2021,1,21,2021,1,21,194
Darshan Raval,200,2,25,283,0,0,0,2318,50,2019,1,1,2025,12,31,95
David Guetta,200,106,1,22,0,0,0,1457,1177,2021,1,2,2022,9,31,200
David Kushner,189,101,1,13,0,0,0,722,638,2023,7,3,2023,10,31,108
Daya,125,93,1,4,0,0,0,2283,2262,2019,4,4,2019,4,25,122
Dean Lewis,193,172,1,2,0,0,0,2318,2290,2019,2,28,2019,3,28,172
Deep Bajwa,200,200,1,1,0,0,0,1247,1247,2022,2,3,2022,2,3,200
Deep Jandu,199,57,2,32,0,0,0,2150,680,2019,1,1,2023,9,30,183
Deepak Blue,149,82,1,4,0,0,0,1170,1149,2022,4,5,2022,5,28,105
Deepthi Suresh,178,27,1,11,0,0,0,134,64,2025,2,1,2025,5,27,132
Demi Lovato,187,95,2,6,0,0,0,1940,1142,2020,3,5,2022,5,28,114
Denny,196,14,1,49,0,0,0,757,386,2023,1,1,2024,12,31,123
Dev Negi,154,133,2,3,0,0,0,2031,463,2019,3,9,2024,12,28,133
Deva,179,80,1,4,0,0,0,617,596,2023,10,2,2023,11,26,80
Devi Sri Prasad,198,2,12,82,0,0,0,1597,92,2021,1,1,2025,12,31,54
Dhanda Nyoliwala,198,6,4,50,0,0,0,470,8,2024,1,1,2025,12,31,105
Dhanunjay Seepana,200,190,1,2,0,0,0,974,946,2022,11,1,2022,12,3,200
Dhanush,199,4,5,53,0,0,0,2318,841,2019,1,1,2023,12,30,104
Dhee,194,3,2,19,0,0,0,1576,29,2021,3,1,2025,7,29,71
Dhibu Ninan Thomas,196,14,7,125,0,0,0,2297,183,2019,1,1,2025,12,31,140
Dhruv,197,75,1,38,0,0,0,1422,918,2021,6,1,2022,12,30,162
Dhruv Vikram,185,185,1,1,0,0,0,533,533,2024,1,18,2024,1,18,185
Dhvani Bhanushali,198,3,5,122,0,0,0,2276,771,2019,1,1,2023,12,31,27
Dikshant,198,38,1,62,0,0,0,1163,715,2022,1,1,2023,12,30,177
Diljit Dosanjh,200,1,42,270,0,0,0,2318,8,2019,1,1,2025,12,31,189
Dilpreet Dhillon,195,9,6,21,0,0,0,2059,1415,2019,3,1,2021,11,30,123
Dimitri Vegas & Like Mike,170,48,1,7,0,0,0,2185,2143,2019,7,1,2019,8,25,48
Dino James,200,67,2,37,0,0,0,2031,1688,2019,1,1,2020,12,30,91
Diplo,198,138,1,2,0,0,0,2101,2087,2019,10,3,2019,10,17,138
Divya Kumar,200,147,1,21,0,0,0,449,8,2024,2,1,2025,11,31,167
Dj Akash Rx,178,136,1,2,0,0,0,778,757,2023,5,8,2023,6,18,136
Djo,170,105,1,23,0,0,0,463,309,2024,3,1,2024,8,30,165
Doja Cat,200,6,11,127,0,0,0,2024,540,2019,1,1,2024,12,31,199
Dominic Fike,171,99,1,3,0,0,0,2255,2241,2019,5,2,2019,5,16,171
Don Patricio,149,149,1,1,0,0,0,2318,2318,2019,2,28,2019,2,28,149
Dove Cameron,190,128,1,7,0,0,0,1212,1170,2022,3,7,2022,4,31,136
Dr Zeus,196,135,1,4,0,0,0,106,85,2025,3,3,2025,4,27,180
Drake,199,4,11,110,0,0,0,2318,1170,2019,1,1,2022,12,31,131
Dream Note,196,162,1,8,0,0,0,1107,1009,2022,6,4,2022,9,30,180
DripReport,199,3,2,31,0,0,0,1933,1723,2020,3,1,2020,10,30,49
Dua Lipa,199,8,6,131,0,0,0,2318,1058,2019,1,1,2022,12,31,124
Dub Sharma,87,72,1,3,0,0,0,2269,2255,2019,4,2,2019,5,25,78
Duncan Laurence,199,7,1,91,0,0,0,1590,960,2021,1,1,2022,12,31,144
EVERGLOW,196,196,1,1,1,0,0,2269,2269,2019,4,18,2019,4,18,196
Ed Sheeran,200,1,10,302,0,0,0,2318,8,2019,1,1,2025,12,31,87
Edward Maya,101,101,1,1,0,0,0,701,701,2023,8,3,2023,8,3,101
Elley Duh,194,12,1,87,0,0,0,1275,673,2022,1,1,2023,12,31,194
Ellie Goulding,198,62,5,160,0,0,0,2318,1135,2019,1,1,2022,12,31,99
ElyOtto,193,6,1,24,0,0,0,1576,1415,2021,3,1,2021,8,29,85
Ember Island,188,57,1,12,0,0,0,1625,1548,2021,1,1,2021,4,28,125
Eminem,196,11,10,55,0,0,0,2318,722,2019,1,1,2023,12,30,145
Emiway Bantai,199,46,6,49,0,0,0,2318,764,2019,1,1,2023,12,31,52
FIFTY FIFTY,181,19,1,17,1,0,0,806,694,2023,4,1,2023,8,29,151
FLETCHER,163,34,1,6,0,0,0,2304,2269,2019,3,4,2019,4,28,163
Faheem Abdullah,185,2,3,63,0,0,0,456,8,2024,1,1,2025,12,31,143
Faridkot,198,39,1,11,0,0,0,1051,946,2022,8,1,2022,12,29,198
Faris Shafi,193,151,1,6,0,0,0,351,316,2024,7,1,2024,8,25,163
Florence + The Machine,158,130,1,2,0,0,0,2262,2255,2019,4,2,2019,5,25,130
Foushe,195,131,1,6,0,0,0,1688,1653,2020,11,3,2020,12,26,171
French Montana,193,146,1,2,0,0,0,2101,2094,2019,10,3,2019,10,10,146
Fujii Kaze,197,42,1,29,0,0,0,974,778,2022,1,1,2023,12,30,104
Future,196,45,1,11,0,0,0,1996,1926,2020,1,5,2020,3,30,48
G. V. Prakash,200,9,10,87,0,0,0,1961,29,2020,1,1,2025,12,31,163
G.D. Kaur,189,47,1,15,0,0,0,967,869,2022,1,1,2023,12,29,187
GAYLE,180,16,1,26,0,0,0,1310,1135,2021,1,2,2022,12,31,55
Gagan Kokri,196,196,1,1,0,0,0,2059,2059,2019,11,14,2019,11,14,196
Gajendra Verma,199,12,4,256,0,0,0,2164,8,2019,1,1,2025,12,31,196
Garry Sandhu,199,15,7,82,0,0,0,2255,757,2019,1,1,2023,12,31,39
Gauntlet.,171,128,1,4,0,0,0,736,715,2023,6,6,2023,7,29,169
Gaurav Chatterji,195,78,1,35,0,0,0,694,323,2023,1,2,2024,12,31,109
Giveon,183,8,1,22,0,0,0,1576,1429,2021,3,1,2021,8,29,156
Glass Animals,200,3,1,124,0,0,0,1443,8,2021,1,1,2025,12,31,107
Gourov-Roshin,158,136,1,2,0,0,0,2227,2220,2019,5,6,2019,6,30,158
Govind Vasantha,193,55,1,17,0,0,0,638,323,2023,2,1,2024,12,30,86
GowraHari,177,166,1,4,0,0,0,463,442,2024,3,4,2024,4,28,176
Gowtham Bharadwaj,166,106,1,3,0,0,0,2164,2150,2019,8,1,2019,8,15,106
Gulab Sidhu,196,31,2,15,0,0,0,1695,953,2020,1,3,2022,12,31,56
Gur Sidhu,177,115,3,11,0,0,0,1541,1135,2021,4,5,2022,8,29,143
Guri,199,63,1,32,0,0,0,2311,771,2019,3,1,2023,9,30,170
Gurnazar,197,14,3,70,0,0,0,1422,8,2021,1,1,2025,12,31,108
Guru Randhawa,200,1,27,221,0,0,0,2318,8,2019,1,1,2025,12,31,199
Gym Class Heroes,199,12,1,97,0,0,0,1611,799,2021,1,1,2023,12,31,186
HVME,200,128,1,13,0,0,0,1646,1541,2020,1,1,2021,12,31,195
Hailee Steinfeld,192,128,2,16,0,0,0,2318,2199,2019,2,4,2019,6,30,182
Halsey,199,11,5,147,0,0,0,2318,1219,2019,1,1,2022,12,31,12
Hamza Malik,177,148,1,3,0,0,0,722,708,2023,7,13,2023,7,27,177
Hansraj Raghuwanshi,169,107,2,2,0,0,0,526,127,2024,1,25,2025,2,27,107
Hanumankind,174,2,2,19,0,0,0,337,85,2024,3,1,2025,10,31,42
Happy Raikoti,155,155,1,1,0,0,0,2143,2143,2019,8,22,2019,8,22,155
Haricharan,198,10,3,45,0,0,0,1303,155,2021,1,1,2025,12,31,51
Hariharan,194,31,1,148,0,0,0,1072,8,2022,1,1,2025,12,31,194
Harkirat Sangha,199,179,2,2,0,0,0,701,358,2023,7,3,2024,8,11,179
Harnoor,200,1,7,104,0,0,0,1723,939,2020,1,1,2022,12,31,114
Harrdy Sandhu,198,2,9,146,0,0,0,2318,169,2019,1,1,2025,12,31,77
Harris Jayaraj,173,51,1,15,0,0,0,918,813,2022,1,2,2023,12,30,98
Harry Styles,200,5,6,180,0,0,0,2087,743,2019,1,1,2023,12,31,23
Harsh Likhari,163,132,1,6,0,0,0,414,379,2024,5,6,2024,6,30,163
