rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
66,spotify:track:6Poyf51k7W3NKnsGwAI90B,Nicki Minaj,Barbie Dreams,Young Money/Cash Money Records,66,-1,1,651271,2018-08-16
67,spotify:track:4VUwkH455At9kENOfzTqmF,"Bazzi, Camila Cabello",Beautiful (feat. Camila Cabello),iamcosmic,67,106,2,637812,2018-08-16
68,spotify:track:3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Be Alright,Universal Music Australia Pty. Ltd.,68,109,2,633149,2018-08-16
69,spotify:track:630sXRhIcfwr2e4RdNtjKN,"Zac Efron, Zendaya",Rewrite The Stars,Atlantic Records,10,82,33,629898,2018-08-16
70,spotify:track:1keIwLlHg0VZhoQQiTb0Xi,"Shakka, AlunaGeorge, Aluna",Man Down (feat. AlunaGeorge),TrakHouse Records,22,78,24,629161,2018-08-16
71,spotify:track:6lU7kJ6k1oUew36PbPl15E,"Geko, NSG",6:30,All Around The World,69,88,12,626911,2018-08-16
72,spotify:track:6rekLbbb3i42gCgFIXOFvE,"Josh Dylan, Lily James, Hugh Skinner",Why Did It Have To Be Me?,Polydor Records,70,80,4,624769,2018-08-16
73,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes,"Bad Vibes Forever, LLC",24,84,15,606827,2018-08-16
74,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,89,84,603858,2018-08-16
75,spotify:track:0RoA7ObU6phWpqhlC9zH4Z,"Ziv Zaifman, Hugh Jackman, Michelle Williams",A Million Dreams,Atlantic Records,32,90,33,601774,2018-08-16
76,spotify:track:0kHyKhJMukHEPfeh8s7rdM,"Kygo, Imagine Dragons",Born To Be Yours,Kygo,66,81,9,596990,2018-08-16
77,spotify:track:55GiOwtxNajXVbpjjIzMnD,Tyga,SWISH,Last Kings Music / EMPIRE,77,98,3,556983,2018-08-16
78,spotify:track:1rfofaqEpACxVEHIZBJe6W,"Camila Cabello, Young Thug",Havana (feat. Young Thug),Syco Music/Epic,2,94,54,554907,2018-08-16
79,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,"BlocBoy JB, Drake",Look Alive (feat. Drake),Bloc Nation,9,91,27,553508,2018-08-16
80,spotify:track:38TgLPNHsPzgqri5G4SPun,"Nicki Minaj, Labrinth, Eminem",Majesty (with Labrinth & feat. Eminem),Young Money/Cash Money Records,80,-1,1,551477,2018-08-16
81,spotify:track:45Egmo7icyopuzJN0oMEdk,"Khalid, Normani",Love Lies,RCA Records Label,10,93,26,543445,2018-08-16
82,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,The Killers,Mr. Brightside,Island Records,37,97,86,542544,2018-08-16
83,spotify:track:15DwFznkBJir7AK9PyMyRR,MK,17,Columbia,9,76,48,538235,2018-08-16
84,spotify:track:0Gl5s8IhMmQE5YQwM8Qx1J,Loren Allred,Never Enough,Atlantic Records,35,104,33,534117,2018-08-16
85,spotify:track:10Igtw8bSDyyFs7KIsKngZ,"Lil Dicky, Chris Brown",Freaky Friday (feat. Chris Brown),Commission/BMG,2,92,22,532935,2018-08-16
86,spotify:track:2cKovq3l6OJjhVVDbVKOsr,"Hugh Jackman, Zac Efron",The Other Side,Atlantic Records,34,105,33,526075,2018-08-16
87,spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,Warner Records,1,101,59,525585,2018-08-16
88,spotify:track:3D1rlKmZdpYUeMtRRLNawc,"Rudimental, Major Lazer, Anne-Marie, Mr Eazi",Let Me Live (feat. Anne-Marie & Mr Eazi),Atlantic Records UK,79,95,9,515797,2018-08-16
