collab_artist,number of times,main_artist
Ozuna,2,Sech
Daddy Yankee,2,Sech
Darell,2,Sech
Farruko,2,Sech
J Balvin,2,Sech
Maluma,1,Sech
Nicky Jam,1,Sech
ROSALA,1,Sech
Lenny Tavrez,1,Sech
Justin Quiles,1,Sech
Anuel AA,1,Sech
Dalex,1,Sech
Jhayco,1,Sech
