rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,1,1,10,11527935,2021-09-30
2,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),OVO,1,2,4,9596386,2021-09-30
3,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,3,12,9530987,2021-09-30
4,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),OVO,2,5,4,8882807,2021-09-30
5,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,5,6,44,7634481,2021-09-30
6,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,4,4,2,6236849,2021-09-30
7,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,9,20,6010985,2021-09-30
8,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),OVO,3,8,4,5938632,2021-09-30
9,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,8,10,5,5634545,2021-09-30
10,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,Kemosabe Records/RCA Records,4,11,16,5581877,2021-09-30
11,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,7,27,5565971,2021-09-30
12,spotify:track:07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,"MSFTSMusic / Roc Nation Records, LLC",12,13,6,5255801,2021-09-30
13,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,1,14,25,5224423,2021-09-30
14,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,14,17,14,5091738,2021-09-30
15,spotify:track:37Nqx7iavZpotJSDXZWbJ3,"Drake, Lil Baby",Girls Want Girls (with Lil Baby),OVO,1,12,4,4842532,2021-09-30
16,spotify:track:0RbW8kWozrVSIGb4V13o0o,Kanye West,Hurricane,Rock The World/IDJ/Kanye LP7,1,15,5,4728798,2021-09-30
17,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,Winners Circle/RCA Records,8,19,15,4600514,2021-09-30
18,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,3,22,9,4579433,2021-09-30
19,spotify:track:3FeVmId7tL5YN8B7R3imoM,"Coldplay, BTS",My Universe,Parlophone UK,19,-1,1,4456573,2021-09-30
20,spotify:track:75MNhvTCCKsST3YqqUiU9r,Ed Sheeran,Shivers,Atlantic Records UK,15,21,3,4400399,2021-09-30
21,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,Atlantic Records UK,7,23,14,4359041,2021-09-30
22,spotify:track:2DTpP3caqX3QdJIEoS83mD,"Joyner Lucas, J. Cole",Your Heart,Twenty Nine Music Group,22,-1,1,4330719,2021-09-30
23,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,Sony Music Latin,20,27,10,4006026,2021-09-30
24,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,3,28,19,3983123,2021-09-30
25,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',RCA Records Label,5,30,15,3838833,2021-09-30
26,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4,33,52,3717505,2021-09-30
27,spotify:track:2Rd4eJ4KwXQQn2sMSToyUM,Kanye West,Moon,Rock The World/IDJ/Kanye LP7,6,26,5,3671994,2021-09-30
28,spotify:track:4eL3XeuGaEoVT8ttDh3hwY,"Gunna, Future",too easy,300 Entertainment,28,-1,1,3662105,2021-09-30
29,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,Three Quarter,29,37,8,3643610,2021-09-30
30,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),Kemosabe Records/RCA Records,18,35,14,3468579,2021-09-30
31,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,20,20,2,3442997,2021-09-30
32,spotify:track:2HSmyk2qMN8WQjuGhaQgCk,Drake,Champagne Poetry,OVO,4,25,4,3410280,2021-09-30
33,spotify:track:0lnpnsrVaW9elGgRxpDCgE,Walker Hayes,Fancy Like,Monument Records,22,38,14,3367414,2021-09-30
34,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,Columbia,1,39,25,3315038,2021-09-30
35,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,2,43,26,3073778,2021-09-30
36,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,19,49,58,3049159,2021-09-30
37,spotify:track:2tUL6dZf1mywCj5WvCPZw6,Drake,No Friends In The Industry,OVO,9,36,4,3036853,2021-09-30
38,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),OVO,2,45,30,2978967,2021-09-30
39,spotify:track:2gbMPBrBVj3CuNTLp2dHYs,Kanye West,Off The Grid,Rock The World/IDJ/Kanye LP7,4,40,5,2942935,2021-09-30
40,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Doja Cat,Ain't Shit,Kemosabe Records/RCA Records,4,44,14,2931350,2021-09-30
41,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,31,48,23,2892841,2021-09-30
42,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,DEL Records,42,54,6,2886876,2021-09-30
43,spotify:track:5SixeLvPsYpk7qq9lo5xYg,Chlöe,Have Mercy,Parkwood Entertainment/Columbia,43,50,3,2882394,2021-09-30
44,spotify:track:3J4VKkUpLvomXJbn9ZAypO,"Meek Mill, Lil Durk, Lil Baby",Sharing Locations (feat. Lil Baby & Lil Durk),MMG/Atlantic,36,47,5,2791847,2021-09-30
45,spotify:track:0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,Atlantic Records,45,64,3,2725174,2021-09-30
46,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, GIVĒON",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,53,28,2702416,2021-09-30
47,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,No Role Modelz,Roc Nation Records LLC,45,61,190,2688686,2021-09-30
48,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,48,80,6,2679140,2021-09-30
49,spotify:track:6bpq1jGkVz66Q3LYeoXdjZ,"Lil Nas X, Doja Cat",SCOOP (feat. Doja Cat),Columbia,16,16,2,2661105,2021-09-30
50,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,55,38,2648053,2021-09-30
51,spotify:track:30QR0ndUdiiMQMA9g1PGCm,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",G59 Records,51,67,27,2628211,2021-09-30
52,spotify:track:1sx0XsWUusUoPstbvokZjP,Tai Verdes,AOK,Arista Records,39,59,16,2625947,2021-09-30
53,spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),Chocolate City Music,53,130,2,2530924,2021-09-30
54,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,63,96,2523160,2021-09-30
55,spotify:track:1lfYsrLHXzo3s7NpHb1fIS,YoungBoy Never Broke Again,No Where,"Never Broke Again, LLC",55,-1,1,2517194,2021-09-30
56,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),Republic Records,5,62,23,2490077,2021-09-30
57,spotify:track:5gZYpjakt37G3c58FKcQwJ,"Trippie Redd, Playboi Carti",Miss The Rage,"1400 Entertainment, Inc. / 10K Projects",4,69,21,2428338,2021-09-30
58,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,5,65,17,2389342,2021-09-30
59,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath - Single Version,XO / Republic Records,5,66,8,2377489,2021-09-30
60,spotify:track:4s7QLoImIwmPi9L6dq1nVW,Drake,TSU,OVO,6,46,4,2376006,2021-09-30
61,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,5,71,19,2290810,2021-09-30
62,spotify:track:6pmNoWKk0r6zfIjWneJRxR,"DaBaby, Lil Wayne",Lonely (with Lil Wayne),South Coast Music / Interscope PS,47,52,3,2277823,2021-09-30
63,spotify:track:7zQirOExB0VR8yWUOqYeio,"Lil Nas X, Megan Thee Stallion",DOLLA SIGN SLIME (feat. Megan Thee Stallion),Columbia,18,18,2,2262269,2021-09-30
64,spotify:track:5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,Thot Shit,300 Entertainment,11,68,16,2250928,2021-09-30
65,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,"Cochise, $NOT",Tell Em,Columbia,26,77,18,2243331,2021-09-30
66,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,Kemosabe Records/RCA Records,4,75,14,2225348,2021-09-30
67,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,4,74,30,2215280,2021-09-30
68,spotify:track:7kDUspsoYfLkWnZR7qwHZl,"mgk, blackbear",my ex's best friend (with blackbear),Bad Boy/Interscope Records,11,78,60,2191594,2021-09-30
69,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,91,154,2186003,2021-09-30
70,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,GIVĒON,Heartbreak Anniversary,Epic/Not So Fast,9,87,34,2185001,2021-09-30
71,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,92,109,2169263,2021-09-30
72,spotify:track:6cUHiQEECDl5m3WFGQ1GCR,"Trippie Redd, Polo G, Lil Durk",Rich MF (feat. Lil Durk),"1400 Entertainment, Inc. / 10K Projects",21,100,6,2141645,2021-09-30
73,spotify:track:4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),Republic Records,45,86,19,2133153,2021-09-30
74,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,Top Dawg Entertainment/RCA Records,1,97,40,2120994,2021-09-30
75,spotify:track:7CIERzyqIwLVKGp00YbHRO,PinkPantheress,Pain,Parlophone UK,48,83,13,2102490,2021-09-30
76,spotify:track:0qXP5fMhxGzxALOkXYUxfP,A-Wall,Loverboy,Duetti,61,81,7,2095366,2021-09-30
77,spotify:track:0Fs9cdPDhptWEDJmiCbkEW,"J. Cole, Cults, Amber Coffman",She Knows (feat. Amber Coffman & Cults),Roc Nation LLC,77,101,9,2090373,2021-09-30
78,spotify:track:40uMIn2zJLAQhNXghRjBed,Post Malone,Motley Crew,Republic Records,3,99,12,2086229,2021-09-30
79,spotify:track:5JKnYZOhSP7rOK0jPYcCjV,"WILLOW, Travis Barker",t r a n s p a r e n t s o u l feat. Travis Barker,"MSFTSMusic / Roc Nation Records, LLC",20,88,20,2085011,2021-09-30
80,spotify:track:6SRsiMl7w1USE4mFqrOhHC,Olivia Rodrigo,brutal,Olivia Rodrigo PS,4,89,19,2082992,2021-09-30
81,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,EMI / Interscope,4,105,33,2071860,2021-09-30
82,spotify:track:61S79KIVA4I9FXbnsylEHT,"Drake, Lil Durk, GIVĒON",In The Bible (with Lil Durk & Giveon),OVO,8,57,4,2070831,2021-09-30
83,spotify:track:2vWBUC9djv6BtiGlmKiQaH,Yot Club,YKWIM?,Yot Club under exclusive license to Amuseio AB,83,95,13,2070560,2021-09-30
84,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,Polo G,Martin & Gina,Columbia,23,103,61,2063429,2021-09-30
85,spotify:track:0MMyJUC3WNnFS1lit5pTjk,Olivia Rodrigo,"jealousy, jealousy",Olivia Rodrigo PS,10,90,19,2061862,2021-09-30
86,spotify:track:6KgtcmCF9Ky68XC7ezxl3s,"Lizzo, Cardi B",Rumors (feat. Cardi B),Nice Life/Atlantic,6,85,7,2057723,2021-09-30
87,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,Rimas Entertainment LLC,17,94,9,2053328,2021-09-30
88,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,2,96,60,2050016,2021-09-30
89,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,82,110,61,2047736,2021-09-30
90,spotify:track:2ZXxRC6V6AXzMdbLQZMHSB,Lil Tecca,LOT OF ME,Galactic / Republic Records,90,138,2,2044441,2021-09-30
91,spotify:track:51pshtuYkgUQnt5huMPbKL,"Mac Miller, Empire Of The Sun",The Spins,Rostrum Records,91,98,31,2043998,2021-09-30
92,spotify:track:0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,Generation Now/Atlantic,92,108,86,2037608,2021-09-30
93,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,106,179,2004226,2021-09-30
94,spotify:track:0Zm7NKJgoKY6ZWwtoEUILK,Kanye West,Praise God,Rock The World/IDJ/Kanye LP7,7,117,5,2000417,2021-09-30
95,spotify:track:34D6FJysnQioVingDKufuf,"Drake, Future",N 2 Deep,OVO,11,58,4,1994152,2021-09-30
96,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,Olivia Rodrigo PS,5,102,19,1986658,2021-09-30
97,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,"Juice WRLD, Marshmello",Come & Go (with Marshmello),Grade A Productions/Interscope Records,1,107,64,1976774,2021-09-30
98,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,18,104,18,1976745,2021-09-30
99,spotify:track:0UTyLmkQgPOEIz95OVAJTR,"Baby Keem, Kendrick Lamar",range brothers (with Kendrick Lamar),Columbia,25,70,3,1975014,2021-09-30
100,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,6,114,56,1959961,2021-09-30
101,spotify:track:6jy9yJfgCsMHdu2Oz4BGKX,Drake,Papi’s Home,OVO,7,60,4,1947229,2021-09-30
102,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,111,98,1944387,2021-09-30
103,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, JHAYCO",DÁKITI,Rimas Entertainment LLC,1,116,48,1924496,2021-09-30
104,spotify:track:4s6vwFgPdCtidpEw8KuQT6,"Lil Tecca, Gunna",REPEAT IT (with Gunna),Galactic / Republic Records,28,82,8,1914313,2021-09-30
105,spotify:track:1MIGkQxcdAt2lDx6ySpsc5,"Jack Harlow, Pooh Shiesty",SUVs (Black on Black),Generation Now/Atlantic,22,112,8,1899759,2021-09-30
106,spotify:track:1EJIcDYXwSqipW5dFe4uJz,"DJ Khaled, Lil Baby, Lil Durk",EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),Epic/We The Best,24,109,22,1892076,2021-09-30
