rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:6G1Mz5yMgn0ydOlIvTrZ65","TALK","Run Away to Mars","Range Music/Capitol Records",1,1,24
2,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",2,2,16
3,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",3,3,10
4,"spotify:track:1jOgJN75btuUONIdf57vHz","Ice Spice","Munch (Feelin’ U)","Worldstar",4,4,2
5,"spotify:track:2DTnuVhrGnLcmgutAW4vb1","Lwah Ndlunkulu, Siya Ntuli","Ithuba","Nkabi Records",5,6,2
6,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",5,7,12
7,"spotify:track:4k6yZRw7M04gZE2uW12Cw6","Makar","Mood","Virgin",4,5,9
8,"spotify:track:0DsPxFiFebzdMlCEIWFGDO","Prop","Kwaaitjie","Select",3,8,16
9,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",7,10,59
10,"spotify:track:2HZLXBOnaSRhXStMLrq9fD","Ghost","Mary On A Cross","Loma Vista Recordings",3,9,31
11,"spotify:track:6GD1eomgaGT1Epto6Q5eAo","JVKE","golden hour","JVKE",5,11,25
12,"spotify:track:1BXfrEUZFDhrVahuVT3PMK","Q Twins, Xowla, Mduduzi Ncube, Big Zulu","Alusafani","Afrotainment",12,12,2
13,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",6,13,23
14,"spotify:track:2pIUpMhHL6L9Z5lnKxJJr9","NewJeans","Attention","ADOR",12,17,16
15,"spotify:track:3W9jnJBPYeihwNSXsr65f9","Lil Mabu, DUSTY LOCANE","NO SNITCHING (with Dusty Locane)","Lil Mabu",11,14,11
16,"spotify:track:20HFHldksvpelZlcSTL0UA","Nathii, Dj Jay Jay, D_Nice","No Jay Jay","3682629 Records DK",15,15,5
17,"spotify:track:2dFz5ravSFl9FL82ujab6y","Matt Corman","Word to the Wise","MIH Universal",17,20,5
18,"spotify:track:1EZMFiD30CythJ73EBZfUq","Jay Music, Mellow & Sleazy, DJ SOL K","The Fxckin Injury","1713874 Records DK",8,16,16
19,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",18,19,16
20,"spotify:track:6wj7wjtegmkziorQ2tt5Pz","JID, Kenny Mason","Dance Now (feat. Kenny Mason)","Dreamville/Interscope",12,18,9
21,"spotify:track:3eLfICfDzCQrP8pOajVGiJ","Knox","Sneakers","Barbershop Records",19,22,9
22,"spotify:track:6l4EAi2hbZU9TfZWHUzDBE","Big Zulu, Mduduzi Ncube, Lwah Ndlunkulu, Siya Ntuli, Xowla","Voicemail","Nkabi Records",2,23,51
23,"spotify:track:11M54lVpEsq9yDTJ62gPNS","Luxury SA","Gumbafaya","Luxury SA Entertainment",23,25,2
24,"spotify:track:079mntueS2KWjxVqOHjG70","Preston Pablo, Banx & Ranx","Flowers Need Rain","31 East JV (2021)",9,21,28
25,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",24,24,2
26,"spotify:track:0tFyRPMq4YD4xoiB4HWMnr","Necee.T, Shaba Rangz","Woza Baba","Independent",26,27,9
27,"spotify:track:43F9HcG6y42YwLycMr1VSm","Charlotte_lyf","Mdali Khanyisa","QTR",5,26,16
28,"spotify:track:62SaDdv956IYAt5nS1nWx7","Njelic, Thabza Tee","Down The Drain","Universal Music (Pty) Ltd.",17,28,9
29,"spotify:track:0du9AbEce0kooBH5I6suvG","Margot","110","Select",29,31,2
30,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",22,29,33
31,"spotify:track:47E3zSKRLgtJ9AaD9IVKrc","Able Heart","Whisper","One Heart Records",1,32,33
32,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship Entertainment Ltd.",10,33,37
33,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",32,34,16
34,"spotify:track:3MKHHwjeu6SYuix0T57VPj","Dj Slikour","Mhana Vafana","Slikour Records",18,39,31
35,"spotify:track:0wGbyS1tExQSwOYu6UceyE","ONIMXRU, SMITHMANE","SHADOW","ONIMXRU x SMITHMANE",28,30,6
36,"spotify:track:2FUyod5LVoX1JcgesHVfKk","Wendy Shay","Survivor","Rufftown records",1,36,81
37,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",2,37,44
38,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",7,38,23
39,"spotify:track:5ACZOGjT6I5He0pDZED56Z","why mona","Wannabe","Ultra Records",9,35,55
40,"spotify:track:4vuVzf7BIZhDAFm3TB0Tzy","charlieonnafriday","Enough","Onnafriday Records / Island Records",35,55,9
41,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship Entertainment Ltd.",4,46,93
42,"spotify:track:1Fid2jjqsHViMX6xNH70hE","Seafret","Atlantis","Sweet Jane Recordings",41,42,29
43,"spotify:track:54NBD72JXFXzrodbQBSzWh","Tyga, Jhené Aiko, Pop Smoke","Sunshine","Last Kings Music / EMPIRE",40,40,2
44,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",16,53,90
45,"spotify:track:7DQMBUK4oX9gV1qIzpoRz6","Aymos","Mama","DJs Production",45,47,2
46,"spotify:track:5kVRs3AnESkdZElamZazu8","Maglera Doe Boy, KayGizm","God Is A Black Woman","Universal Music (Pty) Ltd.",46,48,2
47,"spotify:track:4gLkYD4KVDd88vuqfZiAyu","Maglera Doe Boy","Makazana","Universal Music (Pty) Ltd.",40,59,9
48,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",1,44,73
49,"spotify:track:2TSfStvlAMLw89u3tali79","Nardo Wick","Dah Dah DahDah","Flawless Ent./RCA Records",42,51,22
50,"spotify:track:75VD2d6BPTuESBrzRqD6xl","Senior Oat, Kemy Chienda","All In You","The Oat Records",1,45,180
51,"spotify:track:2icgqIMkjpToStO1FRAoyj","Robot Boii, Mellow & Sleazy, Soul Revolver, Shaun MusiQ, F Teearse","Salary Salary","Silver Merci",10,60,105
52,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",22,43,69
53,"spotify:track:3PNaaKLGYYn1ULNZXyMuWM","Nicholas Bonnin, Angelicca","Shut Up and Listen","Virgin",1,41,50
54,"spotify:track:6cQ8IRL1UQR11v4wD4wjo8","Camylio","monsters","Republic Records",54,56,2
55,"spotify:track:4svaKoxMMP7ImmKrD5hfQu","Jax","Victoria’s Secret","Atlantic Records",5,49,44
56,"spotify:track:3IlWZqnqXW29Zr84eTv3CK","Skweletu","Inja endlini","3825021 Records DK",52,57,13
57,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",28,54,38
58,"spotify:track:4Oab51CLrmfgwXIDCcaQs1","Maglera Doe Boy, Ason","Dor Do Povo","Universal Music (Pty) Ltd.",58,65,8
59,"spotify:track:0CQfLvA2MF1lvaN20O5cR4","Maglera Doe Boy, Miss Ready, Halo Yagami","Goni","Universal Music (Pty) Ltd.",59,66,4
60,"spotify:track:1MqzIgGsHP4cNjPboevsfq","Indila","Tourner Dans Le Vide","Universal Music Division Capitol Music France",60,70,8
61,"spotify:track:3PdO57q0KLWkfWXsXQJlV6","Mas Musiq, Aymos, Young Stunna","Sengizwile (feat. Aymos & Young Stunna)","New Money Gang Records",40,63,43
62,"spotify:track:17F0bCxOCJASVSC3dhPEIt","Meneer Cee, DaLootz, Jay Music, Shay Moc","Waars Jou Nanas","Finesse Digital (Pty) Ltd",45,50,14
63,"spotify:track:0zi0Do3nO8LtRzlau2V7DR","Temple Boys Cpt","Werkhom 2.0 (Bonus Track)","Rejx Entertainment",45,90,11
64,"spotify:track:1VQI2XUq5D8GKqwm1gpFWJ","Nomfundo Moh, Kwesta","Sibaningi","Universal Music (Pty) Ltd.",62,62,2
65,"spotify:track:2ISyz9DRGEMrJN77ge3hi2","Eem Triplin","AWKWARD FREESTYLE","Eem Triplin LLC",44,75,6
66,"spotify:track:27ZZdyTSQWI7Cug2d2PkqV","Armani White","BILLIE EILISH.","Legendbound, LLC / Def Jam Recordings",5,78,86
67,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",36,74,20
68,"spotify:track:7Ddk8FhoYKdsVoX9AOCPMm","DJ Khaled, Drake, Lil Baby","STAYING ALIVE (feat. Drake & Lil Baby)","Epic/We The Best",24,61,9
69,"spotify:track:4qD1k0Ybmkl7Q7XtqGKgjl","Classic Deep, Six40, Zuma, Mzu M, 2woshort, LuuDaDeejay","Khwela","Ama Roto Entertainment",16,58,16
70,"spotify:track:4hv0hmUjhAqvAPGCHP4EaE","Ronald Isley, The Isley Brothers, Beyoncé","Make Me Say It Again, Girl","RI Top Ten",69,69,2
71,"spotify:track:6AmG7bzDsU8nxhSDHXII9D","DJ Toy JustDance","Amapiano 2022 Mixtape","1710 Media",64,87,5
72,"spotify:track:5uWDenxq03AYLOq83WzLNo","Kabza De Small, Young Stunna, Nobuhle, Ze2","Xola (feat. Nobuhle, Ze2 & Young Stunna)","Piano Hub",23,83,58
73,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",45,89,10
74,"spotify:track:5dcRkfX5Uzo9CNTafinRzD","Mr JazziQ, Zan'Ten, Ta Skippa","Ningalali Emakhaya (feat. Zan'Ten & Ta Skippa)","Sound African Recordings",74,76,9
75,"spotify:track:5XemvyG79fcKPl5lgbhplq","Devon Cole","W.I.T.C.H.","Arista Records",7,71,37
76,"spotify:track:7Iiek3SL6PluRxj9IgbTC1","AURORA","Cure For Me","Glassnote Entertainment Group LLC",68,68,5
77,"spotify:track:557DLyFeg06jCV2cpT005C","YG","Toxic","YG PS/ Def Jam",52,52,2
78,"spotify:track:7tZMF9Hn5uGsfC7zGXbSKM","Crayon","Ijo (Laba Laba)","Mavin Records/Blowtime Ent",41,64,18
79,"spotify:track:1inAIGub1bVFLUMFkoRVBq","Sofia Carson","Sweet Caroline","Hollywood Records",23,77,16
80,"spotify:track:1wB9HhcWCPr9HzeF7qztWT","Luxury SA","Shoot My Shot","Independent",51,82,10
81,"spotify:track:4pR4oQJULf7FDB54TleMyH","Limoblaze, Lecrae, Happi","Jireh (My Provider)","Limoblaze Music",81,-1,1
