rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
75,"spotify:track:2ISyz9DRGEMrJN77ge3hi2","Eem Triplin","AWKWARD FREESTYLE","Eem Triplin LLC",44,51,5
76,"spotify:track:5dcRkfX5Uzo9CNTafinRzD","Mr JazziQ, Zan'Ten, Ta Skippa","Ningalali Emakhaya (feat. Zan'Ten & Ta Skippa)","Sound African Recordings",74,87,8
77,"spotify:track:1inAIGub1bVFLUMFkoRVBq","Sofia Carson","Sweet Caroline","Hollywood Records",23,35,15
78,"spotify:track:27ZZdyTSQWI7Cug2d2PkqV","Armani White","BILLIE EILISH.","Legendbound, LLC / Def Jam Recordings",5,63,85
79,"spotify:track:6gdDu39yYqPcaTgCwYEW8i","Fred again.., Swedish House Mafia, Future","Turn On The Lights again.. (feat. Future)","Atlantic Records UK",22,46,15
80,"spotify:track:6qhTveQbbpuGPn1zs0QLvh","Luxury SA","Definition of Deephouse","Luxury SA",31,64,12
81,"spotify:track:0C3shWEOObGT5IxApC7Mkg","Henry Moodie","you were there for me","Robots & Humans",7,32,22
82,"spotify:track:1wB9HhcWCPr9HzeF7qztWT","Luxury SA","Shoot My Shot","Independent",51,-1,9
83,"spotify:track:5uWDenxq03AYLOq83WzLNo","Kabza De Small, Young Stunna, Nobuhle, Ze2","Xola (feat. Nobuhle, Ze2 & Young Stunna)","Piano Hub",23,73,57
84,"spotify:track:75QIdUr1wuw4qVHUs5Z8YP","TBO, Dinky Kunene, PlayNevig","Buhle Bakhe","Farmhaus",84,-1,1
85,"spotify:track:4OmfWzukSVD140NiAIEjem","Steve Lacy","Static","L-M Records/RCA Records",34,67,29
86,"spotify:track:5BuzMo2h1giNWQ2oP5uo6N","Nomfundo Moh","Izibusiso","Universal Music (Pty) Ltd.",86,-1,1
87,"spotify:track:6AmG7bzDsU8nxhSDHXII9D","DJ Toy JustDance","Amapiano 2022 Mixtape","1710 Media",64,70,4
88,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",1,77,64
89,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",45,68,9
90,"spotify:track:0zi0Do3nO8LtRzlau2V7DR","Temple Boys Cpt","Werkhom 2.0 (Bonus Track)","Rejx Entertainment",45,71,10
91,"spotify:track:4sGPzDEbvgrtBePr2cPWiv","really sad music","after dark x sweater weather","really sad music",21,86,25
92,"spotify:track:4cacyP5c3PMlfnyjpg13xW","Yung Gravy","Betty (Get Money)","Republic Records",3,75,64
93,"spotify:track:1uJ0MhoeCx5y66oaxv5tUQ","Naqua SA, Shebeshxt, Justin Juss Tii, Strike SA","Shebe Monateng (Shebeshxt)","2435823 Records DK",57,57,7
94,"spotify:track:1hboZZxKIEjLHRIkhx4Soi","skaiwater","#miles","Cinematic Music Group",7,69,60
95,"spotify:track:4UU4qUfkfRd4IXszXX2Z1K","Stabhilithi","Ama-push ups","Cutca Music Publishers",17,72,29
96,"spotify:track:3t2Hx5FPih5lKaxJFd6bRE","KSI, Tom Grennan","Not Over Yet (feat. Tom Grennan)","Atlantic Records UK",46,49,8
97,"spotify:track:3KlAOO6dkDDrO1UKZmFrFA","leydown","Under the Influence","UR-MUSIC",72,84,3
98,"spotify:track:7iBiBYaVBw69mmPwPBgM0t","Mr JazziQ, Nokwazi, DJ Biza, Tsiki XII","Baleka (feat. Nokwazi, DJ Biza & Tsiki XII)","Sound African Recordings",98,-1,1
99,"spotify:track:2hZ17zF5a03Ly4by80wI2M","Headie One, Abra Cadabra, Bandokay","Can't Be Us","Relentless Records",76,76,3
100,"spotify:track:2FPOpkUFjQBzJVxK8zF2DA","Jux, Marioo, Pabi Cooper, Tony Duardo","Nice (Kiss)","AFRICAN BOY",100,-1,1
