rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:2nwXM9eHzj8eQBsuK9osbL","Luxury SA","Crazy Vibez","Luxury SA Entertainment",1,1,7
2,"spotify:track:7mykoq6R3BArsSpNDjFQTm","Rosa Walton, Hallie Coggins","I Really Want to Stay at Your House","Lakeshore Records",2,2,4
3,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",1,3,35
4,"spotify:track:65NAMIdsZkxYIM5ui8SJSw","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,4,14
5,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",3,5,31
6,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",6,7,42
7,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",3,6,29
8,"spotify:track:0zi0Do3nO8LtRzlau2V7DR","Temple Boys Cpt","Werkhom 2.0 (Bonus Track)","Rejx Entertainment",8,8,29
9,"spotify:track:1jOgJN75btuUONIdf57vHz","Ice Spice","Munch (Feelin’ U)","Worldstar",4,9,21
10,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",8,10,14
11,"spotify:track:6NB2npCHsGXQ059pMhXJzl","Barto","H2Oë","Select",11,12,14
12,"spotify:track:42VFqRvJt0IJ7cJoZDAo76","Oufadafada, Dj 8 Milli","I Cant Give Up Now","Brian Saul Entertainment",11,11,5
13,"spotify:track:2DTnuVhrGnLcmgutAW4vb1","Lwah Ndlunkulu, Siya Ntuli","Ithuba","Nkabi Records",5,14,21
14,"spotify:track:0w7JPlp7eEQI2EKW3ayXrv","Mau P","Drugs From Amsterdam","Island Records UK / Republic Records / Virgin Records Germany",11,13,14
15,"spotify:track:4kdDzPjgmUkMtmIp9qFgsx","Min-Gespin","Toast & Polony","Universal Music (Pty) Ltd.",8,17,7
16,"spotify:track:5OCGdwTT9uvTNlGqbUm2U7","Pushkin, Springle, Mankay, ChocoDynasty","Welele","Pushkin and Springle",6,16,14
17,"spotify:track:5F7npl4FSAFQLsIuW3o7aR","Russell Zuma, CocoSA, George Lesley","Angikaze","Theko Price",9,15,7
