rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:7mykoq6R3BArsSpNDjFQTm","Rosa Walton, Hallie Coggins","I Really Want to Stay at Your House","Lakeshore Records",1,1,9
2,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",1,2,40
3,"spotify:track:65NAMIdsZkxYIM5ui8SJSw","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,3,19
4,"spotify:track:2nwXM9eHzj8eQBsuK9osbL","Luxury SA","Crazy Vibez","Luxury SA Entertainment",1,4,12
5,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",3,5,34
6,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",6,6,47
7,"spotify:track:58WiMFVLbAfmS7k4T0qKtG","Tariq, The Gregory Brothers, Recess Therapy","It's Corn","Gregory Residence",5,7,5
8,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",3,8,36
9,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",8,9,19
10,"spotify:track:1jOgJN75btuUONIdf57vHz","Ice Spice","Munch (Feelin’ U)","Worldstar",4,10,26
11,"spotify:track:7Hij0MzGIK43J8sQsrzcdB","RALAN STYLES","Baby Shark","New 11",11,14,12
12,"spotify:track:4qbEaaJ29p32GI8EWQmm6R","mazie","dumb dumb","Good Boy Records",11,11,7
13,"spotify:track:0w7JPlp7eEQI2EKW3ayXrv","Mau P","Drugs From Amsterdam","Island Records UK / Republic Records / Virgin Records Germany",11,19,19
14,"spotify:track:6NB2npCHsGXQ059pMhXJzl","Barto","H2Oë","Select",11,12,19
15,"spotify:track:0zi0Do3nO8LtRzlau2V7DR","Temple Boys Cpt","Werkhom 2.0 (Bonus Track)","Rejx Entertainment",8,13,34
16,"spotify:track:42VFqRvJt0IJ7cJoZDAo76","Oufadafada, Dj 8 Milli","I Cant Give Up Now","Brian Saul Entertainment",11,17,10
17,"spotify:track:2DTnuVhrGnLcmgutAW4vb1","Lwah Ndlunkulu, Siya Ntuli","Ithuba","Nkabi Records",5,18,26
18,"spotify:track:4kdDzPjgmUkMtmIp9qFgsx","Min-Gespin","Toast & Polony","Universal Music (Pty) Ltd.",8,16,12
19,"spotify:track:6zLUuRvJfJDDEqCMWILcs1","Pushkin, Springle, Mankay, ChocoDynasty","Welele","Pushkin and Springle",6,20,19
20,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",20,23,12
21,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",16,21,12
22,"spotify:track:0uo7p6JtXF7U8x0ktN0Vty","Funk Tribu","Phonky Tribu","SpeedMaster Records",19,25,9
23,"spotify:track:3W9jnJBPYeihwNSXsr65f9","Lil Mabu, DUSTY LOCANE","NO SNITCHING (with Dusty Locane)","Lil Mabu",10,22,35
24,"spotify:track:5hnGrTBaEsdukpDF6aZg8a","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",24,26,5
