main_artist,track_name,Labels,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Ratio Position,MaxMin Ratio Streams,MaxMin Difference Position,MaxMin Difference Streams
Daliwonga,Abo Mvelo (feat. Mellow & Sleazy & M.J),5,18206,2740697,94506.79310344828,1,29,160.0,10.583434032736461,159,174476
Dan + Shay,"10,000 Hours (with Justin Bieber)",0,13405,1126887,19429.08620689655,16,58,12.5,2.7142111152555017,184,22979
DaniLeigh,Easy,1,7807,103612,9419.272727272728,127,11,1.5275590551181102,1.9038042782118612,67,7056
Daniel Caesar,Best Part (feat. H.E.R.),5,2334,2494054,14251.737142857142,83,175,2.397590361445783,12.989288774635819,116,27983
Daniel Caesar,CYANIDE,1,9219,9219,9219.0,134,1,1.0,1.0,0,0
Daniel Caesar,ENTROPY,1,7842,7842,7842.0,178,1,1.0,1.0,0,0
Daniel Caesar,FRONTAL LOBE MUZIK,1,7930,7930,7930.0,174,1,1.0,1.0,0,0
Daniel Caesar,Get You (feat. Kali Uchis),1,2198,196688,10927.111111111111,145,18,1.3793103448275863,10.03776160145587,55,19865
Daniel Caesar,LOVE AGAIN,1,12062,12062,12062.0,87,1,1.0,1.0,0,0
Daniel Caesar,OPEN UP,1,7472,7472,7472.0,200,1,1.0,1.0,0,0
Daniel Caesar,SUPERPOSITION,1,7656,7656,7656.0,189,1,1.0,1.0,0,0
Daniel Caesar,Who Hurt You?,1,5884,5884,5884.0,159,1,1.0,1.0,0,0
Darkoo,Always (feat. Black Sherif),1,15442,15442,15442.0,200,1,1.0,1.0,0,0
Darlene Love,Christmas (Baby Please Come Home),1,6954,29500,14750.0,68,2,2.6470588235294117,3.2421627840092033,112,15592
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,1,13129,31061,15530.5,62,2,1.7903225806451613,1.365831365679031,49,4803
Daryl Hall & John Oates,You Make My Dreams (Come True),1,2227,22469,2808.625,169,8,1.1775147928994083,1.4539739559946117,30,1011
Dave,Clash (feat. Stormzy),1,21906,201004,28714.85714285714,32,7,5.4375,2.0712590157947592,142,23467
Dave,In The Fire,1,23592,23592,23592.0,134,1,1.0,1.0,0,0
Dave,Location (feat. Burna Boy),4,27914,423642,32587.846153846152,88,13,1.7727272727272727,1.516658307659239,68,14422
Dave,Starlight,4,25247,724074,40226.333333333336,33,18,5.96969696969697,2.17629817404048,164,29698
Dave,System (feat. WizKid),1,23277,23277,23277.0,139,1,1.0,1.0,0,0
Dave,Verdansk,1,33239,33239,33239.0,69,1,1.0,1.0,0,0
Dave,We're All Alone,1,24665,24665,24665.0,121,1,1.0,1.0,0,0
David Guetta,Better When You're Gone,1,7537,41472,8294.4,111,5,1.5135135135135136,1.2467825394719385,57,1860
David Guetta,Don't Leave Me Alone (feat. Anne-Marie),1,6961,206087,8586.958333333334,35,24,4.6571428571428575,1.872863094382991,128,6076
David Guetta,Flames,1,3615,179077,6175.068965517241,39,29,4.641025641025641,2.5114799446749654,142,5464
David Guetta,I'm Good (Blue),4,47961,429385,85877.0,8,5,9.0,2.3454681929067367,64,64530
David Guetta,Like I Do,1,3274,269493,6267.279069767442,12,43,16.583333333333332,3.0155772755039707,187,6599
David Guetta,Say My Name,1,5334,67895,6172.272727272727,112,11,1.5267857142857142,1.400824896887889,59,2138
David Guetta,Stay (Don't Go Away) [feat. Raye],1,8453,8453,8453.0,126,1,1.0,1.0,0,0
David Guetta,Thing For You (With Martin Solveig),1,11423,11423,11423.0,115,1,1.0,1.0,0,0
David Guetta,Titanium (feat. Sia),1,2089,9780,3260.0,181,3,1.0939226519337018,1.9009095260890378,17,1882
David Guetta,Your Love,1,3578,15060,3765.0,125,4,1.488,1.1637786472889882,61,586
David Scott,Follow the Wind - Radio Edit,1,8421,8421,8421.0,187,1,1.0,1.0,0,0
Davido,Blow My Mind,1,9191,79362,11337.42857142857,75,7,2.4133333333333336,1.5334566423675335,106,4903
Davido,Champion Sound,4,21819,316306,31630.6,77,10,2.5974025974025974,1.8566845409963793,123,18692
Davido,Stand Strong (feat. Sunday Service Choir),1,29876,29876,29876.0,86,1,1.0,1.0,0,0
Dax,40 Days 40 Nights,1,28033,28033,28033.0,114,1,1.0,1.0,0,0
Daya,Insomnia,1,7600,23611,7870.333333333333,150,3,1.1666666666666667,1.0881578947368422,25,670
De Mthuda,33,1,28029,28029,28029.0,136,1,1.0,1.0,0,0
De Mthuda,Abekho Ready - Maplankeng Reshuffle,0,19308,1316593,42470.74193548387,19,31,10.31578947368421,3.2546094882950074,177,43532
De Mthuda,Ebumnandini,1,15070,144629,20661.285714285714,86,7,2.127906976744186,1.8275381552753815,97,12471
De Mthuda,Emlanjeni,5,23956,2031823,54914.13513513513,4,37,49.5,4.369886458507263,194,80729
