source,main_artist,track_name,streams,End Date
CAPITOL CATALOG MKT (C92),1,2,117279,2021-12-30
CJ Music Group/T-Series,1,1,689098,2021-02-18
COLORSxSTUDIOS,1,1,17775,2022-09-29
CORPSE,1,2,128738,2021-09-09
CYB3RPVNK,1,3,104400,2019-11-21
CYPHA / MUTHALAND,1,1,14939,2020-07-16
Cactus Jack / Epic,3,12,7705111,2022-03-31
Cactus Jack / Epic / Grand Hustle,1,16,3358459,2021-05-06
Cactus Jack / WeRunIt Ent. / Atlantic,1,9,353804,2021-10-28
Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,1,1,626478,2019-06-27
Capitol,5,22,11427615,2022-10-06
Capitol Records,6,18,6604364,2021-12-30
Capitol Records (CAP),1,1,33332,2019-01-10
Capitol Records (US1A),1,2,247677,2021-03-11
Cash Money Records,1,1,15785,2020-07-30
Cash Money Records/Young Money Ent./Universal Rec.,1,8,2495909,2022-10-06
Cash Money/Drake LP6,1,25,4220424,2020-06-11
Central Cee,1,1,753030,2022-10-06
Centricity Music/Warner Records,1,1,300655,2019-11-14
Chance the Rapper,1,6,62878,2019-08-08
Chocolate City Music,3,6,2337710,2022-09-29
Chris Brown Entertainment/300 Entertainment/RCA Records,1,1,2475145,2021-08-26
Chris Brown Entertainment/RCA Records,1,27,8786718,2022-10-06
Ciara,1,1,49605,2018-09-20
Cinematic/Epic/We The Best,1,1,186543,2019-03-14
Cloud9ne Entertainment,1,1,4127329,2022-10-06
Coke Studio Africa,1,1,2086,2018-03-29
Colour Vision Records/Sony Music Entertainment,1,1,39873,2019-06-20
Columbia,55,205,90625202,2022-10-06
Columbia Local,1,2,70288,2019-06-13
Columbia Nashville,1,1,59195,2019-08-22
Columbia/B1 Recordings,5,5,7407721,2022-04-28
Columbia/Last Kings Records,1,3,112199,2020-06-25
Columbia/Legacy,4,4,460472,2021-12-30
Columbia/M2V,1,1,46705,2021-11-04
Commission/BMG,1,2,334367,2019-06-20
Content Connect Africa,6,8,3075580,2022-09-29
Cooper Entertainment,1,2,1254161,2022-10-06
Creed 2 Soundtrack,1,1,6981,2018-11-22
Crux Global / MOVES Recordings,1,1,68769,2022-10-06
Cutthroat Records,1,1,20830,2021-05-13
Cycad Wave,1,1,673513,2022-10-06
Cyfred Records,1,1,221710,2021-07-29
D&D Studios,2,3,3080380,2022-01-06
DCD2 / Fueled By Ramen,1,3,1736683,2021-02-04
DIEMON / Ed Sheeran appears courtesy of Asylum Records UK,1,1,92702,2022-08-04
DJ Snake Def Jam,1,1,29346,2018-12-06
DJ Snake Music Productions Limited,1,3,207353,2021-03-11
"DJ Snake Music Productions Limited, under exclusive license to Geffen Records",1,1,560996,2019-06-20
DM Records Limited,1,1,54724,2022-09-29
DRUMROLL RECORDS,1,1,24849,2021-11-18
Dangbana Republik,1,2,161870,2022-09-29
Darkroom,2,8,6390843,2022-10-06
Darkroom/Interscope Records,2,37,15296315,2022-10-06
Dave / Neighbourhood Recordings,1,1,724074,2022-07-07
De Disciple Records,1,2,191362,2021-08-12
De Disciple Tradings,1,2,61394,2022-02-03
Dead Silence/Atlantic,1,1,19143,2018-11-08
Decaydance/Fueled By Ramen,1,1,164807,2022-06-16
Decca (UMO),3,3,36476,2020-05-28
Def Jam Recordings,8,51,2918077,2022-10-06
Defected Records,1,1,2090,2018-03-22
Dingaans Day Ent,1,1,22852,2021-09-30
Disruptor Records/Arista Records,1,1,152877,2022-01-20
Disruptor Records/Columbia,2,21,9290406,2022-06-23
Distruction Boyz Records,1,1,4631,2018-03-29
Distruction boyz records,1,1,5281,2018-11-01
Dlala Records (PTY) Ltd,1,2,1086235,2022-01-27
Domino Recording Co,1,3,9763,2018-05-17
Dope Dreams Co.,1,1,18857,2021-05-06
Doza Nation Entertainment,1,2,59145,2022-05-05
Dreaming Out Loud Entertainment,1,1,52673,2020-11-12
"Dreamville, Inc., Under exclusive license to Roc Nation Records",1,15,6373021,2022-06-09
Dreamville/Interscope,1,1,81259,2022-09-08
Dreamville/Interscope Records,3,21,566594,2022-04-07
DrumbossMusik,1,1,2131,2018-03-29
Dryden Street,1,1,8611,2018-05-10
Dvpper Music,2,3,65818,2022-09-29
EARLY A.M,1,2,103928,2019-07-25
EARLY AM,1,1,8069,2019-07-11
EL World Music,1,6,1942851,2021-11-04
EMI,6,15,6483995,2022-10-06
EMI / Interscope,1,1,497092,2021-06-24
EMI Catalogue,1,1,101316,2021-12-30
EMI Recorded Music Australia Pty Ltd,1,2,48766,2018-09-06
"EP Entertainment, LLC / Def Jam",1,1,659431,2021-04-22
EQT Recordings/Capitol Records,1,2,328472,2021-10-14
Eagle Entertainment,1,4,77250,2021-11-25
Eardruma Records/Interscope Records,1,4,84914,2020-06-25
Early A.M,2,5,131119,2019-09-26
Earthquake records,1,1,81368,2022-03-10
EduardoLuzquinos2021,1,1,35196,2021-07-08
Ejarden Entertainment,1,1,27177,2021-12-02
El Cartel Records (EC3),1,1,78524,2019-06-27
El World,1,1,16938,2020-11-05
El-World,1,1,115194,2021-01-07
Elektra (NEK),5,8,9389608,2022-06-16
Elevation Worship Records,1,5,565201,2021-06-24
Eleven Seven Music,1,1,8715,2018-04-12
Epic,13,37,7607775,2022-10-06
Epic Amsterdam,2,15,6343427,2022-10-06
Epic/300 Entertainment/Atlantic Recordings Corporation,1,1,10855,2020-04-30
