source,main_artist,track_name,streams,End Date
Rinse,1,1,29943,2022-06-02
Roadrunner Records,1,1,7855,2019-05-23
Robots & Humans,1,1,114458,2021-01-28
Roc Nation / Rihanna,1,2,330206,2022-10-06
Roc Nation LLC,1,1,218035,2021-11-04
Roc Nation Records LLC,1,2,4065619,2022-10-06
Roc Nation W Smith P&D,1,1,730718,2022-07-28
"Roc Nation, LLC",1,1,12283,2020-03-19
Roc-A-Fella,1,4,242609,2022-09-15
Rock The World/IDJ/Kanye LP7,1,29,7151640,2022-04-21
Rock The World/IDJ/Kanye/LP6,1,1,127233,2022-10-06
Rocka Empire,1,2,897303,2021-09-23
Roy Bulkin Music,1,1,13701,2019-11-07
Royal Am Entertainment under Exclusive License to Ownit Music,1,1,21870,2021-07-01
Rudebouy Major,1,1,8109,2019-06-20
Rufftown records,1,1,143924,2022-09-22
Run It Up Records/Island,1,1,93006,2021-07-15
S-Curve Records,1,1,241581,2020-06-11
SALES,1,1,55763,2021-12-23
SCMG / SCE / EMPIRE,1,1,212781,2022-04-21
SM Entertainment West Africa Limited,3,5,187721,2022-09-29
Saint Records/Columbia,1,7,67408,2019-03-07
Scatterlings,1,1,7908,2019-07-18
Scumgang Records,1,2,536629,2020-08-27
"Scumgang Records/TenThousand Projects, LLC",1,7,552102,2019-02-14
Select,6,10,3201257,2022-10-06
Selena Gomez Latin Project,1,1,22087,2021-02-04
Selena Gomez PS,1,1,573329,2019-09-26
Shady Records/Interscope Records,1,1,126803,2021-10-28
Shady/Aftermath/Interscope Records,1,24,2865900,2022-07-07
Shake the World / EMPIRE,1,1,37138,2020-07-30
Shawn Mendes LP4-5 PS/ Island,1,5,2122699,2022-04-28
Side Hustle,1,1,599791,2022-06-30
Silent Records / Social House,1,1,45248,2018-10-18
Silver Cloud/Charlie's Angels,1,2,227174,2019-11-14
Silver Merci,1,1,519982,2022-10-06
Simnandi Records,2,2,1755179,2022-09-01
Since 93,1,1,79704,2022-05-05
Since 93/RCA Records,1,1,56856,2021-09-30
Sir Trill Music,1,1,226324,2021-11-04
Sire,1,1,35151,2018-10-04
Sista Prod/Atlantic,1,1,14050,2020-10-01
Six Course Music Group/RCA Records,1,1,25503,2021-02-18
"Slaughter Gang, LLC/Epic Records",1,8,555065,2019-11-14
"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",1,15,953044,2021-02-11
"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",1,1,114851,2018-07-26
So Vinci,1,1,120078,2021-11-04
Sonder Global,1,1,39650,2021-04-22
Sony Music CG,1,1,64914,2021-12-30
Sony Music Entertainment,1,1,212369,2021-09-02
Sony Music Latin,4,4,235433,2022-02-03
Sony Music Special Projects,1,1,119132,2019-10-10
Sony Music UK,1,1,505152,2019-03-21
Sony Soho Square,1,1,2419,2018-04-19
Soulful Horizons Music,1,1,3422,2018-06-28
Sound African Recordings,26,100,22941175,2022-10-06
South Coast Music / Interscope PS,1,1,48196,2021-09-23
South Coast Music Group/Interscope Records,1,15,6834640,2021-12-09
Southeastern Records,1,1,2236,2018-03-22
Soweto Music & Entertainment Academy,1,1,789933,2021-09-16
Sowetocool,1,2,3507198,2022-10-06
Spaceship Entertainment Ltd.,1,34,5654471,2022-10-06
Spaceship Records / EMPIRE,1,1,35626,2022-06-02
Spaceship Records / Geobek Records,1,1,50969,2021-07-08
Sparrow (SPR),1,1,22242,2020-04-30
Spinnin' Records,4,4,1029216,2022-04-21
Spinnin' Remixes,1,1,1257465,2021-02-04
Spirit Motion,1,3,33244,2020-10-01
Spoegwolf (Pty) Ltd,1,1,7891,2019-02-21
Spoegwolf (Pty) Ltd.,1,7,88405,2020-02-20
Squareball Ent. Limited,1,1,17584,2022-09-29
Starboy/RCA Records,2,9,1713060,2022-09-29
Starstruck Management / EMPIRE,1,1,21361,2022-09-29
Steyn Entertainment,1,3,89402,2022-03-03
Sundance Music,1,1,1374216,2022-02-03
"Supergiant Records, LLC / Def Jam Recordings",1,1,1337261,2022-08-25
Superstar Studios,3,3,1304960,2022-05-05
Supra Familias,1,1,25355,2021-10-21
Surf Curse,1,1,229375,2021-09-23
"Surfaces, LLC / TenThousand Projects, LLC",1,1,1168450,2021-01-14
Sweat It Out,1,1,24608,2022-02-10
Sweet Jane Recordings,1,1,153615,2022-10-06
Syco Music,4,5,802208,2022-05-05
Syco Music UK,1,1,29646,2019-06-13
Syco Music/Epic,2,13,2385207,2020-06-25
T.Y.E. / EMPIRE,1,9,339444,2022-09-29
TGR Music Group,1,1,582126,2022-03-03
THEUNS JORDAAN PRODUCTIONS CC,1,1,26921,2021-11-25
TSNMI / Atlantic,1,13,962596,2022-04-07
TUMBLAR under exclusive license to emPawa Africa Limited,1,1,31944,2022-09-29
TUSA - Karol G & Nicki Minaj,1,1,57706,2020-02-13
TakeOne Company | BigHit Entertainment,1,1,10461,2019-06-13
Taylor Gang/Atlantic,1,2,49563,2018-09-27
Taylor Swift,1,59,5570127,2021-12-16
"TenThousand Projects, LLC",1,4,65505,2019-11-28
"The Conglomerate Entertainment, Inc. / EMPIRE",1,1,18127,2020-11-05
The Oat Records,1,3,2743775,2022-10-06
The Plug Entertainment,3,7,332235,2022-09-29
The T Effect,1,1,22315,2021-04-29
Third Pardee Records,1,3,150596,2018-11-08
Thirty Knots/Columbia,1,1,911487,2022-10-06
This Ain't Bristol,1,2,42073,2019-01-17
"Three Name Productions, Inc./ Island Records & Republic Records",1,2,721389,2022-06-09
Three Quarter,1,1,149706,2022-09-15
"Thrive Music, LLC",1,1,1303541,2022-05-26
Thupa Industry,1,14,10439795,2022-09-22
Tinted Records,1,1,74490,2018-11-29
Titch Gang Records,1,2,221258,2022-09-29
To Your Ears Entertainment,1,1,16286,2022-09-29
"Tommy Boy Music, LLC",1,1,54194,2022-10-06
Top Dawg Ent./Interscope Records,1,2,7029,2018-06-21
Top Dawg Entertainment/Interscope Records,1,13,200793,2019-05-30
Top Dawg Entertainment/RCA Records,2,5,3002959,2022-08-18
Top Dawg Entertainment/Warner Records,1,8,238003,2021-08-05
TrapSoul/RCA Records,1,12,2607453,2022-10-06
Twenty Nine Music Group,1,3,491017,2021-10-28
Twenty Nine Music Group (Joyner Lucas),1,2,100781,2020-04-02
TwizzyRich,1,1,77722,2022-04-21
UMC (Universal Music Catalogue),2,2,49438,2021-12-30
"UMG Recordings, Inc.",4,4,163072,2022-02-10
UMGRI Interscope,6,9,4417072,2021-12-30
UNI/MOTOWN,2,3,80790,2021-12-30
Ujuu Records,1,1,129737,2019-03-21
Ultra Records,2,3,208070,2020-05-07
Umuthi Othi Thi (Pty) Ltd,1,1,123728,2022-10-06
Universal Music (Pty) Ltd.,44,185,46372309,2022-10-06
Universal Music (Pty) Ltd. Distribution Deals,3,3,466337,2021-11-04
Universal Music AB,4,18,2337966,2022-10-06
Universal Music AS,1,2,23443,2019-01-24
Universal Music Australia Pty. Ltd.,1,2,2694830,2021-09-02
Universal Music Latino/ NEON16,1,1,13248,2020-08-13
Universal Music New Zealand Limited,1,1,57359,2021-06-24
"Universal Music, a division of Universal International Music BV",2,3,1640690,2021-08-26
Universal Records,4,11,3503078,2021-12-30
Universal Republic Records,1,10,3794595,2022-10-06
Universal-Island Records Ltd.,8,10,3758025,2022-09-29
VCK Music,1,2,90703,2019-11-07
VILLAIN MUSIQ / Top Tier Music / EMPIRE,1,1,29298,2022-02-17
VS Mobile,1,1,165387,2021-03-18
Vertigo Berlin,1,5,12656977,2022-10-06
Verve Reissues,1,1,6497,2018-12-27
Vhudie Music,1,1,24210,2020-09-17
Victor Victor Worldwide,1,33,11733955,2021-10-07
Victor Victor Worldwide / Republic Records,1,1,47918,2021-03-11
Victor Victor Worldwide/Republic Records,1,1,2778223,2022-03-31
Ville Records,1,1,150862,2022-03-24
Virgin,6,7,7530598,2022-02-10
Virgin Records Ltd,1,1,7335,2019-05-09
Vth Season,2,2,13006,2019-10-03
Vth Season/18 Area Holdings,1,2,853628,2021-02-11
WEA Latina,1,2,20249,2019-03-28
WILL OF STEEL / NEXT MUSIC,1,1,125112,2021-04-29
WM Germany,1,1,29373,2019-03-14
WM Italy,1,1,437109,2019-04-25
WM South Africa,12,28,9783168,2022-10-06
WM Sweden,1,1,16347,2022-09-29
WM UK,2,2,10949,2018-12-27
Wa Wa/EMEXTEE,1,1,495682,2021-10-21
Walt Disney Records,2,2,565532,2022-04-21
Waltz Music Group,3,4,1966298,2021-11-18
Wanitwa Mos Entertainment,3,5,7602476,2022-10-06
Warner Bros.,2,3,1186947,2020-01-16
"Warner Bros. Entertainment, Inc.",1,1,36505,2020-09-03
Warner Music Nashville,1,1,1126887,2021-04-22
Warner Records,18,61,16093946,2022-10-06
We Run It Ent./Cactus Jack/Atlantic,1,5,1621460,2021-02-11
Winners Circle Entertainment Inc / EMPIRE,1,1,174784,2020-07-23
Winners Circle/RCA Records,1,2,2443400,2022-10-06
Winnkay Music,1,1,583374,2021-05-20
Wolf+Rothstein/RCA Records,1,3,295768,2020-06-04
Worldstar,1,1,44248,2022-09-29
XL Recordings,1,10,1100951,2021-12-02
XO / Republic Records,1,18,3534577,2022-10-06
XO Records / Republic Records,1,1,119632,2022-08-18
"XO Records, LLC and Republic Records",1,1,31143,2019-04-18
"XO | Roc Nation Records, LLC",1,2,45242,2021-09-02
YBNL 2022,1,2,38809,2022-09-29
YBNL Nation / EMPIRE,3,21,3871608,2022-10-06
YEAR0001,1,1,164838,2022-03-03
"YG Entertainment, distributed through Interscope Records",1,1,82615,2019-05-30
YG Entertainment/Interscope Records,3,9,1529730,2022-10-06
Yano World,1,1,518908,2021-11-18
Youbuntu,1,3,1283377,2022-10-06
"Young Money Records, Inc.",1,24,545650,2020-02-13
Young Money/Cash Money Records,1,20,523763,2020-02-20
Zain's World,1,1,492326,2021-06-17
Zanku Records,1,1,16957,2022-09-29
"Zelig Records, LLC./Columbia Records",1,1,348093,2019-06-13
Ziiki Media,4,5,385677,2022-09-29
eMtee Records,1,15,525509,2021-04-29
eOne Urban,1,1,97317,2019-05-09
emPawa Africa Limited,2,3,101720,2022-09-29
famifellaz Entertainment Group,1,1,21646,2022-04-21
i am OTHER/Columbia,1,1,37177,2018-05-10
iamcosmic,1,8,2709175,2020-04-30
independently popular.,1,2,121750,2019-05-16
melvitto under exclusive license to Amuseio AB,1,1,22421,2022-09-29
pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,1,19,9449398,2022-10-06
soul spirit productions,1,1,23515,2020-01-02
stillaround,1,2,60740,2019-07-25
stop tryna see who put this out,1,1,16773,2020-08-06
