main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
Travis Scott,Epic,Grand Hustle,"","","","","",1664054
Njelic,Universal Music (Pty) Ltd.,"","","","","","",1660089
Elley Duh,Not Fit For Society,RCA Records,"","","","","",1658897
Lola Young,Universal-Island Records Ltd.,"","","","","","",1653216
Hanumankind,Universal Music India Pvt Ltd.,"","","","","","",1652983
Lindough,Lindough,"","","","","","",1647664
Swedish House Mafia,Republic Records,"","","","","","",1647587
Rod Wave,Alamo,"","","","","","",1647279
ATB,Virgin,"","","","","","",1645964
Tamia,Elektra Records,"","","","","","",1644036
King Temoso,Wanitwa Mos Entertainment,"","","","","","",1640330
Kurt Darren,Select,"","","","","","",1640195
Dzo 729,Simnandi Records,"","","","","","",1631405
ShaunMusiq & Ftears,Sound African Recordings,"","","","","","",1623233
Don Toliver,We Run It Ent.,Cactus Jack,Atlantic,"","","","",1621460
Kate Bush,Parlophone UK,"","","","","","",1615056
Offset,Slaughter Gang LLC,Epic,Quality Control Music,Motown,Capitol,Boominati Worldwide,Republic,1599534
Jonas Blue,Positiva,"","","","","","",1593816
Kizz Daniel,EMPIRE,"","","","","","",1593448
Fezeka Dlamini,Sginci Media, Durban Base,"","","","","",1588477
Lojay,Metallic Music,1789,"","","","","",1568536
Doechii,Top Dawg Entertainment,Capitol Records,"","","","","",1568158
Katy Perry,Capitol Records,"","","","","","",1564063
Charlie Puth,Atlantic Records,"","","","","","",1553396
Aqyila,Sony Music Canada,"","","","","","",1550318
Vetkuk,Sound African Recordings,"","","","","","",1535364
Loud Luxury,Armada Music,"","","","","","",1518924
Lloyd,I.G. Records Inc.,Universal Records,"","","","","",1513082
Soa Mattrix,Gaba Cannal Music,"","","","","","",1509744
Camila Cabello,Epic,"","","","","","",1506048
WizKid,Starboy,RCA Records,"","","","","",1502809
Major League Djz,Universal Music (Pty) Ltd.,"","","","","","",1494533
Drake,Republic Records,"","","","","","",1475161
Msongi,Global Media Group,"","","","","","",1460504
RAYE,Human Re Sources,"","","","","","",1449877
Sannere,The Whole Time Entertainment,"","","","","","",1441872
AKA,Beam Group,"","","","","","",1439681
Samthing Soweto,Platoon,"","","","","","",1430005
Prince Kaybee,Universal Music (Pty) Ltd.,"","","","","","",1419831
DJ Dadaman,New Money Gang Records,"","","","","","",1419512
Pabi Cooper,Ama Roto Entertainment,"","","","","","",1413475
THE SCOTTS,Cactus Jack, Epic,"","","","","",1412785
Sha Sha,Black Major,"","","","","","",1408336
Karyn White,Warner Records,"","","","","","",1404426
Miley Cyrus,RCA Records Label,"","","","","","",1397834
Migos,Quality Control Music,Motown Records,"","","","","",1390970
Sneziey,Gallo Record Company,"","","","","","",1388520
Lil Baby,Quality Control Music (Caroline),"","","","","","",1383528
Ciara,Beauty Marks Entertainment Inc.,"","","","","","",1381222
Master KG,Open Mic Productions,"","","","","","",1378686
TitoM,Boundary Ent, Spaceship,"","","","","",1375136
Kweyama Brothers,Sundance Music,"","","","","","",1374216
JID,Dreamville,Interscope,"","","","","",1373397
TOTO,Columbia,"","","","","","",1373062
Nomcebo Zikode,Open Mic Productions,"","","","","","",1353404
Arctic Monkeys,Domino Recording Co,"","","","","","",1350190
Shebeshxt,Fyve,"","","","","","",1342262
Major Keys,Major Keys Records,"","","","","","",1341244
TOSS,Toss Indabakabani,"","","","","","",1338046
Galantis,Big Beat Records,"","","","","","",1337419
Nduduzo Matse,Indumezulu Music,"","","","","","",1337390
GIVON,Epic,Not So Fast,"","","","","",1323891
DBN Gogo,NTS,"","","","","","",1316362
Temple Boys Cpt,4374710 Records DK,"","","","","","",1312073
Tory Lanez,One Umbrella Records,"","","","","","",1303659
ACRAZE,Thrive Music LLC,"","","","","","",1303541
MaWhoo,Mawhoo,"","","","","","",1300094
Calvin Harris,Columbia,"","","","","","",1282164
Lil Baby,Quality Control Music,Motown Records,"","","","","",1276663
ThackzinDJ,Universal Music (Pty) Ltd.,"","","","","","",1274495
Shebeshxt,Naqua Production,"","","","","","",1268349
Falabo,Gallo Record Company,"","","","","","",1267195
Sam Feldt,Spinnin' Remixes,"","","","","","",1257465
KSI,BMG Rights Management (US) LLC,"","","","","","",1255746
Kygo,Kygo,RCA Records,"","","","","",1250985
A$AP Rocky,A$AP Worldwide,Polo Grounds Music,RCA Records,"","","","",1236894
Dominic Fike,Columbia,"","","","","","",1233804
Dynoro,Columbia,B1 Recordings,"","","","","",1232067
PARTYNEXTDOOR,OVO Sound,Warner Records,"","","","","",1225183
Toosii,South Coast Music Group,Capitol Records,"","","","","",1222029
Semi Tee,Jozi Entertainment,"","","","","","",1221449
NF,NF Real Music,"","","","","","",1219377
Naleboy Young King,Naleboy Music,"","","","","","",1207730
Bernice West,Universal Music (Pty) Ltd.,"","","","","","",1203722
George Ezra,Columbia,"","","","","","",1197245
Dj Karri,5K Records Limited,"","","","","","",1181389
Jonas Brothers,Republic Records,"","","","","","",1178435
Bebe Rexha,Warner Bros.,"","","","","","",1176968
Surfaces,Surfaces LLC, TenThousand Projects LLC,"","","","","",1168450
StaySolidRocky,Columbia,"","","","","","",1165101
Xduppy,Sound African Recordings,"","","","","","",1161443
Selena Gomez,UMGRI Interscope,"","","","","","",1157313
Tyga,Last Kings Music, EMPIRE,"","","","","",1156622
Elvirgo,Gallo Record Company,"","","","","","",1154839
Ayra Starr,Mavin Global Holdings Ltd.,"","","","","","",1148629
Benson Boone,Warner Records,"","","","","","",1146968
Pimmie,OVO Sound,"","","","","","",1143784
Bruno Mars,Elektra (NEK),"","","","","","",1135507
Queen,EMI,"","","","","","",1134034
AKA,Vth Season,"","","","","","",1132042
Michael Bubl,143,Reprise,"","","","","",1130725
Sykes,Emazulwini Productions,"","","","","","",1129069
Rosa Linn,Columbia,"","","","","","",1128293
Dan + Shay,Warner Music Nashville,"","","","","","",1126887
Lil Wayne,CM,Republic,"","","","","",1126884
Alec Benjamin,2018,"","","","","","",1117658
Da Mabusa,Major Role Music,"","","","","","",1115691
Dodo Nyoka,Warner Music Africa,"","","","","","",1109476
YG Marley,YG Marley Music,"","","","","","",1109018
Sam Smith,Capitol Records UK, EMI,"","","","","",1105798
Pheelz,Riidiimacool,"","","","","","",1096087
BoyWithUke,Republic Records,"","","","","","",1090814
INNOVATIVE DJz,famifellaz Entertainment Group,"","","","","","",1080393
Marshmello,Marshmello,Republic,"","","","","",1079365
Young Stoner Life,300 Entertainment,"","","","","","",1075905
Ariana Grande,Universal Records,"","","","","","",1071614
Elevation Worship,Elevation Worship Records,"","","","","","",1068303
Ariana Grande,"Ariana Grande & Justin Bieber ""Stuck With U""- Charity","","","","","","",1066410
Vance Joy,Atlantic Records,"","","","","","",1061297
Mr Thela,Tronics Land,"","","","","","",1057079
Wham!,Epic,"","","","","","",1053675
Chris Brown,Jive,"","","","","","",1053202
Tony Dayimane,83 Management Group,"","","","","","",1047702
Brent Faiyaz,ISO Supremacy under exclusive license to UnitedMasters LLC,"","","","","","",1046761
Jaymes Young,Atlantic Records,"","","","","","",1045771
Odeal,2024 OVMBR,LVRN Records (Love Renaissance),"","","","","",1041942
THE ANXIETY,MSFTSMusic, Roc Nation Records LLC,"","","","","",1041478
Kodak Black,Atlantic Records,"","","","","","",1036223
Musketeers,Muskat,"","","","","","",1025919
Brenda Lee,MCA Nashville,"","","","","","",1021648
Kelly Khumalo,Universal Music (Pty) Ltd.,"","","","","","",1021282
Ali Gatie,Warner Records,"","","","","","",1019798
Lowsheen,Wanitwa Mos Entertainment,"","","","","","",1016217
Y2K,Columbia,"","","","","","",1011533
A-Reece,RUBBERBVNDGVNG,"","","","","","",1008901
Tyler ICU,New Money Gang,"","","","","","",1006826
Sannere,Sannere Music,"","","","","","",1005794
Lithe,Lithe,"","","","","","",1005487
Tskay,Open Mic Productions,"","","","","","",995259
BLACKPINK,YG Entertainment,Interscope Records,"","","","","",995073
Kehlani,TSNMI, Atlantic,"","","","","",992563
DJ Tira,Afrotainment,"","","","","","",986555
Kanye West,Getting Out Our Dreams II, Def Jam Recordings,"","","","","",980066
Jimin,BIGHIT MUSIC,"","","","","","",979904
Burna Boy,Roc Nation,Def Jam,Hollywood,"","","","",970416
Kaycherlow NLL,Potential Records,"","","","","","",960668
Shaunmusiq,New Money Gang Records,"","","","","","",957523
Saweetie,ICY,Warner Records,"","","","","",956022
DJ Ngwazi,Wanitwa Mos Entertainment,"","","","","","",955384
Boohle,Waltz Music Group,"","","","","","",954441
Dave,Neighbourhood,"","","","","","",952683
Demi Lee Moore,Warner Music Africa,"","","","","","",942063
Jhen Aiko,Def Jam Recordings,"","","","","","",937725
Conan Gray,Republic Records,"","","","","","",928269
Clean Bandit,Atlantic Records UK,"","","","","","",927321
K-Ci & JoJo,Geffen*,"","","","","","",926353
Bruno Mars,Atlantic Records,"","","","","","",925761
Machine Gun Kelly,Bad Boy,Interscope Records,"","","","","",918976
Joel Corry,Perfect Havoc, Asylum Records,"","","","","",915995
Hozier,Universal-Island Records Ltd.,"","","","","","",911921
Mi Casa,Universal Music (Pty) Ltd.,"","","","","","",911503
Aymos,Platoon,"","","","","","",900888
Junior De Rocka,Rocka Empire,"","","","","","",897303
Naledi Aphiwe,Durban Base Entertainment,"","","","","","",893324
Lady Du,Prime Hold Consult Black is Brown,"","","","","","",884547
Surf Mesa,Astralwerks,"","","","","","",880925
NLE Choppa,Warner Records,"","","","","","",866092
DJ Sumbody,Sound African Recordings,"","","","","","",862111
Focalistic,Vth Season,18 Area Holdings,"","","","","",853628
UNLIMITED SOUL,D&D Studios,"","","","","","",835108
David Guetta,Parlophone (France),"","","","","","",833936
HVME,Columbia,B1 Recordings,"","","","","",830266
Tisto,Universal Music a division of Universal International Music BV,"","","","","","",828982
Harry Cane,Wanitwa Mos Entertainment,"","","","","","",828410
Mapara A Jazz,Open Mic Productions,"","","","","","",825270
Duncan Laurence,Universal Music a division of Universal International Music BV,"","","","","","",824198
King Monada,Moreki Music,"","","","","","",822337
Michael Bubl,Reprise,"","","","","","",819048
Konke,TAYO Projects, The T Effect,"","","","","",816141
Nathi,Gallo Record Company,"","","","","","",810519
Kanye West,Getting Out Our Dreams Inc.,Def Jam Recordings,"","","","","",809503
25K,Sound African Recordings,"","","","","","",809474
Sushi.b,Sushi Way,"","","","","","",807806
Justin Timberlake,RCA Records Label,"","","","","","",804958
Ricus Nel,Select,"","","","","","",800623
Goya Menor,Columbia,B1 Recordings,"","","","","",798672
Bobby Helms,Geffen,"","","","","","",798301
Zahara,The CCP Record Company (Pty) Limited,"","","","","","",798118
Madlala,4713726 Records DK,"","","","","","",797824
TLC,Arista,LaFace Records,"","","","","",795414
Dove Cameron,Disruptor Records,Columbia,"","","","","",793568
SHAED,Photo Finish Records,"","","","","","",791478
Yeat,Field Trip Recordings,Geffen Records,"","","","","",791347
Tion Wayne,Atlantic Records UK,"","","","","","",790669
Killer Kau,Soweto Music & Entertainment Academy,"","","","","","",789933
ESK MUSIQ,ESK MUSIQ,"","","","","","",789298
Coi Leray,Uptown, Republic Records,"","","","","",788820
ChubbyCheeks,ChubbyCheeks,"","","","","","",783443
Dua Lipa,Atlantic Records,"","","","","","",783200
Normani,Keep Cool,RCA Records,"","","","","",782338
Marshmello,Joytime Collective,"","","","","","",781482
Lil Mabu,Lil Mabu,"","","","","","",775926
Ritt Momney,Columbia,"","","","","","",772195
Leon Thomas,EZMNY Records,Motown Records,"","","","","",771993
Ella Mai,10 Summers, Interscope PS,"","","","","",767683
Shakes & Les,Ziiki Media,"","","","","","",765862
Black Motion,Next Music,"","","","","","",758388
Iniko,Columbia,"","","","","","",757288
Khalid,RCA Records Label,"","","","","","",756934
Post Malone,Mercury Records, Republic Records,"","","","","",753974
Gabry Ponte,Spinnin' Records,"","","","","","",752966
Jorja Smith,FAMM,"","","","","","",750498
FIFTY FIFTY,WM Korea,"","","","","","",748335
Ama Grootman,Major Role Music,"","","","","","",742754
Lay Bankz,Artist Partner Group Inc.,"","","","","","",738331
Dodo Nyoka,WM South Africa,"","","","","","",734687
Sfarzo Rtee,Sfarzo Rtee Music (pty) LTD,"","","","","","",734008
TitoM,Boundary Entertainment,"","","","","","",732478
J. Cole,Roc Nation LLC,"","","","","","",732143
WILLOW,Roc Nation W Smith P&D,"","","","","","",730718
Artwork Sounds,Theko Entertainment,"","","","","","",728931
Ceeka RSA,Baby Blue Entertainment,"","","","","","",728515
Ch'cco,R1+O CARTEL,"","","","","","",726167
Justin Bieber,Friends Keep Secrets,Def Jam Recordings,Interscope Records,"","","","",726123
Riky Rick,Anolabex (Pty) Ltd,"","","","","","",724578
Dave,Dave, Neighbourhood Recordings,"","","","","",724074
Biggy,Universal Music (Pty) Ltd.,"","","","","","",723323
Lauren Spencer-Smith,Three Name Productions Inc., Island Records & Republic Records,"","","","","",721389
Sevdaliza,Twisted Elegance,"","","","","","",717261
Robot Boii,Silver Merci,"","","","","","",714877
Mabel,Polydor Records,"","","","","","",713806
Will Linley,BMG Rights Management (US) LLC,"","","","","","",713523
Rihanna,Def Jam Recordings,"","","","","","",704771
CJ,Warner Records,"","","","","","",702511
Alan Walker,MER Recordings,"","","","","","",690072
Hailee Steinfeld,Universal Records,"","","","","","",689439
CJ,CJ Music Group,T-Series,"","","","","",689098
Jay Music,1713874 Records DK,"","","","","","",686818
Lindo Mtangayi,Independent,"","","","","","",683877
S'Villa,Ambitiouz Entertainment,"","","","","","",681641
J JOHN THE BIG BABY,B.M.T ENTERTAINMENT,"","","","","","",676693
Goon Flavour,Lea Records,"","","","","","",676209
Big Sean,Getting Out Our Dreams Inc.,Def Jam Recordings,"","","","","",675922
Appel,WM South Africa,"","","","","","",675121
Professor,Kalawa Jazmee,"","","","","","",671703
Bryan Adams,A&M,"","","","","","",670146
Sigala,Ministry of Sound Recordings,"","","","","","",669226
Rudimental,Atlantic Records UK,"","","","","","",668391
Armani White,Legendbound LLC, Def Jam Recordings,"","","","","",665338
JACKBOYS,Cactus Jack, Epic,"","","","","",661300
Alessia Cara,EP Entertainment LLC, Def Jam,"","","","","",659431
Wale,MMG,Atlantic,"","","","","",651123
Felo Le Tee,New Money Gang,"","","","","","",649442
Victony,Encore Recordings,"","","","","","",648912
Elandr,Select,"","","","","","",648870
Thandeka Radebe,Lugaju Entertainment(PTY)LTD,"","","","","","",647979
Logic,Def Jam Recordings,"","","","","","",646131
Kaliii,Atlantic Records,"","","","","","",645580
Good Neighbours,Some Action,"","","","","","",643739
Zandimaz,Live Rich Entertainment,"","","","","","",642586
Sheck Wes,Cactus Jack Records, G.O.O.D. Music, Interscope Records,"","","","",641170
Future,Wilburn Holding Co.,Epic,"","","","","",636683
DJ Zinhle,Universal Music (Pty) Ltd.,"","","","","","",633004
Kali,Atlantic Records,"","","","","","",630887
Ice Beats Slide,Ingoma,"","","","","","",629993
Lil Wayne,Young Money Records Inc.,"","","","","","",627395
Tebza De DJ,Tebza De DJ, EMPIRE,"","","","","",625855
Vigro Deep,Rinse,"","","","","","",624500
NEIKED,Capitol,"","","","","","",623142
WizTheMc,Bamboo Artists,"","","","","","",621704
CIZA,2025 CIZARIO Records,LVRN Records (Love Renaissance),"","","","","",620907
Andy Williams,Columbia,Legacy,"","","","","",620693
Lil Uzi Vert,sped up nightcore,"","","","","","",617707
Prince Benza,Lane Records,"","","","","","",615924
Lizzy McAlpine,Harbour Artists & Music,"","","","","","",612465
Victoria Mont,Lovett Music,RCA Records,"","","","","",609312
Mac Miller,Warner Records,"","","","","","",606730
Rich Amiri,Internet Money Records, 10K Projects,"","","","","",601395
Drizzy Sam Rsa,Side Hustle,"","","","","","",599791
Marshmello,RCA Records Label Nashville,"","","","","","",593872
Sino Msolo,Sino Msolo Records,"","","","","","",593650
Semi Tee,Universal Music (Pty) Ltd.,"","","","","","",589306
CKay,WM South Africa,"","","","","","",589045
Kanye West,Columbia,"","","","","","",587494
Rethabile Khumalo,Winnkay Music,"","","","","","",583374
LISA,YG Entertainment,Interscope Records,"","","","","",583128
evvz,TGR Music Group,"","","","","","",582126
benny blanco,Benny Blanco Solo Album PS,"","","","","","",581737
DJ Snake,DJ Snake Music Productions Limited under exclusive license to Geffen Records,"","","","","","",581129
Selena Gomez,Selena Gomez PS,"","","","","","",580491
Labrinth,Masterworks,"","","","","","",576598
Mario,J Records,Legacy,"","","","","",576483
A Boogie Wit da Hoodie,Highbridge the Label, Atlantic Records,"","","","","",574223
JP Cooper,Universal-Island Records Ltd.,"","","","","","",570518
Sam Fischer,RCA Records Label,"","","","","","",568529
Superstar Pride,Superstar Pride under exclusive license to UnitedMasters LLC,"","","","","","",568046
Marshmello,Atlantic Records UK,"","","","","","",567707
Beyonc,Music World Music,Columbia,"","","","","",558656
Kelly Clarkson,RCA Records Label,"","","","","","",556174
6ix9ine,Scumgang Records,TenThousand Projects LLC,"","","","","",552102
5 Seconds of Summer,5 Seconds Of Summer,Interscope,"","","","","",547226
Jayy Scott,Sixxtune Africa (Pty) Ltd,"","","","","","",545519
Charli XCX,Atlantic Records,"","","","","","",545120
BENEE,Republic Records,"","","","","","",544142
4batz,4batz, OVO Sound,"","","","","",541338
Tee Jay,Waltz Music Group,"","","","","","",540913
Nomcebo Zikode,Emazulwini Productions,"","","","","","",540536
6ix9ine,Scumgang Records,"","","","","","",536629
Amaarae,0207 Def Jam,"","","","","","",535211
Jobe London,Feel Good Music,"","","","","","",534663
Labrinth,Syco Music,"","","","","","",533580
J Hus,Black Butter,"","","","","","",532961
UNLIMITED SOUL,Universal Music (Pty) Ltd.,"","","","","","",531523
Carolina Gaitn - La Gaita,Walt Disney Records,"","","","","","",531239
Emtee,EMTEE RECORDS,"","","","","","",525509
Nicki Minaj,Young Money,Cash Money Records,"","","","","",523763
Benny Mayengani,Tiba Ben Promotion,"","","","","","",520440
Chle,Parkwood Entertainment,Columbia,"","","","","",519940
Dj Abux,Yano World,"","","","","","",518908
James Johnston,WM Australia,"","","","","","",516838
Calvin Harris,Sony Music UK,"","","","","","",514359
Sund,The Seventh Day; â„— under exclusive license to INKANYEZI HOLDINGS 2023 Â©,"","","","","","",513552
Njabulo Langa,4079389 Records DK,"","","","","","",512088
Villosoul,Superstar Studios,"","","","","","",509154
Sia,Records,Columbia,"","","","","",504931
Lil Baby,Quality Control,Motown Records,"","","","","",503346
Dean Martin,Capitol Records,"","","","","","",502998
TALK,Range Music,Capitol Records,"","","","","",501928
J. Cole,J. Cole P&D,"","","","","","",500324
SA Music,5660561 Records DK,"","","","","","",498064
Kali Uchis,EMI, Interscope,"","","","","",497092
Pushkin RSA,Pushkin and Springle,"","","","","","",496671
Lady Du,Wa Wa,EMEXTEE,"","","","","",495682
Karyendasoul,Universal Music (Pty) Ltd.,"","","","","","",492956
Zain SA,Zain's World,"","","","","","",492326
Joyner Lucas,Twenty Nine Music Group,"","","","","","",491017
Rita Ora,Atlantic Records UK,"","","","","","",490859
Kususa,Universal Music (Pty) Ltd.,"","","","","","",487470
Zara Larsson,Epic,Record Company TEN,"","","","","",486187
KindlyNxsh,Wuhn Shot Entertainment,"","","","","","",486004
Trippie Redd,1400 Entertainment, 10K Projects,"","","","","",485294
Sia,Monkey Puzzle,Atlantic,"","","","","",481414
AURORA,Glassnote Entertainment Group LLC,"","","","","","",481248
GIVON,Epic,"","","","","","",479239
Thuto The Human,2woBunnies,"","","","","","",478691
Lizwi Wokuqala,The Whole Time Entertainment,"","","","","","",477296
MDU aka TRP,Piano Hub,"","","","","","",476980
Kid Cudi,Republic Records,"","","","","","",476877
Journey,Columbia,Legacy,"","","","","",472424
Mas Musiq,New Money Gang,"","","","","","",471844
KayGee DaKing,Waltz Music Group,"","","","","","",470944
BIA,Epic,"","","","","","",469909
Msaki,ALTBLK (Oneshushuday),"","","","","","",469832
Tyler ICU,Sound African Recordings,"","","","","","",467607
Cochise,Columbia,"","","","","","",463117
Kali Uchis,Geffen Records,"","","","","","",460954
Labrinth,Columbia,"","","","","","",460931
Issa sisdoh,6365723 Records DK,"","","","","","",458878
Sizwe Mdlalose,Afrotainment,"","","","","","",458355
Dreamville,Dreamville,Interscope Records,"","","","","",457643
Kenya Grace,Major Recordings,"","","","","","",457402
BRNS,UMGRI Interscope,"","","","","","",456480
YNW Melly,P2018,"","","","","","",456409
Fleetwood Mac,Rhino,Warner Records,"","","","","",450544
Dennis Lloyd,WM Italy,"","","","","","",448142
Wham!,Sony Music CG,"","","","","","",444831
Madison Ryann Ward,Madison,American Recordings,Republic,"","","","",443981
Jos Feliciano,RCA Records Label,"","","","","","",438380
Jess Glynne,Atlantic Records UK,"","","","","","",435881
De Mthuda,Born In Soweto,House Afrika,De Mthuda & Njelic,"","","","",435778
YNW Melly,P2019,"","","","","","",435358
BlocBoy JB,OVO Sound,Warner Records,"","","","","",433614
Campmasters,Afrotainment,"","","","","","",432698
Tinashe,Tinashe Music Inc. under exclusive license to Nice Life Recording Company,"","","","","","",430825
Yallunder,1020 Cartel,"","","","","","",430552
Tribby wadi bhozza,TRRR 015 Entertainment,"","","","","","",429890
ShaunMusiq & Ftears,New Money Gang Records,"","","","","","",426454
Bushy B,Live House Music Group,"","","","","","",423997
NF,NF Real Music II,"","","","","","",423958
Stephen Sanchez,Republic Records,"","","","","","",422209
Josh Levi,Atlantic Records, Raedio,"","","","","",421574
Dlala Thukzin,Dlala Records,"","","","","","",420405
Malome Vector,The Whole Time Entertainment,"","","","","","",420148
The Ronettes,Legacy Recordings,"","","","","","",418348
Liwn,Liwn361,"","","","","","",417493
Lucky Daye,Keep Cool,RCA Records,"","","","","",415323
Max Hurrell,Universal Music (Pty) Ltd. Distribution Deals,"","","","","","",414474
TuksinSA,Open Mic Productions,"","","","","","",410249
Nathan Evans,Polydor Records,"","","","","","",408756
Kygo,Palm Tree Records,RCA Records,"","","","","",401214
Twenty One Pilots,Fueled By Ramen,"","","","","","",400038
Tumisho,Jozi Entertainment,"","","","","","",399805
StarBoi3,Not specified,"","","","","","",397252
Bella Poarch,Warner Records,"","","","","","",396741
MashBeatz,OuttaThisWorld,"","","","","","",394092
Jason Mraz,Atlantic Records,ATG,"","","","","",393801
THANDAZANI,4348954 Records DK,"","","","","","",393616
Ashnikko,Parlophone UK,"","","","","","",392488
Blxst,Red Bull Records Inc., Evgle LLC,"","","","","",392397
Young Nudy,PDE Records,Same Plate,RCA Records,"","","","",392201
Lady Zamar,Universal Music (Pty) Ltd.,"","","","","","",391263
The Game,100 Entertainment Inc,"","","","","","",388497
Mark Ronson,Columbia,"","","","","","",387425
Shaunmusiq,Kgaday,"","","","","","",386983
Ty Dolla $ign,Atlantic Records,"","","","","","",385771
Alfa Kat,Eye 'N See Entertainment,"","","","","","",380757
Demi Lovato,Island Records,"","","","","","",379359
Gucci Mane,Guwop Enterprises,Atlantic,"","","","","",378861
Stormzy,Atlantic Records UK,"","","","","","",378556
Chella,Chella Music, 222 Ent.,"","","","","",371922
Hlengiwe Mhlaba,Big Fish.,"","","","","","",369312
Offset,Motown Records,"","","","","","",368949
Jnr Choi,Jnr Choi,Epic,"","","","","",367330
Beach Weather,8123, Arista Records,"","","","","",366532
Niall Horan,Capitol Records,"","","","","","",364475
Alesso,10:22 pm,"","","","","","",363923
Bernice West,Universal Music (Pty) Ltd. Distribution Deals,"","","","","","",362678
Kwesta,Sound African Recordings,"","","","","","",362302
Omar Apollo,Warner Records,"","","","","","",362188
Kane Brown,RCA Records Label Nashville,"","","","","","",361910
rum.gold,Leola LLC,"","","","","","",361137
RealestK,Columbia,"","","","","","",359134
Don Toliver,Cactus Jack, WeRunIt Ent., Atlantic,"","","","",353804
King Princess,Zelig Records LLC.,Columbia Records,"","","","","",353781
Dj Melzi,Universal Music (Pty) Ltd.,"","","","","","",352281
Myles Smith,Independent,"","","","","","",351448
Sdala B,Open Mic Productions,"","","","","","",347552
Phobla on the beat,4144611 Records DK,"","","","","","",347298
Linkin Park,Warner Records,"","","","","","",346127
DripReport,Arista Records,"","","","","","",344774
Soulful G,Wanitwa Mos Entertainment,"","","","","","",342408
Chrystal,Polydor Records,"","","","","","",342015
AKA,Universal Music (Pty) Ltd.,"","","","","","",341448
Janesh,Janesh,"","","","","","",341125
Chris Brown,RCA Records Label,"","","","","","",341119
WOODBLOCK DJS,SoldOut Media,"","","","","","",338978
Silk City,Columbia,"","","","","","",338858
Blissbouy,Xigaza Xa Ma2K,"","","","","","",335881
Majestic,NITRON music,"","","","","","",334736
Lil Dicky,Commission,BMG,"","","","","",334367
Diplo,Columbia,"","","","","","",333437
Clinton Kane,Columbia,"","","","","","",332256
Masego,EQT Recordings,Capitol Records,"","","","","",328472
Heavy-K,Drumboss Musik,"","","","","","",328240
SKHANDAWORLD,Universal Music (Pty) Ltd.,"","","","","","",327031
XXXTENTACION,Warner Records,"","","","","","",327030
Jordan Adetunji,Indigo Kid Records,"","","","","","",326328
Doja Cat,Atlantic Records,"","","","","","",324865
ThxSoMch,Elektra (NEK),"","","","","","",321196
G-Eazy,BPG,RVG,RCA Records,"","","","",320234
Foushe,Not specified,"","","","","","",316912
Zonke,Sound African Recordings,"","","","","","",315876
5 Seconds of Summer,UMGRI Interscope,"","","","","","",315428
NOTD,Universal Music AB,"","","","","","",315071
Halle,Parkwood Entertainment,Columbia,"","","","","",313338
Em Beihold,Republic Records,Moon Projects LLC.,"","","","","",311690
UNjoko,3490297 Records DK,"","","","","","",307774
Offset,Quality Control Music,Motown Records,"","","","","",307316
Imanbek,Musical Freedom,"","","","","","",307098
ajof.,Octoba 7ven.,"","","","","","",306956
Lauren Daigle,Centricity Music,Warner Records,"","","","","",306718
French Montana,Epic,"","","","","","",305622
Pusha T,Getting Out Our Dreams Inc. (G.O.O.D.) Music, IDJ,"","","","","",305247
Malome Vector,Ambitiouz Entertainment,"","","","","","",304610
Why Don't We,Atlantic Records,"","","","","","",303960
Blue Ivy,Parkwood Entertainment,Columbia,"","","","","",303221
Sir Trill,Sir Trill Music,"","","","","","",301114
Becky Hill,Polydor Records,"","","","","","",300586
Aubrey Qwana,Sound African Recordings,"","","","","","",297865
Bebe Rexha,Warner Records,"","","","","","",296011
Childish Gambino,Wolf+Rothstein,RCA Records,"","","","","",295768
Internet Money,Internet Money, 10K Projects,"","","","","",295022
Olefied Khetha,Olefied Music,"","","","","","",290508
Masterpiece YVK,Piano Hub,"","","","","","",289906
Portugal. The Man,Atlantic Records,"","","","","","",289368
Mzux Maen,Sound African Recordings,"","","","","","",287905
FelixThe1st,Capitol,"","","","","","",287643
YG,Def Jam Recordings,"","","","","","",287493
Amu Classic,Ziiki Media,"","","","","","",287040
Boohle,Boohle Music,"","","","","","",287036
Shekhinah,Sound African Recordings,"","","","","","",285669
Freddie Dredd,Doomshop Records,RCA Records,"","","","","",285018
Mega,Sky Heaven (PTY) LTD,"","","","","","",282460
Curtis Waters,BMG Rights Management (US) LLC,"","","","","","",278519
Blxckie,727412 Records DK2,"","","","","","",278333
Usimamane,5612124 Records DK,"","","","","","",278090
Mfr Souls,Kombelani,"","","","","","",276021
Babalwa M,Babalwa M, EMPIRE,"","","","","",271881
347aidan,Columbia,"","","","","","",271505
Lukas Graham,Warner Records,"","","","","","",270938
Migos,Quality Control Music LLC,"","","","","","",270746
Bad Bunny,OVO Sound,Warner Records,"","","","","",270378
Balcony Mix Africa,Balcony Mix Africa,"","","","","","",268316
Natalie Taylor,Columbia,"","","","","","",266992
Zero12Finest,Open Mic Productions,"","","","","","",266213
Russ,Russ My Way Inc,"","","","","","",265923
j-hope,BIGHIT MUSIC,"","","","","","",265378
Axwell /\ Ingrosso,EMI,"","","","","","",263546
LeoStayTrill,Str8 Reload Ent,"","","","","","",262687
Pharrell Williams,Columbia,"","","","","","",260389
Tellaman,Universal Music (Pty) Ltd.,"","","","","","",259879
ZAYN,RCA Records Label,"","","","","","",258797
Lejwe La Motheo Artists Development,Indigenous Tunes,"","","","","","",258743
