main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
David Guetta,Parlophone UK,"","","","","","",9704838
Travis Scott,Cactus Jack, Epic,"","","","","",9670825
Lady Amar,Lea Records,"","","","","","",9553689
Ruth B.,Columbia,"","","","","","",9550575
Shaboozey,American Dogwood, EMPIRE,"","","","","",9541447
J. Cole,Dreamville Inc. Under exclusive license to Roc Nation Records,"","","","","","",9495545
Kamo Mphela,Kamo Mphela Entertainment,"","","","","","",9427359
2Point1,Penya Play Productions,"","","","","","",9340546
Dave,Neighbourhood, Live Yours,"","","","","",9279971
Young Stunna,Piano Hub,"","","","","","",9264085
The Chainsmokers,Disruptor Records,Columbia,"","","","","",9158839
Mawelele,ONE FIFTY EMPIRE, gamma. Africa,"","","","","",9116050
Maroon 5,Interscope Records*,"","","","","","",9104285
Ugatsheni,Kuhleliwe Mmema Holdings,"","","","","","",9045808
Glenn Jones,Jive,"","","","","","",9024142
Caiiro,Ownit Music,"","","","","","",8981448
Sam Smith,Capitol,"","","","","","",8839103
2Point1,2Point1 Music,"","","","","","",8760582
Lady Gaga,Interscope,"","","","","","",8688921
Tyler ICU,Baby Blue Entertainment,"","","","","","",8662969
Libianca,5K Records Limited,"","","","","","",8632420
Lloyiso,Ambitiouz Entertainment,"","","","","","",8525051
A-Reece,Revenge Club Records,"","","","","","",8524527
The Neighbourhood,Columbia,"","","","","","",8509879
Soa Mattrix,Soa Family,"","","","","","",8333044
DJ Maphorisa,New Money Gang,"","","","","","",8329268
Tamia,Rhino,Warner Records,"","","","","",8259949
Tyler,Columbia,"","","","","","",8240559
Ayra Starr,Mavin Records,"","","","","","",8190818
Mr JazziQ,Sound African Recordings,"","","","","","",8058039
Muni Long,Supergiant Records LLC, Def Jam Recordings,"","","","","",8021679
Myles Smith,RCA Records Label,"","","","","","",8020571
Lord Huron,Play It Again Sam,"","","","","","",7963036
Issa sisdoh,Issa Sisdoh,"","","","","","",7944333
Kanye West,Rock The World,IDJ,Kanye LP7,"","","","",7932735
Tom Odell,ITNO,Columbia,"","","","","",7919117
Tommy Richman,PULSE Records,"","","","","","",7902249
Juice WRLD,Juice WRLD Mixtape, ISR P&D,"","","","","",7869537
Nicki Minaj,Republic Records,"","","","","","",7857575
