original_name,match_name,score,match_index
darkroominterscop record,darkroominterscop record,100.0,6271
darkroom,darkroom,100.0,6329
geffen,geffen,100.0,12016
interscop,interscop,100.0,7878
epicw the best,epicw the best,100.0,7881
spirit motion,spirit motion,100.0,7897
next music,next music,100.0,7902
blacko manag empir,blacko manag empir,100.0,7909
blackosa,blackosa,100.0,7915
broken bow record,broken bow record,100.0,7941
ambitiouz entertain,ambitiouz entertain,100.0,7950
umuthi othi thi pti,umuthi othi thi pti,100.0,7979
qtr,qtr,100.0,8061
wanitwa mo entertain,wanitwa mo entertain,100.0,8062
qualiti time record,qualiti time record,100.0,8084
ob wave,ob wave,100.0,8122
blaqwav entertain,blaqwav entertain,100.0,8124
blaqwav,blaqwav,100.0,8125
xigaza xa ma2k,xigaza xa ma2k,100.0,8135
bloc nation,bloc nation,100.0,8168
blocboy jb,blocboy jb,100.0,8188
fifth amend entertainmenteon music,fifth amend entertainmenteon music,100.0,8207
eon urban,eon urban,100.0,8222
727412 record dk2,727412 record dk2,100.0,8233
m4 entertain,m4 entertain,100.0,8235
red bull record evgl,red bull record evgl,100.0,8374
univers digit enterpris,univers digit enterpris,100.0,8404
rca camden,rca camden,100.0,8415
boohl music,boohl music,100.0,8417
waltz music group,waltz music group,100.0,8418
boywithuk,boywithuk,100.0,8493
unimotown,unimotown,100.0,8494
mca nashvil,mca nashvil,100.0,8497
lost kid market by venic stem,lost kid market by venic stem,100.0,8570
lost kid,lost kid,100.0,8797
iso supremaci under exclus licens to unitedmast,iso supremaci under exclus licens to unitedmast,100.0,8613
lost kid,lost kid,100.0,8797
atlant nashvil,atlant nashvil,100.0,8804
legaci record,legaci record,100.0,8810
jive,jive,100.0,8811
nitron concept,nitron concept,100.0,8812
aftermath entertainmentatlant,aftermath entertainmentatlant,100.0,8814
a m,a m,100.0,8963
sire,sire,100.0,8997
trapsoulrca record,trapsoulrca record,100.0,9004
6172300 record dk,6172300 record dk,100.0,9426
spaceship entertain,spaceship entertain,100.0,9432
roc nationdef jamhollywood,roc nationdef jamhollywood,100.0,9434
live hous music group,live hous music group,100.0,9706
majesti music entertain,majesti music entertain,100.0,9710
thupa industri,thupa industri,100.0,9711
prime hold consult black is brown,prime hold consult black is brown,100.0,9882
the conglomer entertain empir,the conglomer entertain empir,100.0,9958
2025 cizario recordslvrn record love renaiss,2025 cizario recordslvrn record love renaiss,100.0,9959
cj music grouptseri,cj music grouptseri,100.0,9961
chocol citi music,chocol citi music,100.0,9999
,ye,0.0,0
ownit music,ownit music,100.0,10075
ownit music,ownit music,100.0,10075
ejarden entertain,ejarden entertain,100.0,10097
capitol record us1a,capitol record us1a,100.0,10098
soni music,soni music,100.0,10158
defect record,defect record,100.0,10260
crux global move record,crux global move record,100.0,10261
syco musicep,syco musicep,100.0,10297
ksratlant,ksratlant,100.0,10495
atlanticksr,atlanticksr,100.0,10498
walt disney record,walt disney record,100.0,10745
big beat record,big beat record,100.0,10760
benni blanco major,benni blanco major,100.0,10765
famili tree,famili tree,100.0,10799
sinc 93,sinc 93,100.0,10919
babi blue entertain,babi blue entertain,100.0,10922
central cee,central cee,100.0,10951
r1o cartel,r1o cartel,100.0,11014
r10 cartel,r10 cartel,100.0,11016
chanc the rapper,chanc the rapper,100.0,11070
chappel roan island,chappel roan island,100.0,11078
artist partner,artist partner,100.0,11123
syco music,syco music,100.0,39987
chella music 222,chella music 222,100.0,11205
brother record under exclus licens to onerpm,brother record under exclus licens to onerpm,100.0,11207
wolfrothsteinrca record,wolfrothsteinrca record,100.0,11225
chri brown entertainmentrca record,chri brown entertainmentrca record,100.0,11288
chri brown entertainment300 entertainmentrca record,chri brown entertainment300 entertainmentrca record,100.0,11429
rhino,rhino,100.0,11969
chubbycheek,chubbycheek,100.0,12002
geffen,geffen,100.0,12016
beauti mark entertain chri brown appear courtesi of chri brown entertain llcrca record a divis of soni music entertain,beauti mark entertain chri brown appear courtesi of chri brown entertain llcrca record a divis of soni music entertain,100.0,12020
beauti mark entertain,beauti mark entertain,100.0,12022
ciara,ciara,100.0,12038
fader label,fader label,100.0,12047
independ,independ,100.0,12051
uptown republ record,uptown republ record,100.0,12195
tommi boy music,tommi boy music,100.0,12307
art waratlant record,art waratlant record,100.0,12323
titch gang record,titch gang record,100.0,12327
mculo empir,mculo empir,100.0,12336
cyfr hold,cyfr hold,100.0,12380
cyfr record,cyfr record,100.0,12413
d d studio,d d studio,100.0,12481
nt,nt,100.0,12540
umg record,umg record,100.0,12597
will of steel next music,will of steel next music,100.0,12598
eskhaleni music,eskhaleni music,100.0,12604
new money gang record,new money gang record,100.0,12605
qualiti control music,qualiti control music,100.0,12617
ganyani entertain,ganyani entertain,100.0,12618
maz entertain,maz entertain,100.0,12627
simnandi record,simnandi record,100.0,12628
4058680 record dk,4058680 record dk,100.0,12635
spinnin deep,spinnin deep,100.0,12677
88 product,88 product,100.0,12724
ovow the bestep,ovow the bestep,100.0,12771
black major x ice drop,black major x ice drop,100.0,12996
new money gang,new money gang,100.0,13022
dj snake music product limit,dj snake music product limit,100.0,13413
dj snake def jam,dj snake def jam,100.0,13414
dj snake music product limit under exclus licens to geffen record,dj snake music product limit under exclus licens to geffen record,100.0,13435
v mobil,v mobil,100.0,13749
spaceship record geobek record,spaceship record geobek record,100.0,13757
18 area hold,18 area hold,100.0,13774
ral,ral,100.0,13853
dhf record,dhf record,100.0,13854
fresh 2 def product,fresh 2 def product,100.0,13897
south coast music groupinterscop record,south coast music groupinterscop record,100.0,13909
south coast music interscop p,south coast music interscop p,100.0,13989
el cartel record ec3,el cartel record ec3,100.0,14149
warner music nashvil,warner music nashvil,100.0,14237
mbk entertainmentrca record,mbk entertainmentrca record,100.0,14306
golden child record,golden child record,100.0,14477
hv record,hv record,100.0,14580
rcabmg heritag,rcabmg heritag,100.0,14691
version iii,version iii,100.0,14699
neighbourhood,neighbourhood,100.0,14741
neighbourhood live your,neighbourhood live your,100.0,14768
dave neighbourhood record,dave neighbourhood record,100.0,14828
parlophon franc,parlophon franc,100.0,14859
miser music group,miser music group,100.0,15094
kiff record,kiff record,100.0,15154
live legend entertain,live legend entertain,100.0,15195
born in soweto,born in soweto,100.0,15242
born in sowetohous afrikad mthuda njelic,born in sowetohous afrikad mthuda njelic,100.0,15434
univers music australia pti,univers music australia pti,100.0,15529
capitol record,capitol record,100.0,15708
dee koala pti,dee koala pti,100.0,15718
indi,indi,100.0,15719
cycad wave,cycad wave,100.0,15758
island recordshollywood record,island recordshollywood record,100.0,15839
piano hub,piano hub,100.0,15898
wm itali,wm itali,100.0,15900
riggin record limit,riggin record limit,100.0,15949
get out our dream good music idj,get out our dream good music idj,100.0,15954
supra familia,supra familia,100.0,15957
hous of makunen,hous of makunen,100.0,16019
distruct boyz record,distruct boyz record,100.0,16048
distruct boyz record,distruct boyz record,100.0,16048
soul horizon music,soul horizon music,100.0,16051
hitco,hitco,100.0,16052
yano world,yano world,100.0,16057
lmw enteaiment,lmw enteaiment,100.0,16068
fbk music,fbk music,100.0,16070
brave boy music,brave boy music,100.0,16113
5k record limit,5k record limit,100.0,16115
melzi event,melzi event,100.0,16134
sambo record,sambo record,100.0,16148
open mic product,open mic product,100.0,16172
soul spirit product,soul spirit product,100.0,16221
djo,djo,100.0,16223
2016098 record dk,2016098 record dk,100.0,16249
dlala record pti,dlala record pti,100.0,16274
dlala record and funko medium,dlala record and funko medium,100.0,16290
dlala record,dlala record,100.0,16316
top dawg entertainmentcapitol record,top dawg entertainmentcapitol record,100.0,16512
kemosab recordsrca record,kemosab recordsrca record,100.0,16524
mau record,mau record,100.0,16598
cactu jack werunit atlant,cactu jack werunit atlant,100.0,17160
