Cluster,Mean squared error,r-squared,method
3,351514.36579047225,-102.47358378327363,"all numeric features, k-means groups and linear regression"
1,221320455.43820822,-65148.03206655356,"all numeric features, k-means groups and linear regression"
2,50539.56685426213,-13.877087863834316,"all numeric features, k-means groups and linear regression"
0,1189423.4240381543,-349.12482077151014,"all numeric features, k-means groups and linear regression"
