main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
Adele,Easy On Me,92,199,152,1,132,94,53038,1,1,20,54847,54822.0,231239.0,57809.75,111.0,4.0,27.0,5213.0,1.2432432432432432,1.095089562584364,1
Adele,Easy On Me,93,201,162,1,152,95,54847,1,1,10,54847,90535.0,609115.0,101519.16666666667,34.0,6.0,24.0,29581.0,1.7058823529411764,1.3267355166510189,1
Adele,Set Fire to the Rain,12,192,185,68,-1,14,48073,1,0,12,50102,102244.0,1445914.0,289182.8,2.0,5.0,43.0,345967.0,22.5,4.383738899104104,1
Adele,Set Fire to the Rain,13,194,165,68,185,15,46892,1,0,-20,50102,47782.0,304384.0,50730.666666666664,134.0,6.0,36.0,6040.0,1.2686567164179106,1.1264074337616676,1
Adele,Set Fire to the Rain,14,196,182,68,165,16,43049,1,0,17,50102,50697.0,324414.0,54069.0,120.0,6.0,27.0,6706.0,1.225,1.1322760715624198,1
Adele,Set Fire to the Rain,15,198,183,68,182,17,44992,1,0,1,50102,271651.0,1673637.0,278939.5,4.0,6.0,4.0,18926.0,2.0,1.0696702754637384,1
Adele,Set Fire to the Rain,16,200,190,68,183,18,47720,1,0,7,50102,46722.0,46722.0,46722.0,195.0,1.0,0.0,0.0,1.0,1.0,1
Adele,Set Fire to the Rain,17,202,193,68,190,19,50102,1,0,3,50102,67069.0,417455.0,69575.83333333333,77.0,6.0,28.0,6875.0,1.3636363636363635,1.1025063740327126,1
Alec Benjamin,Let Me Down Slowly,71,73,187,22,194,72,47843,1,0,-7,47843,92985.0,579441.0,96573.5,40.0,6.0,29.0,7840.0,1.725,1.084314674409851,1
Alec Benjamin,Let Me Down Slowly,72,74,196,22,187,73,43605,1,0,9,47843,55886.0,374556.0,62426.0,80.0,6.0,64.0,11752.0,1.8,1.2102852234906774,1
Alec Benjamin,Let Me Down Slowly,73,75,175,22,196,74,43812,1,0,-21,47843,338164.0,2279028.0,379838.0,2.0,6.0,1.0,58514.0,1.5,1.1730343856826866,1
Alec Benjamin,Let Me Down Slowly,74,76,200,22,175,75,43334,1,0,25,47843,56921.0,362267.0,72453.4,66.0,5.0,42.0,35891.0,1.6363636363636365,1.630540573777692,1
Alicia Keys,If I Ain't Got You,7,8,191,167,-1,9,43920,1,0,6,49670,85367.0,186041.0,93020.5,57.0,2.0,22.0,15307.0,1.3859649122807018,1.1793081635760891,1
