main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams
6LACK,Nonchalant,12402,4553,47136,6733.714285714285,42,7,153,7849,4.642857142857143,2.7239182956292556
6LACK,Outside,14332,14332,14332,14332.0,153,1,0,0,1.0,1.0
6LACK,Pretty Little Fears (feat. J. Cole),31869,7240,1648250,17915.760869565216,11,92,187,24629,18.0,4.401795580110497
6LACK,Scripture,8263,8263,8263,8263.0,79,1,0,0,1.0,1.0
6LACK,Seasons (feat. Khalid),9123,9123,9123,9123.0,69,1,0,0,1.0,1.0
6LACK,Sorry,11624,5304,16928,8464.0,48,2,107,6320,3.2291666666666665,2.191553544494721
6LACK,Stan,8074,8074,8074,8074.0,84,1,0,0,1.0,1.0
6LACK,Switch,13287,3899,59245,6582.777777777777,34,9,143,9388,5.205882352941177,3.4077968709925623
6LACK,Thuggers Interlude,8151,8151,8151,8151.0,83,1,0,0,1.0,1.0
6LACK,Unfair,12325,5440,17765,8882.5,43,2,102,6885,3.372093023255814,2.265625
6ix9ine,BEBE,4863,4863,4863,4863.0,157,1,0,0,1.0,1.0
6ix9ine,FEFE,26406,7277,400199,13799.965517241379,2,29,175,19129,88.5,3.6286931427786175
6ix9ine,GOOBA,39331,16477,420573,26285.8125,19,16,122,22854,7.421052631578948,2.3870243369545427
6ix9ine,KIKA,11114,5669,52494,7499.142857142857,59,7,141,5445,3.389830508474576,1.960486858352443
6ix9ine,MAMA,11232,5728,24038,8012.666666666667,54,3,118,5504,3.185185185185185,1.9608938547486034
6ix9ine,STOOPID,9774,5614,28228,7057.0,68,4,121,4160,2.7794117647058822,1.7410046312789456
6ix9ine,TATI,3195,3195,3195,3195.0,191,1,0,0,1.0,1.0
6ix9ine,TIC TOC,18479,8156,39085,13028.333333333334,15,3,100,10323,7.666666666666667,2.265693967631192
6ix9ine,TROLLZ (with Nicki Minaj),40004,13262,116056,23211.2,17,5,166,26742,10.764705882352942,3.016437942995023
9umba,Nayi Ingozi,36738,36738,36738,36738.0,79,1,0,0,1.0,1.0
9umba,uMlando,151207,42931,3415361,92307.05405405405,2,37,78,108276,40.0,3.5220935920430456
A Boogie Wit da Hoodie,Look Back at It,18397,6632,198137,11007.611111111111,36,18,163,11765,5.527777777777778,2.7739746682750304
A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",12908,12908,12908,12908.0,167,1,0,0,1.0,1.0
A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga),7361,5835,54104,6763.0,155,8,43,1526,1.2774193548387096,1.2615252784918594
A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),18099,7867,309074,11887.461538461539,38,26,158,10232,5.157894736842105,2.300622854963773
A$AP Ferg,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),24649,18866,43515,21757.5,64,2,39,5783,1.609375,1.306530266087141
A$AP Ferg,Plain Jane,2581,2112,9342,2335.5,155,4,43,469,1.2774193548387096,1.222064393939394
A$AP Rocky,A$AP Forever (feat. Moby),4201,2649,16903,3380.6,74,5,121,1552,2.635135135135135,1.5858814647036619
A$AP Rocky,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",5006,5006,5006,5006.0,82,1,0,0,1.0,1.0
A$AP Rocky,Babushka Boi,14364,9529,23893,11946.5,74,2,95,4835,2.2837837837837838,1.5073984678350298
A$AP Rocky,Bad Company (feat. BlocBoy JB),4481,2719,13447,3361.75,58,4,120,1762,3.0689655172413794,1.6480323648400148
A$AP Rocky,Brotha Man (feat. French Montana),3054,3054,3054,3054.0,185,1,0,0,1.0,1.0
A$AP Rocky,Buck Shots,4514,4514,4514,4514.0,101,1,0,0,1.0,1.0
A$AP Rocky,CALLDROPS (feat. Kodak Black),3932,3932,3932,3932.0,125,1,0,0,1.0,1.0
A$AP Rocky,D.M.B.,42780,42780,42780,42780.0,53,1,0,0,1.0,1.0
A$AP Rocky,Distorted Records,4478,4478,4478,4478.0,104,1,0,0,1.0,1.0
A$AP Rocky,Fukk Sleep (feat. FKA twigs),5945,3120,9065,4532.5,61,2,136,2825,3.2295081967213113,1.9054487179487178
A$AP Rocky,Gunz N Butter (feat. Juicy J),3364,3364,3364,3364.0,159,1,0,0,1.0,1.0
A$AP Rocky,OG Beeper,3181,3181,3181,3181.0,174,1,0,0,1.0,1.0
A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),12810,6841,466846,9153.843137254902,11,51,185,5969,17.818181818181817,1.8725332553720215
A$AP Rocky,Purity (feat. Frank Ocean),3380,3380,3380,3380.0,158,1,0,0,1.0,1.0
A$AP Rocky,Sundress,5248,5248,5248,5248.0,198,1,0,0,1.0,1.0
A$AP Rocky,Tony Tone,4094,4094,4094,4094.0,117,1,0,0,1.0,1.0
A-Reece,BRAVO,50778,50778,50778,50778.0,37,1,0,0,1.0,1.0
A-Reece,Bellator,36184,36184,36184,36184.0,76,1,0,0,1.0,1.0
A-Reece,Can't Open My Eyez,39793,25229,65022,32511.0,60,2,133,14564,3.216666666666667,1.5772721867691941
A-Reece,"Couldn't Have Said It Better, Pt. 3",26739,26739,26739,26739.0,144,1,0,0,1.0,1.0
A-Reece,DICHOTOMY,49304,49304,49304,49304.0,42,1,0,0,1.0,1.0
A-Reece,DOTTED LINEZ,43178,43178,43178,43178.0,52,1,0,0,1.0,1.0
