word,word_count
understands,3
dreamer,3
mess,3
wear,3
strong,3
mistake,3
changed,3
tale,3
fairy,3
paint,3
party,3
crowd,3
talking,3
anywhere,3
mmmmm,3
juliet,3
screen,3
use,3
tells,3
died,3
walking,3
step,3
cursing,3
stairs,3
times,3
finally,3
rough,3
somehow,3
keeps,3
straw,3
temper,3
whats,3
heartbeat,3
counting,3
amen,3
pull,3
lucky,3
clean,3
sleep,3
sad,3
tuesday,3
tapping,3
secrets,3
saint,3
hide,3
crowded,3
brighter,3
burning,3
blushing,3
shadows,3
block,3
mattress,3
footsteps,3
actress,3
tough,3
knees,3
worth,3
applause,3
danced,3
beat,3
alright,3
mamas,3
letter,3
unbelievable,3
miracle,3
riding,3
imma,3
doors,3
isnt,3
page,3
enchanting,3
taste,3
realize,3
freedom,3
arms,3
twice,3
peoples,3
heaven,3
roll,3
sparkling,3
string,3
burned,3
herd,3
walked,3
happiness,3
playground,3
ran,3
toys,3
chest,3
swallowing,3
none,2
streak,2
sabotage,2
cut,2
swift,2
bulletproof,2
tall,2
taken,2
attitude,2
pacing,2
moon,2
tight,2
lake,2
swing,2
family,2
captain,2
taylor,2
hollywood,2
faith,2
tightrope,2
dad,2
balance,2
georgia,2
deserve,2
vintage,2
ready,2
ok,2
near,2
write,2
forth,2
sweep,2
stairwell,2
feels,2
underestimated,2
listening,2
music,2
wears,2
cheer,2
remarks,2
bleachers,2
wake,2
beating,2
lie,2
brought,2
heels,2
backdoor,2
colbie,2
caillat,2
cover,2
sounded,2
chasing,2
easier,2
whiteveil,2
fear,2
occasion,2
marrying,2
32,2
mountains,2
praying,2
daddys,2
history,2
nice,2
game,2
staying,2
list,2
regret,2
arm,2
barging,2
set,2
touch,2
glad,2
keeping,2
guard,2
fragile,2
smell,2
swear,2
brand,2
growin,2
crowds,2
move,2
understand,2
rudely,2
kings,2
queens,2
age,2
ignored,2
walks,2
hows,2
memories,2
care,2
act,2
tuck,2
funny,2
nothings,2
september,2
dragons,2
worked,2
star,2
whispered,2
push,2
locked,2
book,2
beneath,2
three,2
empty,2
names,2
loud,2
drunk,2
ones,2
stronger,2
moved,2
lately,2
trees,2
space,2
asleep,2
complicated,2
faking,2
acted,2
bet,2
mother,2
win,2
blow,2
babe,2
sure,2
couldve,2
abigail,2
honestly,2
picking,2
seven,2
reaching,2
round,2
rolled,2
falls,2
price,2
marry,2
shotgun,2
keys,2
football,2
everyone,2
wrapped,2
cuts,2
core,2
closer,2
swore,2
part,2
honest,2
chase,2
lies,2
less,2
daydream,2
kidding,2
tryin,2
cool,2
welcome,2
second,2
halfway,2
lines,2
scars,2
upon,2
note,2
roses,2
version,2
corner,2
flowers,2
sound,2
weakness,2
waking,2
wrote,2
steps,2
pavement,2
joke,2
spot,2
mirror,2
listen,2
row,2
daddies,2
rules,2
aisle,2
daddy,2
staircase,2
defending,2
prince,2
mad,2
air,2
shell,2
stayed,2
guess,2
falling,2
bars,2
sneak,2
