main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels,main_art_track,entry rank
2Point1,Stimela,10,10,2,2,5,11,265436,1,1,-3,319526,46433.0,46433.0,46433.0,115.0,1.0,0.0,0.0,1.0,1.0,0,2Point1Stimela,11
2Point1,Stimela,11,11,1,1,2,12,264647,1,1,-1,319526,44256.0,238577.0,59644.25,51.0,4.0,144.0,37452.0,3.823529411764706,1.8462581344902387,0,2Point1Stimela,11
2Point1,Stimela,12,12,1,1,1,13,290730,1,1,0,319526,65082.0,134580.0,67290.0,58.0,2.0,10.0,4416.0,1.1724137931034482,1.0678528625426384,0,2Point1Stimela,11
2Point1,Stimela,13,13,2,1,1,14,306610,1,1,1,319526,40822.0,2480553.0,49611.06,33.0,50.0,129.0,23098.0,4.909090909090909,1.5658223506932536,0,2Point1Stimela,11
2Point1,Stimela,14,14,2,1,2,15,319526,1,1,0,319526,37366.0,474989.0,43180.818181818184,138.0,11.0,62.0,11585.0,1.4492753623188406,1.3100412139378044,0,2Point1Stimela,11
2Point1,Stimela,15,15,3,1,2,16,271949,1,1,1,319526,38994.0,172858.0,43214.5,165.0,4.0,22.0,5942.0,1.1333333333333333,1.1523824178078679,0,2Point1Stimela,11
2Point1,Stimela,16,16,3,1,3,17,204392,1,1,0,319526,40812.0,87226.0,43613.0,172.0,2.0,25.0,5602.0,1.1453488372093024,1.1372635499362933,0,2Point1Stimela,11
2Point1,Stimela,17,17,3,1,3,18,240841,1,1,0,319526,88395.0,88395.0,88395.0,47.0,1.0,0.0,0.0,1.0,1.0,0,2Point1Stimela,11
2Point1,Stimela,18,18,5,1,3,19,227316,1,1,2,319526,32785.0,273333.0,34166.625,159.0,8.0,41.0,3002.0,1.2578616352201257,1.091566265060241,0,2Point1Stimela,11
2Point1,Stimela,19,19,4,1,5,20,236908,1,1,-1,319526,37262.0,190790.0,63596.666666666664,36.0,3.0,158.0,69887.0,5.388888888888889,2.875556867586281,0,2Point1Stimela,11
6LACK,Pretty Little Fears (feat. J. Cole),77,123,168,11,146,79,27896,2,0,22,45765,27018.0,694537.0,36554.57894736842,75.0,19.0,123.0,20431.0,2.64,1.7561995706565994,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),78,124,176,11,168,80,28603,2,0,8,45765,41905.0,88035.0,44017.5,166.0,2.0,20.0,4225.0,1.1204819277108433,1.100823290776757,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),79,125,193,11,176,81,27395,2,0,17,45765,29837.0,105017.0,35005.666666666664,148.0,3.0,48.0,11432.0,1.3243243243243243,1.383148439856554,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),80,126,198,11,193,82,27263,2,0,5,45765,101521.0,4608470.0,192019.58333333334,3.0,24.0,19.0,143263.0,7.333333333333333,2.4111661626658525,2,6LACKPretty Little Fears (feat. J. Cole),168
6LACK,Pretty Little Fears (feat. J. Cole),81,127,187,11,-1,83,26680,2,0,-11,45765,39264.0,1552588.0,62103.52,54.0,25.0,78.0,41939.0,2.4444444444444446,2.068128565607172,2,6LACKPretty Little Fears (feat. J. Cole),168
