rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:5DgY6Ab0vpyUMKnY9ubFOF,"Anirudh Ravichander, Super Subu",Hukum - Thalaivar Alappara,Sun Pictures,1,8,5,9925465,2023-08-17
2,spotify:track:4eBvRhTJ2AcxCsbfTUjoRp,Shubh,Cheques,SHUBH,1,1,12,9269745,2023-08-17
3,spotify:track:5PUXKVVVQ74C3gl5vKy9Li,"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),Warner Music India,3,21,3,8166081,2023-08-17
4,spotify:track:0Jiaz0O4AqnJICa9PxHhaR,Darshan Raval,Mahiye Jinna Sohna,Warner Music India,2,2,8,5424052,2023-08-17
5,spotify:track:46hzNOUOAlivuCZZ0wE3zi,"Sachin-Jigar, Varun Jain, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Saregama,1,3,12,5355030,2023-08-17
6,spotify:track:0645eBDehHcqfiF15hscQV,"Vishal Mishra, Rashmeet Kaur","Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Netflix Music,6,6,6,5169500,2023-08-17
7,spotify:track:0rU8aU8TSbq6Xz6RWlmA1y,"Pritam, Arijit Singh, Jonita Gandhi, Ranveer Singh, Amitabh Bhattacharya",What Jhumka ?,Saregama India Ltd,7,9,5,5087500,2023-08-17
8,spotify:track:5QW9K4A1gMnIi94YUxtsfM,"Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Saregama,1,4,12,5086417,2023-08-17
9,spotify:track:4JvziZ2kQsbzfvRQtpYfmJ,"Sunny Yaduvanshi, AK Rok, Nitesh Ujoli, Elvish Yadav",Yadav Brand 2 (feat. Elvish Yadav),Flame Music,9,13,23,4952786,2023-08-17
10,spotify:track:1cPDOeVdALLjj4erFPiuqW,"Anirudh Ravichander, Shilpa Rao, Arunraja Kamaraj",Kaavaalaa,Sun Pictures,10,17,6,4901720,2023-08-17
11,spotify:track:6oz1L5jcqZWYuId7nxvIan,Shubh,Still Rollin,SHUBH,4,5,13,4850054,2023-08-17
12,spotify:track:1B02UI29t3PTh3m98absaP,"Anirudh Ravichander, Vijay, Asal Kolaar","Naa Ready (From ""Leo"")",Sony Music Entertainment India Pvt. Ltd.,4,11,8,4782559,2023-08-17
13,spotify:track:1418IuVKQPTYqt7QNJ9RXN,King,Maan Meri Jaan,Warner Music India,1,7,44,4522956,2023-08-17
14,spotify:track:6c4Po8zyQjB4cR5XgLhcGb,"Prabh Singh, Jay Trak, Rooh Sandhu",9:45,Prabh Singh Official,14,14,6,4289755,2023-08-17
15,spotify:track:24MMjyA3NLqCsDJfsn51eg,"Sharn, The Paul",Mi Amor,Desi Avenue,7,12,31,4126790,2023-08-17
16,spotify:track:0xIuPDzJSnJywALez8dwKR,AP Dhillon,With You,Mass Appeal India,16,-1,1,4084180,2023-08-17
17,spotify:track:4ClVL0EvuVCSZ1FIVZm8sx,"Pritam, Arijit Singh, Shreya Ghoshal, Amitabh Bhattacharya","Tum Kya Mile, Pt. 2",Saregama India Ltd,9,10,7,3986000,2023-08-17
18,spotify:track:73K33p4Vyz9koXGqmL5eFs,"Sachet Tandon, Parampara Tandon, Kumaar, Sachet-Parampara",Malang Sajna,T-Series,4,16,30,3872868,2023-08-17
19,spotify:track:4VosVUajzm6nzGlSb6nP3L,"Parmish Verma, Paradox",Check It Out,SDA Studios,19,27,5,3744608,2023-08-17
20,spotify:track:6Z4rRhYZVQsYKmrxD40tru,"Riar Saab, Abhijay Sharma",Obsessed,"Mass Appeal India, LLC",2,15,15,3733199,2023-08-17
21,spotify:track:4UMIv5jd9gK98a39BQRD9X,"Pritam, Arijit Singh, Amitabh Bhattacharya",Kesariya,Sony Music Entertainment India Pvt. Ltd.,1,18,57,3474440,2023-08-17
22,spotify:track:2FCXQHugkoHE1K3tiDu8pu,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",T-Series,4,19,220,3241831,2023-08-17
23,spotify:track:28lvraTNIN8qiTpoIK7m8Z,"AP Dhillon, Shinda Kahlon",True Stories,Mass Appeal India,23,36,9,3091823,2023-08-17
24,spotify:track:0czcoKJbJt08NqKrvSbbz7,"Pritam, Arijit Singh, Amitabh Bhattacharya","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",T-Series,1,20,23,2980759,2023-08-17
25,spotify:track:6NJ8Z5GDoHe47R6gGX6sLq,"Karan Aujla, Ikky, Preston Pablo",Admirin' You (feat. Preston Pablo),WM Canada,25,32,2,2911764,2023-08-17
26,spotify:track:7x9aauaA9cu6tyfpHnqDLo,"Jung Kook, Latto",Seven (feat. Latto),BIGHIT MUSIC,5,23,5,2847157,2023-08-17
27,spotify:track:08Isz2ETWSBhvIl8UpKYsp,Shubh,No Love,SHUBH,2,22,75,2789379,2023-08-17
28,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,Aditya A,Chaand Baaliyan,Sony Music Entertainment India Pvt. Ltd.,2,25,78,2728515,2023-08-17
29,spotify:track:4blqlsA1uf2d2I40E90EUC,"Pritam, Arijit Singh, Shilpa Rao","Tere Hawaale (From ""Laal Singh Chaddha"")",T-Series,11,26,25,2681354,2023-08-17
30,spotify:track:610keNiNVTIkYD0CqeSerg,"Cheema Y, Gur Sidhu",California Love,Brown Town Music,27,37,12,2600847,2023-08-17
31,spotify:track:0rMeOAvbQZ2RTG4B6L1M4p,Darshan Raval,Asal Mein,Indie Music Label,21,29,116,2587159,2023-08-17
32,spotify:track:5iCY0TXNImK4hyKfcplQsg,Anuv Jain,Baarishein,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),18,24,118,2566926,2023-08-17
33,spotify:track:29m79w9xPMH4YCD6r8JSmV,"AP Dhillon, Gurinder Gill, Intense",Excuses,RUN-UP RECORDS,1,34,95,2555169,2023-08-17
34,spotify:track:03yKEFruN3BS2coglBtt2N,"Laddi Chahal, Parmish Verma, Gurlez Akhtar",Rubicon Drill,Parmish Verma Films,12,40,35,2504664,2023-08-17
35,spotify:track:4VsP4Dm8gsibRxB5I2hEkw,Kaifi Khalil,Kahani Suno 2.0,1944121 Records DK,1,28,35,2500403,2023-08-17
