artist,number of times
,1
A,1
Rihanna,1
Pharrell Williams,2
Ellie Goulding,1
Rag'n'Bone Man,1
Katy Perry,1
DRAM,1
Justin Timberlake,1
Young Thug,2
Kehlani,1
Tom Grennan,1
Future,1
Trak,1
Nicki Minaj,1
Frank Ocean,1
Big Sean,1
Jessie Reyez,1
ScHoolboy Q,1
Travis Scott,1
Ariana Grande,1
Migos,1
The Weeknd,1
Halsey,1
Funk Wav,3
Khalid,1
Dua Lipa,2
Lil Yachty,1
PARTYNEXTDOOR,2
Sam Smith,2
