artist,number of times
,1
Elton John,1
Cardi B,1
Skrillex,1
Young Thug,1
Andrea Bocelli,1
Taylor Swift,1
Beyonc,1
Meek Mill,1
Stormzy,1
50 Cent,1
A Boogie Wit da Hoodie,1
Dave,1
PnB Rock,1
Eminem,1
Ella Mai,1
Chris Stapleton,1
J Hus,1
Chance the Rapper,1
Bruno Mars,1
Travis Scott,1
Yebba,1
Justin Bieber,1
H.E.R.,1
Lil Baby,1
Major Lazer,1
Khalid,1
Paulo Londra,1
Nyla,1
Kranium,1
Camila Cabello,1
