artist,number of times
,1
HAIM,1
Hayley Williams,1
Future,1
Colbie Caillat,1
Brendon Urie,1
Ed Sheeran,2
Bon Iver,1
Keith Urban,1
Chris Stapleton,1
Post Malone,1
Phoebe Bridgers,1
Lana Del Rey,1
The National,1
Florence + The Machine,1
Shawn Mendes,1
Gary Lightbody,1
Fall Out Boy,1
Maren Morris,1
Kendrick Lamar,1
The Chicks,1
Ice Spice,1
Panic! At The Disco,1
