collab_artist,number of times,main_artist
MNEK,1,Jax Jones
Stefflon Don,1,Jax Jones
Bebe Rexha,1,Jax Jones
RAYE,1,Jax Jones
Europa,1,Jax Jones
Madison Beer,1,Jax Jones
Ina Wroldsen,1,Jax Jones
Demi Lovato,1,Jax Jones
Martin Solveig,1,Jax Jones
