artist,number of times
,1
Lil Wayne,2
Bantu,1
Labrinth,1
Aqua,1
Drake,2
Lil Uzi Vert,1
Ariana Grande,1
Lil Baby,1
Anuel AA,1
Eminem,1
Ice Spice,1
