collab_artist,number of times,main_artist
Lil Moshpit,2,Sik-K
Wuuslime,1,Sik-K
JMIN,1,Sik-K
Roh Yun Ha,1,Sik-K
Bryan Chase,1,Sik-K
Okasian,1,Sik-K
HAON,1,Sik-K
