collab_artist,number of times,main_artist
Sizwe Mdlalose,1,Dladla Mshunqisi
Assiye Bongzin,1,Dladla Mshunqisi
Distruction Boyz,1,Dladla Mshunqisi
DJ Tira,1,Dladla Mshunqisi
