collab_artist,number of times,main_artist
Nipsey Hussle,1,Big Sean
Hit,1,Big Sean
Travis Scott,1,Big Sean
Boy,1,Big Sean
Post Malone,1,Big Sean
Ty Dolla $ign,1,Big Sean
Jhen Aiko,1,Big Sean
A$AP Ferg,1,Big Sean
