collab_artist,number of times,main_artist
Travis Scott,2,SZA
The Neptunes,1,SZA
Game of Thrones,1,SZA
The Weeknd,1,SZA
Phoebe Bridgers,1,SZA
Doja Cat,1,SZA
Justin Timberlake,1,SZA
Ty Dolla $ign,1,SZA
Kendrick Lamar,1,SZA
Pharrell Williams,1,SZA
Ol' Dirty Bastard,1,SZA
Don Toliver,1,SZA
