collab_artist,number of times,main_artist
Gunna,3,Young Thug
Travis Scott,3,Young Thug
Drake,2,Young Thug
21 Savage,2,Young Thug
Future,2,Young Thug
Lil Baby,2,Young Thug
Jaden,1,Young Thug
Juice WRLD,1,Young Thug
Lil Uzi Vert,1,Young Thug
Yak Gotti,1,Young Thug
Post Malone,1,Young Thug
Strick,1,Young Thug
A$AP Rocky,1,Young Thug
Shyne,1,Young Thug
Bslime,1,Young Thug
T,1,Young Thug
Young Stoner Life,1,Young Thug
J. Cole,1,Young Thug
