collab_artist,number of times,main_artist
Iyanya,1,Makhadzi Entertainment
Shebeshxt,1,Makhadzi Entertainment
Dr Skaro,1,Makhadzi Entertainment
Ntate Stunna,1,Makhadzi Entertainment
Mashudu,1,Makhadzi Entertainment
DJ Gun Do SA,1,Makhadzi Entertainment
Mizo Phyll,1,Makhadzi Entertainment
Makhadzi,1,Makhadzi Entertainment
Prince Benza,1,Makhadzi Entertainment
Ba Bethe Gashaozen,1,Makhadzi Entertainment
Fortunator,1,Makhadzi Entertainment
Babethe Gashoazen,1,Makhadzi Entertainment
