collab_artist,number of times,main_artist
Maglera Doe Boy,2,25K
A,2,25K
Marcus Harvey,1,25K
Nasty C,1,25K
Reece,1,25K
Zoocci Coke Dope,1,25K
Earle Fari,1,25K
FLVME,1,25K
Sjava,1,25K
Berry Jive,1,25K
