collab_artist,number of times,main_artist
Zaba,3,Dlala Thukzin
MK Productions,2,Dlala Thukzin
Sykes,2,Dlala Thukzin
Zee Nxumalo,1,Dlala Thukzin
Zeh McGeba,1,Dlala Thukzin
Goldmax,1,Dlala Thukzin
Simmy,1,Dlala Thukzin
Funky Qla,1,Dlala Thukzin
Sir Trill,1,Dlala Thukzin
Thakzin,1,Dlala Thukzin
Rascoe Kaos,1,Dlala Thukzin
Mpura,1,Dlala Thukzin
