rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
45,"spotify:track:6QNphn62YKaHG1hrnPSoHi","Ms Krazie, Chino Grande","A Gangster's Wife","Ms Krazie",45,-1,1
46,"spotify:track:0iNTHA6vIhJN671nqIFISV","Tasché","Sal Jy Vir My Wag","Universal Music (Pty) Ltd.",30,55,10
47,"spotify:track:0GAX8SapBTjOqW0d5taVMu","Bernice West","Lyfie","Universal Music (Pty) Ltd.",36,45,27
48,"spotify:track:2ZpELNhluNriti4s2rcUK0","Betusile","Ngena Noah","Tox Music",48,48,3
49,"spotify:track:5F7npl4FSAFQLsIuW3o7aR","Russell Zuma, CocoSA, George Lesley","Angikaze","Theko Price",9,51,17
50,"spotify:track:0YrwiodQd07LE9vpI0w3Iw","Natalie Jane","Seven","10K Projects/Capitol Records",46,47,3
51,"spotify:track:0wGbyS1tExQSwOYu6UceyE","ONIMXRU, SMITHMANE","SHADOW","ONIMXRU x SMITHMANE",27,46,35
52,"spotify:track:1BXfrEUZFDhrVahuVT3PMK","Q Twins, Xowla, Mduduzi Ncube, Big Zulu","Alusafani","Afrotainment",11,54,31
53,"spotify:track:6G1Mz5yMgn0ydOlIvTrZ65","TALK","Run Away to Mars","Range Music/Capitol Records",1,52,53
54,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",49,53,21
55,"spotify:track:20HFHldksvpelZlcSTL0UA","Nathii, Dj Jay Jay, D_Nice","No Jay Jay","3682629 Records DK",15,73,34
56,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",44,44,7
57,"spotify:track:5zgkOLH6HfY5w8thZoS2jP","Kinneret","No Wind Resistance!","Tiny Harp Productions",12,57,54
58,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",22,63,62
59,"spotify:track:1y5eHXBYiLgNv00KoHXm4o","Soa mattrix, Mashudu, Happy Jazzman, Emotionz DJ","Mina Nawe","Soa Family",16,58,24
60,"spotify:track:7rmpguwTH3XwEPZMSeL4RH","Lowsheen, Master KG, Nkosazana Daughter","Thula","Wanitwa Mos Entertainment",11,60,24
61,"spotify:track:7jrMFjEq0t09f7m3HnnWXl","Supermode, MEDUZA","Tell Me Why - MEDUZA Remix","Axtone Records",43,43,6
62,"spotify:track:1XkMxUilV0E3ChDERZJUEq","Balming Tiger, Omega Sapien, bj wnjn, Mudd the student, RM","SEXY NUKIM (feat. RM of BTS)","Balming Tiger",34,56,10
63,"spotify:track:2GThBgzZoZfz0lx1JjBwfe","New West","Those Eyes","199x",63,85,2
64,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",28,61,67
65,"spotify:track:62SaDdv956IYAt5nS1nWx7","Njelic, Thabza Tee","Down The Drain","Universal Music (Pty) Ltd.",17,62,38
66,"spotify:track:1Xq9ilOLiknCaGYtSsvFrH","Dermot Kennedy","Kiss Me","Riggins Recording",37,69,10
67,"spotify:track:1a019wP7IdYLexwbmfZPm3","Yeat, Lil Uzi Vert","Flawlëss (feat. Lil Uzi Vert)","Field Trip Recordings/Geffen Records",65,70,3
68,"spotify:track:0rR8rGsBnsJ9A1jyk3uA6r","Zinhle Ngidi, Exclusive Drumz, Ben Major","Amasiko","Milar PTY Ltd",54,64,3
69,"spotify:track:0ocf3HwWhrXtA8r63Vcd2h","Crash Adams","Give Me A Kiss","Crash Adams Records",35,79,19
70,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",3,66,60
71,"spotify:track:079mntueS2KWjxVqOHjG70","Preston Pablo, Banx & Ranx","Flowers Need Rain","31 East JV (2021)",9,65,57
72,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship Entertainment Ltd.",10,68,66
73,"spotify:track:3IlWZqnqXW29Zr84eTv3CK","Skweletu","Inja endlini","3825021 Records DK",52,59,29
74,"spotify:track:7BC7fTh7kpiht5TDuy4Dac","uMjabulisi","AMAWELE","Amahlolamvula Media",74,74,3
75,"spotify:track:7mzPAftljnsFmU6131Pqcd","Aidan Bissett","Tripping Over Air","Capitol Records",37,49,3
76,"spotify:track:5mdWIwsJAzR97ShGkt8gcR","ZICO, HOMIES","New thing (Prod. ZICO) (Feat. Homies)","Genie Music Corporation",67,67,3
77,"spotify:track:0hcW7qPqWWJc8189OaqQvX","Jesse Powell, Gerald Albright","You","Silas",38,71,19
78,"spotify:track:0oO1AbL92F6329z13C2qQH","Yeat","Talk","Field Trip Recordings/Geffen Records",42,72,10
79,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship Entertainment Ltd.",4,78,122
80,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",2,83,73
81,"spotify:track:5fyP52PhWspAIBLjkwatiW","Temple Boys Cpt, Dj Early Raw","Niks Hoor - Original Mix","Rejx Entertainment",55,89,16
82,"spotify:track:6RbOyNeajWax51NtpO6WT8","Victony, Tempoe","Soweto","The Plug Entertainment",26,75,22
