rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
58,"spotify:track:20HFHldksvpelZlcSTL0UA","Nathii, Dj Jay Jay, D_Nice","No Jay Jay","3682629 Records DK",15,67,36
59,"spotify:track:0ocf3HwWhrXtA8r63Vcd2h","Crash Adams","Give Me A Kiss","Crash Adams Records",35,61,21
60,"spotify:track:2sbxNpHFyVCOyZMpa5FAJ7","Dermot Kennedy","Kiss Me","Riggins Recording",37,59,12
61,"spotify:track:5mdWIwsJAzR97ShGkt8gcR","ZICO, HOMIES","New thing (Prod. ZICO) (Feat. Homies)","Genie Music Corporation",61,64,5
62,"spotify:track:7jrMFjEq0t09f7m3HnnWXl","Supermode, MEDUZA","Tell Me Why - MEDUZA Remix","Axtone Records",43,69,8
63,"spotify:track:4UOzNkGbhjBKQy0d3jSmO4","Naqua SA, Shebeshxt, Phobla On The Beat, Mckay Johnson, Prince Zulu, Dj Tiano","Cinderella","2435823 Records DK",30,58,12
64,"spotify:track:5F7npl4FSAFQLsIuW3o7aR","Russell Zuma, CocoSA, George Lesley","Angikaze","Theko Price",9,53,19
65,"spotify:track:0rR8rGsBnsJ9A1jyk3uA6r","Zinhle Ngidi, Exclusive Drumz, Ben Major","Amasiko","Milar PTY Ltd",54,65,5
66,"spotify:track:5zgkOLH6HfY5w8thZoS2jP","Kinneret","No Wind Resistance!","Tiny Harp Productions",12,54,56
67,"spotify:track:079mntueS2KWjxVqOHjG70","Preston Pablo, Banx & Ranx","Flowers Need Rain","31 East JV (2021)",9,66,59
68,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship Entertainment Ltd.",10,72,68
69,"spotify:track:62SaDdv956IYAt5nS1nWx7","Njelic, Thabza Tee","Down The Drain","Universal Music (Pty) Ltd.",17,76,40
70,"spotify:track:2jVwAnPHfeVeUyEEk4ERFU","Armand Hofmeyr","Marie","WM South Africa",70,80,3
71,"spotify:track:4vuVzf7BIZhDAFm3TB0Tzy","charlieonnafriday","Enough","Onnafriday Records / Island Records",35,79,17
72,"spotify:track:3IlWZqnqXW29Zr84eTv3CK","Skweletu","Inja endlini","3825021 Records DK",52,71,31
73,"spotify:track:1a019wP7IdYLexwbmfZPm3","Yeat, Lil Uzi Vert","Flawlëss (feat. Lil Uzi Vert)","Field Trip Recordings/Geffen Records",63,63,5
74,"spotify:track:5uSFGgIfHMT3osrAd9n9ym","Lewis Capaldi","Forget Me","Vertigo Berlin",74,81,5
75,"spotify:track:4UGvqm3e7UElrrriPtnhwz","Genevieve Stokes","Habits","Atlantic Records",22,86,28
76,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",3,74,62
77,"spotify:track:1XkMxUilV0E3ChDERZJUEq","Balming Tiger, Omega Sapien, bj wnjn, Mudd the student, RM","SEXY NUKIM (feat. RM of BTS)","Balming Tiger",34,73,12
78,"spotify:track:0hfHF0FsMNyLoaqsvJmqfq","Jessie Murph","While You're At It","Columbia",78,85,5
79,"spotify:track:6RbOyNeajWax51NtpO6WT8","Victony, Tempoe","Soweto","The Plug Entertainment",26,68,24
80,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",2,82,75
81,"spotify:track:7BC7fTh7kpiht5TDuy4Dac","uMjabulisi","AMAWELE","Amahlolamvula Media",74,75,5
82,"spotify:track:1y5eHXBYiLgNv00KoHXm4o","Soa mattrix, Mashudu, Happy Jazzman, Emotionz DJ","Mina Nawe","Soa Family",16,62,26
83,"spotify:track:1BYZxKSf0aTxp8ZFoeyM3d","girl in red","we fell in love in october","world in red",83,91,3
84,"spotify:track:0oO1AbL92F6329z13C2qQH","Yeat","Talk","Field Trip Recordings/Geffen Records",42,83,12
85,"spotify:track:6enlARRNWUiwg4HSeJgyjJ","Naqua SA, Shebeshxt, Mckay Johnson, 4nik Plk, Reff SA, Dj Tiano","Ak'Busy Ka Bafana","2435823 Records DK",60,78,12
86,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship Entertainment Ltd.",4,84,124
87,"spotify:track:4B8gtpBuEtU9XUizl6BK2W","MoonDeity","WAKE UP!","MoonDeity",84,90,6
88,"spotify:track:6IyoLWzljeR3ldQo4KWHT6","Yeat","Out thë way","Field Trip Recordings/Geffen Records",88,-1,2
89,"spotify:track:7mzPAftljnsFmU6131Pqcd","Aidan Bissett","Tripping Over Air","Capitol Records",37,93,5
90,"spotify:track:30sDS4E23SZCd95dhXlGlU","Sam Deep, MaWhoo","Thokoza","Universal Music (Pty) Ltd.",34,92,23
91,"spotify:track:1EZMFiD30CythJ73EBZfUq","Jay Music, Mellow & Sleazy, DJ SOL K","The Fxckin Injury","1713874 Records DK",8,88,46
92,"spotify:track:2sOj9vyd6yiss9W1IK6chU","DJ Khaled, Rick Ross, Lil Wayne, JAY-Z, John Legend, Fridayy","GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)","Epic/We The Best",22,99,19
93,"spotify:track:7qr4l2wG0dnBsCNVwdvCyA","Senjay, King Tone SA, Lash T, Mbombi","012 Chants (feat. Mbombi)","Urban Deep Records / Top Tier Music / EMPIRE",93,-1,1
94,"spotify:track:1zHdh2Muk7jyPYXc8h1zPs","Big Zulu, Mduduzi Ncube, Siya Ntuli, Lwah Ndlunkulu, Xowla","Voicemail","Nkabi Records",2,97,81
95,"spotify:track:3PdO57q0KLWkfWXsXQJlV6","Mas Musiq, Aymos, Young Stunna","Sengizwile (feat. Aymos & Young Stunna)","New Money Gang Records",40,-1,72
96,"spotify:track:6lft9WPolzGl1c0sxWAMsZ","Prinz, Liilz","Peter Pan (feat. Liilz)","Robots & Humans",96,-1,2
97,"spotify:track:4mGRwVmJgYfM6buErDPI5U","Punctual, World's First Cinema","Castles","B-Unique Records",97,100,2
98,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",16,-1,120
99,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",22,-1,96
100,"spotify:track:4pR4oQJULf7FDB54TleMyH","Limoblaze, Lecrae, Happi","Jireh (My Provider)","Limoblaze Music",34,89,30
