rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:6G1Mz5yMgn0ydOlIvTrZ65","TALK","Run Away to Mars","Range Music/Capitol Records",1,1,29
2,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",2,2,21
3,"spotify:track:0AzD1FEuvkXP1verWfaZdv","Hudson Mohawke","Cbat","Warp Records",3,3,5
4,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",4,4,17
5,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",3,5,15
6,"spotify:track:2DTnuVhrGnLcmgutAW4vb1","Lwah Ndlunkulu, Siya Ntuli","Ithuba","Nkabi Records",5,7,7
7,"spotify:track:1jOgJN75btuUONIdf57vHz","Ice Spice","Munch (Feelin’ U)","Worldstar",4,6,7
8,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",6,8,28
9,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",7,10,64
10,"spotify:track:4k6yZRw7M04gZE2uW12Cw6","Makar","Mood","Virgin",4,9,14
11,"spotify:track:3W9jnJBPYeihwNSXsr65f9","Lil Mabu, DUSTY LOCANE","NO SNITCHING (with Dusty Locane)","Lil Mabu",11,14,16
12,"spotify:track:0DsPxFiFebzdMlCEIWFGDO","Prop","Kwaaitjie","Select",3,12,21
13,"spotify:track:1BXfrEUZFDhrVahuVT3PMK","Q Twins, Xowla, Mduduzi Ncube, Big Zulu","Alusafani","Afrotainment",11,11,7
14,"spotify:track:6GD1eomgaGT1Epto6Q5eAo","JVKE","golden hour","JVKE",5,13,30
15,"spotify:track:45bfH0GZvUyujIBiKRhXso","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All)","Warner Records",15,16,3
16,"spotify:track:2HZLXBOnaSRhXStMLrq9fD","Ghost","Mary On A Cross","Loma Vista Recordings",3,15,36
17,"spotify:track:1EZMFiD30CythJ73EBZfUq","Jay Music, Mellow & Sleazy, DJ SOL K","The Fxckin Injury","1713874 Records DK",8,18,21
18,"spotify:track:62SaDdv956IYAt5nS1nWx7","Njelic, Thabza Tee","Down The Drain","Universal Music (Pty) Ltd.",17,20,14
19,"spotify:track:2pIUpMhHL6L9Z5lnKxJJr9","NewJeans","Attention","ADOR",12,17,21
20,"spotify:track:20HFHldksvpelZlcSTL0UA","Nathii, Dj Jay Jay, D_Nice","No Jay Jay","3682629 Records DK",15,19,10
21,"spotify:track:1zHdh2Muk7jyPYXc8h1zPs","Big Zulu, Mduduzi Ncube, Siya Ntuli, Lwah Ndlunkulu, Xowla","Voicemail","Nkabi Records",2,21,56
22,"spotify:track:4UGvqm3e7UElrrriPtnhwz","Genevieve Stokes","Habits","Atlantic Records",22,30,2
