rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:65NAMIdsZkxYIM5ui8SJSw","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,1,7
2,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",1,2,28
3,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",3,5,24
4,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",3,3,22
5,"spotify:track:6G1Mz5yMgn0ydOlIvTrZ65","TALK","Run Away to Mars","Range Music/Capitol Records",1,4,36
6,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",6,6,35
7,"spotify:track:5OCGdwTT9uvTNlGqbUm2U7","Pushkin, Springle, Mankay, ChocoDynasty","Welele","Pushkin and Springle",6,7,7
8,"spotify:track:2DTnuVhrGnLcmgutAW4vb1","Lwah Ndlunkulu, Siya Ntuli","Ithuba","Nkabi Records",5,8,14
9,"spotify:track:1jOgJN75btuUONIdf57vHz","Ice Spice","Munch (Feelin’ U)","Worldstar",4,9,14
10,"spotify:track:3W9jnJBPYeihwNSXsr65f9","Lil Mabu, DUSTY LOCANE","NO SNITCHING (with Dusty Locane)","Lil Mabu",10,11,23
11,"spotify:track:0AzD1FEuvkXP1verWfaZdv","Hudson Mohawke","Cbat","Warp Records",3,10,12
12,"spotify:track:0w7JPlp7eEQI2EKW3ayXrv","Mau P","Drugs From Amsterdam","Island Records UK / Republic Records / Virgin Records Germany",12,12,7
13,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",3,13,43
14,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",14,15,7
15,"spotify:track:7rmpguwTH3XwEPZMSeL4RH","Lowsheen, Master KG, Nkosazana Daughter","Thula","Wanitwa Mos Entertainment",11,14,7
16,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",7,17,71
17,"spotify:track:6NB2npCHsGXQ059pMhXJzl","Barto","H2Oë","Select",14,22,7
18,"spotify:track:1y5eHXBYiLgNv00KoHXm4o","Soa mattrix, Mashudu, Happy Jazzman, Emotionz DJ","Mina Nawe","Soa Family",16,16,7
19,"spotify:track:1BXfrEUZFDhrVahuVT3PMK","Q Twins, Xowla, Mduduzi Ncube, Big Zulu","Alusafani","Afrotainment",11,19,14
20,"spotify:track:2q3cyycKUTWqchcSTtwaxn","Tskay, Ocean Biller, Hauzen Dj","Bucket","Open Mic Productions",18,18,7
21,"spotify:track:6GD1eomgaGT1Epto6Q5eAo","JVKE","golden hour","JVKE",5,20,37
22,"spotify:track:0DsPxFiFebzdMlCEIWFGDO","Prop","Kwaaitjie","Select",3,21,28
23,"spotify:track:2RfmwyP48VHVQHUQJBAgIU","J€AN-MARC","8 O 8","NKB Never Know Best - YRH Records",23,23,2
24,"spotify:track:0zi0Do3nO8LtRzlau2V7DR","Temple Boys Cpt","Werkhom 2.0 (Bonus Track)","Rejx Entertainment",24,28,22
25,"spotify:track:4UGvqm3e7UElrrriPtnhwz","Genevieve Stokes","Habits","Atlantic Records",22,24,9
26,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",26,29,28
27,"spotify:track:45bfH0GZvUyujIBiKRhXso","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All)","Warner Records",15,25,10
28,"spotify:track:20HFHldksvpelZlcSTL0UA","Nathii, Dj Jay Jay, D_Nice","No Jay Jay","3682629 Records DK",15,27,17
29,"spotify:track:4k6yZRw7M04gZE2uW12Cw6","Makar","Mood","Virgin",4,26,21
30,"spotify:track:5zgkOLH6HfY5w8thZoS2jP","Kinneret","No Wind Resistance!","Tiny Harp Productions",12,33,37
31,"spotify:track:2xbI8Vmyv3TkpTdywpPyNw","PnB Rock","Selfish","EMPIRE / Atlantic Recording Corporation",31,32,6
32,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",31,31,7
33,"spotify:track:0wGbyS1tExQSwOYu6UceyE","ONIMXRU, SMITHMANE","SHADOW","ONIMXRU x SMITHMANE",27,30,18
34,"spotify:track:4pR4oQJULf7FDB54TleMyH","Limoblaze, Lecrae, Happi","Jireh (My Provider)","Limoblaze Music",34,35,13
35,"spotify:track:30sDS4E23SZCd95dhXlGlU","Sam Deep, MaWhoo","Thokoza","Universal Music (Pty) Ltd.",34,34,7
36,"spotify:track:3kIiJeILPKS1gObjJFq4Hi","Fortunator, khubvi kid, Crosswavee, dj Call me SA, DJ Micro","Ha mathuthu banga (Fortunator & Rude kid venda)","3436750 Records DK",32,48,11
37,"spotify:track:4ZdEKnyBbsxJf0FRd3rTb5","Caroline Grace","Bokswyn","Universal Music (Pty) Ltd.",29,36,7
38,"spotify:track:1EZMFiD30CythJ73EBZfUq","Jay Music, Mellow & Sleazy, DJ SOL K","The Fxckin Injury","1713874 Records DK",8,37,28
39,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",22,39,45
40,"spotify:track:6wj7wjtegmkziorQ2tt5Pz","JID, Kenny Mason","Dance Now (feat. Kenny Mason)","Dreamville/Interscope",12,38,21
41,"spotify:track:62SaDdv956IYAt5nS1nWx7","Njelic, Thabza Tee","Down The Drain","Universal Music (Pty) Ltd.",17,40,21
42,"spotify:track:0ocf3HwWhrXtA8r63Vcd2h","Crash Adams","Give Me A Kiss","Crash Adams Records",42,51,2
43,"spotify:track:4b0MZa0sxGyKgvY7W2rZq1","Cade Thompson","Arms of Jesus","Red Street Records",42,42,8
44,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",44,49,7
45,"spotify:track:079mntueS2KWjxVqOHjG70","Preston Pablo, Banx & Ranx","Flowers Need Rain","31 East JV (2021)",9,44,40
46,"spotify:track:1Fid2jjqsHViMX6xNH70hE","Seafret","Atlantis","Sweet Jane Recordings",40,47,41
47,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",24,46,14
48,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",28,43,50
49,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",18,50,28
50,"spotify:track:0C3shWEOObGT5IxApC7Mkg","Henry Moodie","you were there for me","Robots & Humans",7,45,32
51,"spotify:track:11M54lVpEsq9yDTJ62gPNS","Luxury SA","Gumbafaya","Luxury SA Entertainment",23,54,13
52,"spotify:track:0hcW7qPqWWJc8189OaqQvX","Jesse Powell, Gerald Albright","You","Silas",52,93,2
53,"spotify:track:3yLQPgGZPv8CvLcrFaJTM1","Temple Boys Cpt, Washa KingBoys","Areveerend (S.o.2 Raw) - Bonus Track","Rejx Entertainment",53,-1,1
54,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship Entertainment Ltd.",10,55,49
55,"spotify:track:4OmfWzukSVD140NiAIEjem","Steve Lacy","Static","L-M Records/RCA Records",34,58,42
56,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",7,56,35
57,"spotify:track:5HVvJfVSUPUPpDwMJk4ATS","Jack Parow","There It Is","Parowphernalia",33,63,7
58,"spotify:track:2pIUpMhHL6L9Z5lnKxJJr9","NewJeans","Attention","ADOR",12,41,28
59,"spotify:track:3hxIUxnT27p5WcmjGUXNwx","Hotel Ugly","Shut up My Moms Calling","Hotel Ugly, under exclusive license to Amuseio AB",56,70,25
60,"spotify:track:4svaKoxMMP7ImmKrD5hfQu","Jax","Victoria’s Secret","Atlantic Records",5,52,56
61,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",22,60,81
62,"spotify:track:6RbOyNeajWax51NtpO6WT8","Victony, Tempoe","Soweto","The Plug Entertainment",26,73,5
63,"spotify:track:43F9HcG6y42YwLycMr1VSm","Charlotte_lyf","Mdali Khanyisa","QTR",5,53,28
64,"spotify:track:1zHdh2Muk7jyPYXc8h1zPs","Big Zulu, Mduduzi Ncube, Siya Ntuli, Lwah Ndlunkulu, Xowla","Voicemail","Nkabi Records",2,59,63
65,"spotify:track:1MJagJs7aC4UJYZK3j5iIO","Eloff","Witblits","Select",14,67,47
66,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",1,64,85
67,"spotify:track:1uJ0MhoeCx5y66oaxv5tUQ","Naqua SA, Shebeshxt, Justin Juss Tii, Strike SA","Shebe Monateng (Shebeshxt)","2435823 Records DK",45,57,20
68,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",2,65,56
69,"spotify:track:3bjM6KcvV1MwkAm7DJQb9O","loafers, Badjack, Maxim Schunk","Lay All Your Love On Me","Soave Records",61,61,4
70,"spotify:track:3MKHHwjeu6SYuix0T57VPj","Dj Slikour","Mhana Vafana","Slikour Records",18,66,42
71,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",16,62,102
72,"spotify:track:2dFz5ravSFl9FL82ujab6y","Matt Corman","Word to the Wise","MIH Universal",17,79,17
73,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",73,77,4
74,"spotify:track:47E3zSKRLgtJ9AaD9IVKrc","Able Heart","Whisper","One Heart Records",1,87,45
75,"spotify:track:6cQ8IRL1UQR11v4wD4wjo8","Camylio","monsters","Republic Records",49,78,13
76,"spotify:track:2FUyod5LVoX1JcgesHVfKk","Wendy Shay","Survivor","Rufftown records",1,69,93
77,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship Entertainment Ltd.",4,72,105
78,"spotify:track:3PdO57q0KLWkfWXsXQJlV6","Mas Musiq, Aymos, Young Stunna","Sengizwile (feat. Aymos & Young Stunna)","New Money Gang Records",40,75,55
79,"spotify:track:0GAX8SapBTjOqW0d5taVMu","Bernice West","Lyfie","Universal Music (Pty) Ltd.",48,71,10
80,"spotify:track:4qD1k0Ybmkl7Q7XtqGKgjl","Classic Deep, Six40, Zuma, Mzu M, 2woshort, LuuDaDeejay","Khwela","Ama Roto Entertainment",16,84,27
81,"spotify:track:6cVD6OQ3ZRAjcTkyrUCIYZ","why mona","Wannabe","Ultra Records, LLC",9,83,63
82,"spotify:track:5Sk39LuvdwuvL84jD01Dum","MUPP, Sadfriendd","vendetta!","Sadfriendd x MUPP",8,76,96
83,"spotify:track:75VD2d6BPTuESBrzRqD6xl","Senior Oat, Kemy Chienda","All In You","The Oat Records",1,74,192
84,"spotify:track:7DQMBUK4oX9gV1qIzpoRz6","Aymos","Mama","DJs Production",40,68,14
85,"spotify:track:3u6PxWema1snbjLbFEyjkJ","Seafret","Atlantis - Extra Sped Up Version","Sweet Jane Recordings",60,81,12
86,"spotify:track:2WmlrdRYXJwtvsStaLhdEa","Steph Ocho","Omoge","Moodswings Incorporated",86,-1,2
87,"spotify:track:0du9AbEce0kooBH5I6suvG","Margot","110","Select",29,86,14
88,"spotify:track:27ZZdyTSQWI7Cug2d2PkqV","Armani White","BILLIE EILISH.","Legendbound, LLC / Def Jam Recordings",5,-1,95
89,"spotify:track:6VBhH7CyP56BXjp8VsDFPZ","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")","Sony Music Entertainment India Pvt. Ltd.",23,96,25
90,"spotify:track:1sWb35nydLCjD71JGURDEv","chyxz, SLOWYMANE","RAGNAROK","ALT:Vision Records",41,82,11
91,"spotify:track:7Iiek3SL6PluRxj9IgbTC1","AURORA","Cure For Me","Glassnote Entertainment Group LLC",68,92,9
92,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",27,88,86
93,"spotify:track:1MqzIgGsHP4cNjPboevsfq","Indila","Tourner Dans Le Vide","Universal Music Division Capitol Music France",43,80,20
94,"spotify:track:2DwUdMJ5uxv20EhAildreg","NewJeans","Cookie","ADOR",70,-1,5
95,"spotify:track:5uWDenxq03AYLOq83WzLNo","Kabza De Small, Young Stunna, Nobuhle, Ze2","Xola (feat. Nobuhle, Ze2 & Young Stunna)","Piano Hub",23,89,70
96,"spotify:track:3uDw8M8eTBDC7npvLy9ELS","Paige, SeeZus Beats","Phakade","012 Entertainment",26,97,43
97,"spotify:track:24MacpaasG6qJ5mvVgY9cl","Zandie Khumalo, Xowla","Ikhwela","Content Connect Africa",63,99,12
98,"spotify:track:1VQI2XUq5D8GKqwm1gpFWJ","Nomfundo Moh, Kwesta","Sibaningi","Universal Music (Pty) Ltd.",62,90,14
99,"spotify:track:2BH3j05ZXWr5PR30sW079d","Isolate.exe","Crystals","Isolate.exe",85,85,4
100,"spotify:track:2MBUcATmi2c1qn8XHLLoPe","Nwabisa_G","Hamba nam","DSM Entertainment on behalf of Earthquake records",95,-1,3
