rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",1,1,25
2,"spotify:track:5mXZz0tXIToxu3HRohrdSK","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,2,4
3,"spotify:track:6G1Mz5yMgn0ydOlIvTrZ65","TALK","Run Away to Mars","Range Music/Capitol Records",1,3,33
4,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",4,4,21
5,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",3,5,19
6,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",6,9,32
7,"spotify:track:5OCGdwTT9uvTNlGqbUm2U7","Pushkin, Springle, Mankay, ChocoDynasty","Welele","Pushkin and Springle",6,6,4
8,"spotify:track:2DTnuVhrGnLcmgutAW4vb1","Lwah Ndlunkulu, Siya Ntuli","Ithuba","Nkabi Records",5,8,11
9,"spotify:track:1jOgJN75btuUONIdf57vHz","Ice Spice","Munch (Feelin’ U)","Worldstar",4,10,11
10,"spotify:track:0AzD1FEuvkXP1verWfaZdv","Hudson Mohawke","Cbat","Warp Records",3,7,9
11,"spotify:track:3W9jnJBPYeihwNSXsr65f9","Lil Mabu, DUSTY LOCANE","NO SNITCHING (with Dusty Locane)","Lil Mabu",11,11,20
12,"spotify:track:3cIU0dTuCwUyNHBPF84jwL","Mau P","Drugs From Amsterdam","Island Records UK / Republic Records / Virgin Records Germany",12,13,4
13,"spotify:track:7rmpguwTH3XwEPZMSeL4RH","Lowsheen, Master KG, Nkosazana Daughter","Thula","Wanitwa Mos Entertainment",11,12,4
14,"spotify:track:6NB2npCHsGXQ059pMhXJzl","Barto","H2Oë","Select",14,15,4
15,"spotify:track:7wdwIaXUuzlu1grzWMFRJm","Ghost","Mary On A Cross","UME - Global Clearing House",3,14,40
16,"spotify:track:6GD1eomgaGT1Epto6Q5eAo","JVKE","golden hour","JVKE",5,18,34
