trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,"ROS, Bruno Mars",APT.,64,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,Atlantic Records,1,54,61,13623220,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ROS,0
0,0,"ROSALA, Yahritza Y Su Esencia",La Perla,40,spotify:track:4oVO4fGNRRvEn0CRuFO4qv,Columbia,7,34,6,16144822,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ROSALA,0
0,0,Radiohead,Creep,46,spotify:track:70LcF31zb1H0PyJoS1Sx1r,XL Recordings,27,45,107,15123560,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Radiohead,0
0,1,Radiohead,Let Down,97,spotify:track:2fuYa3Lx06QQJAm0MjztKr,XL Recordings,55,78,29,11351457,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Radiohead,0
0,0,"Rauw Alejandro, Bad Bunny",Qu Pasara...,79,spotify:track:0l0vcZMU7AOeQmUIREoI2U,Sony Music Latin/Duars Entertainment,17,101,53,12452062,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Rauw Alejandro,0
0,0,Ravyn Lenae,Love Me Not,59,spotify:track:4WFgvKVfEhb3IUAFGrutTR,Atlantic Records,8,56,39,13861414,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Ravyn Lenae,0
0,0,Rels B,TU VAS SIN (fav),118,spotify:track:6uiQ0DqbXTBc8tl0AUKZkR,DALE PLAY Records / Flakk Team,28,91,23,10528426,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Rels B,0
0,0,Rihanna,Breakin' Dishes,185,spotify:track:5EcG8eMMlwkHRVa4aTR1qd,Def Jam Recordings,39,171,38,9234137,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Rihanna,0
0,0,SIENNA SPIRO,Die On This Hill,145,spotify:track:2gYTC8DsplN3RNdpdBcCOQ,Capitol Records,145,-1,1,9849474,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,SIENNA SPIRO,0
0,0,Sabrina Carpenter,A Nonsense Christmas,115,spotify:track:7yogx3TwxGwSxO2QITsT2q,Island Records,37,159,5,10626596,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Sabrina Carpenter,0
0,1,Sabrina Carpenter,Espresso,75,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Island Records,1,65,88,12650016,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Sabrina Carpenter,0
0,2,Sabrina Carpenter,Manchild,76,spotify:track:2BwO5K8Q7EPAJSGze3AAh9,Island Records,1,55,28,12648738,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Sabrina Carpenter,0
0,3,Sabrina Carpenter,Tears,149,spotify:track:42VUCXerQ5qTr4Qp6PhKo4,Island Records,2,113,16,9771137,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Sabrina Carpenter,0
