rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,1,5,142719,2021-04-22
2,spotify:track:5xrtzzzikpG3BLbo4q1Yul,IU,LILAC,EDAM Entertainment,1,2,5,88524,2021-04-22
3,spotify:track:748mdHapucXQri7IAO8yFK,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,3,4,2,77688,2021-04-22
4,spotify:track:2VJOpzv5sBpstCX9venJr5,Brave Girls,Rollin',브레이브 엔터테인먼트,3,3,7,68606,2021-04-22
5,spotify:track:5nCwjUUsmBuNZKn9Xu10Os,IU,Celebrity,EDAM Entertainment,3,5,8,59242,2021-04-22
6,spotify:track:7MAibcTli4IisCtbHKrGMh,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,1,7,7,57869,2021-04-22
7,spotify:track:2pn8dNVSpYnAtlKFC8Q0DJ,ROSÉ,On The Ground,YG Entertainment/Interscope Records,1,6,6,55170,2021-04-22
8,spotify:track:5BXr7hYZQOeRttkeWYTq5S,STAYC,ASAP,High Up Entertainment,8,18,2,52029,2021-04-22
9,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,1,8,12,50827,2021-04-22
10,spotify:track:67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,10,11,4,49526,2021-04-22
11,spotify:track:1nahzW3kfMuwReTka28tH5,Justin Bieber,Hold On,RBMG/Def Jam,3,10,7,49237,2021-04-22
12,spotify:track:6kH1sKkvgN4Yikake52glq,Brave Girls,We Ride,Brave Entertainment,12,12,6,43456,2021-04-22
13,spotify:track:7CZRguMolNqIobnXxpV735,IU,Coin,EDAM Entertainment,4,9,5,42994,2021-04-22
14,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,Epic/Not So Fast,13,13,10,40163,2021-04-22
15,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,6,16,12,37778,2021-04-22
16,spotify:track:6fRxMU4LWwyaSSowV441IU,"Maroon 5, Megan Thee Stallion",Beautiful Mistakes (feat. Megan Thee Stallion),Interscope Records*,13,15,7,35536,2021-04-22
17,spotify:track:3VT8hOC5vuDXBsHrR53WFh,Masked Wolf,Astronaut In The Ocean,Elektra (NEK),17,21,10,34019,2021-04-22
18,spotify:track:61KpQadow081I2AsbeLcsb,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,17,17,3,32922,2021-04-22
19,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,3,20,12,31172,2021-04-22
20,spotify:track:249gnXrbfmV8NG6jTEMSwD,BTS,Life Goes On,BIGHIT MUSIC,2,19,12,31074,2021-04-22
21,spotify:track:0pYacDCZuRhcrwGUA5nTBe,"IU, SUGA",eight(Prod.&Feat. SUGA of BTS),EDAM Entertainment,20,22,6,30628,2021-04-22
22,spotify:track:6JeleVHUHrdvgiFESE33ZU,ASH ISLAND,MELODY,"Genie Music Corporation, Stone Music Entertainment",17,32,8,28300,2021-04-22
23,spotify:track:4Ws314Ylb27BVsvlZOy30C,BLACKPINK,Lovesick Girls,YG Entertainment/Interscope Records,3,28,12,27998,2021-04-22
24,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,BTS,Film out,Universal Music LLC,6,14,4,26552,2021-04-22
25,spotify:track:2dHoVW9AxJVSRebPRyV2aA,ROSÉ,Gone,YG Entertainment/Interscope Records,2,24,6,26233,2021-04-22
26,spotify:track:2WnAKZefdRHxtBEkRjFOHC,Justin Bieber,Anyone,RBMG/Def Jam,11,31,12,25849,2021-04-22
27,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,Atlantic Records,10,29,11,25664,2021-04-22
28,spotify:track:4Dr2hJ3EnVh2Aaot6fRwDO,IU,Blueming,Kakao Entertainment,28,35,6,25270,2021-04-22
29,spotify:track:6Xgq7MvZiet0hVi3KaDSgJ,"Justin Bieber, Chance the Rapper",Holy (feat. Chance The Rapper),RBMG/Def Jam,24,34,12,24646,2021-04-22
30,spotify:track:1IJxbEXfgiKuRx6oXMX87e,IU,Ah puh,EDAM Entertainment,13,27,5,24319,2021-04-22
31,spotify:track:2j0MsDAMJ2ahsxP3z86ChI,IU,Flu,EDAM Entertainment,7,23,5,24278,2021-04-22
32,spotify:track:43PGPuHIlVOc04jrZVh9L6,Polo G,RAPSTAR,Columbia,32,65,2,24120,2021-04-22
33,spotify:track:46wDG6evLn2iPoQ0F8CUWk,IU,My sea,EDAM Entertainment,10,26,5,24112,2021-04-22
34,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,2,33,12,23977,2021-04-22
35,spotify:track:6F2r4HgpJnvKDmkN6JEN6J,"Justin Bieber, Khalid",As I Am (feat. Khalid),RBMG/Def Jam,9,25,5,23957,2021-04-22
36,spotify:track:0BBUGRUURDjwcXmDS3kQkN,SHINee,Atlantis,SM Entertainment,36,49,2,23863,2021-04-22
37,spotify:track:2MJz8BxxMsERULatmBikDH,Pink Sweat$,At My Worst,Atlantic Records,12,41,12,23392,2021-04-22
38,spotify:track:462OPOKW0VMbvW9H7HIb0U,SHINee,Don't Call Me,SM Entertainment,3,37,9,23230,2021-04-22
39,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,8,39,12,23168,2021-04-22
40,spotify:track:2cc8Sw1OnCuA5bV8nqWqpE,"Regard, Troye Sivan, Tate McRae",You,Ministry of Sound Recordings,40,-1,1,22714,2021-04-22
41,spotify:track:64P4md3mdMM8Dog2aThmzj,"IU, DEAN",Troll (Feat. DEAN),EDAM Entertainment,9,30,5,22243,2021-04-22
42,spotify:track:5KawlOMHjWeUjQtnuRs22c,"BTS, Halsey",Boy With Luv (feat. Halsey),BIGHIT MUSIC,6,42,12,22074,2021-04-22
43,spotify:track:6rcwrRWKyjaFyUL8b8GlIJ,IU,Epilogue,EDAM Entertainment,15,38,5,21579,2021-04-22
44,spotify:track:2pNJ0TsgiRc4mGdYHazD5w,Whee In,water color,RBW Inc.,44,176,2,19855,2021-04-22
45,spotify:track:52CBUrIdyf8tbZaUY9iawE,Weeekly,After School,PLAY M ENTERTAINMENT CORP.,45,66,3,19833,2021-04-22
46,spotify:track:60VaORSJ5x1D4ZPSc0g2En,BAEKHYUN,Bambi,SM Entertainment,15,36,4,19693,2021-04-22
47,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,Republic Records,9,47,12,19622,2021-04-22
48,spotify:track:37LhFxchiyAJVop5JgRZgY,WENDY,Like Water,SM Entertainment,43,43,3,19309,2021-04-22
49,spotify:track:1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,We're Good,Warner Records,5,44,10,19217,2021-04-22
50,spotify:track:2M7a2Us8CEU1HZHj70byGX,IU,Hi spring Bye,EDAM Entertainment,11,40,5,18718,2021-04-22
51,spotify:track:0KVClXxsZEKkyWRNXeRFrE,IU,Hold my hand,Kakao Entertainment,44,45,6,18706,2021-04-22
52,spotify:track:4SFknyjLcyTLJFPKD2m96o,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,8,51,12,18654,2021-04-22
53,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,EMI / Interscope,16,46,9,18606,2021-04-22
54,spotify:track:3Y4SnP9NDIjEj69mMY4NVp,DAY6,You make Me,Republic Records - DAY6,54,-1,1,18449,2021-04-22
55,spotify:track:2etHQJxIbV0soyPhelVs9Y,"Saweetie, Doja Cat",Best Friend (feat. Doja Cat),ICY/Warner Records,22,54,12,17932,2021-04-22
56,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,42,56,12,17476,2021-04-22
57,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,17,53,12,17379,2021-04-22
58,spotify:track:5nfb7IPrj9awskmLFSykWr,SG Wannabe,Timeless,Genie Music Corporation,58,-1,1,17084,2021-04-22
59,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,29,60,12,16905,2021-04-22
60,spotify:track:3T03rPwlL8NVk1yIaxeD8U,Justin Bieber,Off My Face,RBMG/Def Jam,31,79,5,16899,2021-04-22
61,spotify:track:0CnpSTdL9l5vQM4YnzXtyo,IZ*ONE,Panorama,"OFF THE RECORD Entertainment, SWING Entertainment",18,59,12,16810,2021-04-22
62,spotify:track:4yyX2Iu4xJjW9xMvBZKSBi,"Demi Lovato, Ariana Grande",Met Him Last Night (feat. Ariana Grande),Island Records,48,48,3,16738,2021-04-22
63,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,31,71,12,16114,2021-04-22
64,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,30,67,12,15916,2021-04-22
65,spotify:track:2Zr0bYRHwWXi7eM2wuE6Aj,"MIRANI, Munchman, Khundi Panda, MUSHVENOM, GroovyRoom, JUSTHIS",VVS (Feat. JUSTHIS) (Prod. GroovyRoom),Genie Music Corporation,7,63,12,15812,2021-04-22
66,spotify:track:6mzkkz2p0Nyyp43Eedv4mS,HOMIES,Siren,G.M.S.P,66,72,11,15704,2021-04-22
67,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,Top Dawg Entertainment/RCA Records,14,55,12,15699,2021-04-22
68,spotify:track:2pIgqVUhK5KsNuoFBo6uoh,"MIRANI, pH-1",Daisy (feat. pH-1),WM Korea,50,50,2,15359,2021-04-22
69,spotify:track:1t2qYCAjUAoGfeFeoBlK51,aespa,Black Mamba,SM Entertainment,14,69,12,14971,2021-04-22
70,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,12,58,12,14954,2021-04-22
71,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,31,68,12,14799,2021-04-22
72,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002,Atlantic Records UK,32,73,12,14748,2021-04-22
