date,name,category,value
2022-12-01,Umuntu Onengane,2022,40338
2023-10-01,Umjolo Lowo,2023,182422
2023-12-01,Aliboli Icala,2023,72201
2023-12-01,Imali Yendoda,2023,62226
2023-12-01,Isithembu Simnandi,2023,66749
2023-12-01,Umjolo Lowo,2023,234723
2024-01-01,Umjolo Lowo,2024,217586
