date,name,category,value
2022-02-01,Zula Zula (Hub Way),2022,100969
2022-03-01,Zula Zula (Hub Way),2022,250113
2022-04-01,Zula Zula (Hub Way),2022,129520
2022-05-01,Zula Zula (Hub Way),2022,28552
