date,name,category,value
2019-11-01,My Sunday,2019,10029
2019-11-01,Sgubu Se Monati,2019,20848
2019-12-01,Sgubu Se Monati,2019,42267
2020-01-01,Sgubu Se Monati,2020,26536
2020-02-01,Sgubu Se Monati,2020,49636
2020-03-01,Sgubu Se Monati,2020,50921
