rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start_Date
1,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,1,1,19,7620,2021-02-19
2,spotify:track:249gnXrbfmV8NG6jTEMSwD,BTS,Life Goes On,BIGHIT MUSIC,2,4,19,5254,2021-02-19
3,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,3,19,4964,2021-02-19
4,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,2,2,19,4730,2021-02-19
5,spotify:track:1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,We're Good,Warner Records,5,6,8,4339,2021-02-19
6,spotify:track:3eZYOQO4UzKrUDYDghtnFw,Ariana Grande,test drive,Republic Records,6,-1,1,4125,2021-02-19
7,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,5,5,19,4112,2021-02-19
8,spotify:track:4Ws314Ylb27BVsvlZOy30C,BLACKPINK,Lovesick Girls,YG Entertainment/Interscope Records,2,7,19,4109,2021-02-19
9,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,Republic Records,8,8,19,3797,2021-02-19
10,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,6,9,19,3733,2021-02-19
11,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,Atlantic Records,9,10,15,3505,2021-02-19
12,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,Top Dawg Entertainment/RCA Records,12,13,19,3048,2021-02-19
13,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,11,11,19,2960,2021-02-19
14,spotify:track:31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,RBMG/Def Jam,11,12,19,2876,2021-02-19
15,spotify:track:0n2moJpAEWHwaPYYjkzMDl,BTS,Blue & Grey,BIGHIT MUSIC,3,21,19,2851,2021-02-19
16,spotify:track:4SFknyjLcyTLJFPKD2m96o,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,5,15,19,2836,2021-02-19
17,spotify:track:5KawlOMHjWeUjQtnuRs22c,"BTS, Halsey",Boy With Luv (feat. Halsey),BIGHIT MUSIC,5,16,19,2737,2021-02-19
18,spotify:track:5Kskr9LcNYa0tpt5f0ZEJx,"Lil Tjay, 6LACK",Calling My Phone,Columbia,18,19,8,2726,2021-02-19
19,spotify:track:7Igh1mqghlHz5dimfQV85G,"MIRANI, Munchman, Khundi Panda, MUSHVENOM, GroovyRoom, JUSTHIS",VVS (Feat. JUSTHIS) (Prod. GroovyRoom),Genie Music Corporation,5,20,19,2716,2021-02-19
20,spotify:track:7wDVvxMUdW5MtJUqFtuXUz,CHUNG HA,Bicycle,MNH ENTERTAINMENT,16,18,5,2712,2021-02-19
21,spotify:track:2MJz8BxxMsERULatmBikDH,Pink Sweat$,At My Worst,Atlantic Records,11,14,19,2669,2021-02-19
22,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,16,17,19,2661,2021-02-19
23,spotify:track:3QH8rQGNFX8VLbCgZ7uPTS,BTS,Fly To My Room,BIGHIT MUSIC,4,32,19,2363,2021-02-19
24,spotify:track:2etHQJxIbV0soyPhelVs9Y,"Saweetie, Doja Cat",Best Friend (feat. Doja Cat),ICY/Warner Records,22,22,19,2287,2021-02-19
25,spotify:track:3ndCsZfq8OVwwkz9mmZvUz,BTS,Stay,BIGHIT MUSIC,7,34,19,2269,2021-02-19
26,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,BTS,Telepathy,BIGHIT MUSIC,9,43,19,2248,2021-02-19
27,spotify:track:3apeXzypBMnUfYcZYNX6DH,TWICE,I CAN'T STOP ME,Republic Records - TWICE,16,24,19,2221,2021-02-19
28,spotify:track:0CnpSTdL9l5vQM4YnzXtyo,IZ*ONE,Panorama,"OFF THE RECORD Entertainment, SWING Entertainment",15,27,19,2185,2021-02-19
29,spotify:track:54DmTIv86D3sYdiawjULQ0,BTS,Dis-ease,BIGHIT MUSIC,6,46,19,2108,2021-02-19
30,spotify:track:54bFM56PmE4YLRnqpW6Tha,Billie Eilish,Therefore I Am,Darkroom/Interscope Records,23,23,19,2102,2021-02-19
31,spotify:track:1t2qYCAjUAoGfeFeoBlK51,aespa,Black Mamba,SM Entertainment,9,29,19,2098,2021-02-19
32,spotify:track:1HbA4N1MiOsPthALesGFR1,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),Shawn Mendes LP4-5 PS/ Island,25,25,19,2039,2021-02-19
33,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,30,30,19,2030,2021-02-19
34,spotify:track:3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,10,36,8,2019,2021-02-19
35,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,Kemosabe Records/RCA Records,33,33,19,2016,2021-02-19
36,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,25,26,19,2006,2021-02-19
37,spotify:track:5FiXhM80sP4yg6tEnHkZZn,i-dle,HWAA,Universal Music LLC,31,35,11,2000,2021-02-19
38,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,31,31,19,1973,2021-02-19
39,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,Columbia,32,42,19,1964,2021-02-19
