rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start Date,Start_Date
1,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,1,-1,1,14383,2021-02-01,2021-02-01
2,spotify:track:249gnXrbfmV8NG6jTEMSwD,BTS,Life Goes On,BIGHIT MUSIC,2,-1,1,13462,2021-02-01,2021-02-01
3,spotify:track:0n2moJpAEWHwaPYYjkzMDl,BTS,Blue & Grey,BIGHIT MUSIC,3,-1,1,6693,2021-02-01,2021-02-01
4,spotify:track:4RewTiGEGoO7FWNZUmp1f4,IU,Celebrity,EDAM Entertainment,4,-1,1,6536,2021-02-01,2021-02-01
5,spotify:track:3QH8rQGNFX8VLbCgZ7uPTS,BTS,Fly To My Room,BIGHIT MUSIC,5,-1,1,5893,2021-02-01,2021-02-01
6,spotify:track:54DmTIv86D3sYdiawjULQ0,BTS,Dis-ease,BIGHIT MUSIC,6,-1,1,5749,2021-02-01,2021-02-01
7,spotify:track:5KawlOMHjWeUjQtnuRs22c,"BTS, Halsey",Boy With Luv (feat. Halsey),BIGHIT MUSIC,7,-1,1,5341,2021-02-01,2021-02-01
8,spotify:track:3cbLHmmEPvTgHKvl53WYiy,BTS,ON,BIGHIT MUSIC,8,-1,1,5000,2021-02-01,2021-02-01
9,spotify:track:3ndCsZfq8OVwwkz9mmZvUz,BTS,Stay,BIGHIT MUSIC,9,-1,1,4976,2021-02-01,2021-02-01
10,spotify:track:4Ws314Ylb27BVsvlZOy30C,BLACKPINK,Lovesick Girls,YG Entertainment/Interscope Records,10,-1,1,4973,2021-02-01,2021-02-01
11,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,11,-1,1,4964,2021-02-01,2021-02-01
12,spotify:track:0H4ugk6rhnXmTl47ayy9O5,Agust D,Daechwita,BIGHIT MUSIC,12,-1,1,4561,2021-02-01,2021-02-01
13,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,BTS,Telepathy,BIGHIT MUSIC,13,-1,1,4448,2021-02-01,2021-02-01
14,spotify:track:2tI4WyzqOOwC23S5m0kqcB,Pink Sweat$,At My Worst,Atlantic Records,14,-1,1,4333,2021-02-01,2021-02-01
15,spotify:track:0SJ7vFES0Lj6pnumh3DhCe,Agust D,People,BIGHIT MUSIC,15,-1,1,3801,2021-02-01,2021-02-01
16,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,Republic Records,16,-1,1,3410,2021-02-01,2021-02-01
17,spotify:track:5yVdSyfWGh8EvolcR2fGFU,BTS,Filter,BIGHIT MUSIC,17,-1,1,3273,2021-02-01,2021-02-01
