rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start Date,Start_Date
69,spotify:track:0GISuIGiksexkuD4krw6PN,BTS,Inner Child,BIGHIT MUSIC,69,81,2,4402,2021-02-02,2021-02-02
70,spotify:track:645YBsxhFPSOKxGep3uHLv,BTS,Love Maze,BIGHIT MUSIC,63,63,2,4395,2021-02-02,2021-02-02
71,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,71,78,2,4363,2021-02-02,2021-02-02
72,spotify:track:5u1n1kITHCxxp8twBcZxWy,"Justin Bieber, Chance the Rapper",Holy (feat. Chance The Rapper),RBMG/Def Jam,72,86,2,4282,2021-02-02,2021-02-02
73,spotify:track:06eq0M1eZRcIIRfx6d00nu,CHANGMO,METEOR,"Genie Music Corporation, Stone Music Entertainment",73,112,2,4277,2021-02-02,2021-02-02
74,spotify:track:0x25VdiFOIBl1epNer9L3w,"Agust D, MAX",Burn It (feat. MAX),BIGHIT MUSIC,47,47,2,4270,2021-02-02,2021-02-02
75,spotify:track:5MmABMNE9bQlzrk3bVR09B,BTS,Lie,BIGHIT MUSIC,75,85,2,4256,2021-02-02,2021-02-02
76,spotify:track:7iAgNZdotu40NwtoIWJHFe,"BLACKPINK, Cardi B",Bet You Wanna (feat. Cardi B),YG Entertainment/Interscope Records,76,98,2,4237,2021-02-02,2021-02-02
77,spotify:track:200110T27gmATYagfNYzkF,BTS,UGH!,BIGHIT MUSIC,77,88,2,4231,2021-02-02,2021-02-02
78,spotify:track:6JdS5rJvJaRA7B1tcm7kxZ,BTS,Dionysus,BIGHIT MUSIC,78,96,2,4180,2021-02-02,2021-02-02
79,spotify:track:1ayaOin9hxCtyhg4UsBTpg,NCT 127,Kick It,SM Entertainment,67,67,2,4149,2021-02-02,2021-02-02
80,spotify:track:0hqj5JBnFt1BHEz2UCFwrl,AKMU,"How can I love the heartbreak, you're the one I love",YG Entertainment,80,102,2,4146,2021-02-02,2021-02-02
81,spotify:track:1trFxVLL8WKhYap543e74l,BTS,Airplane pt.2,BIGHIT MUSIC,81,121,2,4127,2021-02-02,2021-02-02
82,spotify:track:4lRwa7PKcGIuJMwtPIYKdy,BTS,Anpanman,BIGHIT MUSIC,82,125,2,4108,2021-02-02,2021-02-02
83,spotify:track:0ox4uVLjlsGh0XseBN2fZa,NCT 127,First Love,avex trax,44,44,2,4106,2021-02-02,2021-02-02
84,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002,Atlantic Records UK,84,126,2,4091,2021-02-02,2021-02-02
85,spotify:track:2tdq0CeAGSfhI2l4Gwkvgx,BTS,Best Of Me,BIGHIT MUSIC,85,111,2,4087,2021-02-02,2021-02-02
86,spotify:track:7rWZS6UDNgLbtCgq3eUrdM,BTS,Louder than bombs,BIGHIT MUSIC,59,59,2,4086,2021-02-02,2021-02-02
87,spotify:track:2AIWoHr9DF6y4KALCBKWQS,BTS,IDOL,BIGHIT MUSIC,87,145,2,4049,2021-02-02,2021-02-02
88,spotify:track:5nq1uTNIR1cBR72T87viS0,BTS,Go Go,BIGHIT MUSIC,88,117,2,4000,2021-02-02,2021-02-02
89,spotify:track:0JL7DoEqAUcOntWmBuOSdh,"LeeHi, Crush",For You,AOMG,89,109,2,3975,2021-02-02,2021-02-02
90,spotify:track:6jq9F7GSXFtqKwb1dW2Mxn,BTS,Blood Sweat & Tears,BIGHIT MUSIC,89,89,2,3945,2021-02-02,2021-02-02
91,spotify:track:7K31QxS2DmTBxdYldd8yqf,"lIlBOI, GIRIBOY, BIG Naughty","Tomorrow (Feat. GIRIBOY, BIG Naughty)",Stone Music Entertainment,91,103,2,3934,2021-02-02,2021-02-02
92,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,48,48,2,3929,2021-02-02,2021-02-02
93,spotify:track:21yCOhgaDMc0KEtxhZHTbI,keshi,blue,Island Records,50,50,2,3857,2021-02-02,2021-02-02
94,spotify:track:4eVkn18rN4GguUWOsR6Use,BTS,Answer : Love Myself,BIGHIT MUSIC,94,115,2,3845,2021-02-02,2021-02-02
95,spotify:track:4IzofHMmUybZv3myzHlZE7,BTS,Dope,BIGHIT MUSIC,95,152,2,3842,2021-02-02,2021-02-02
96,spotify:track:1TUkEXQrskATO9SoB4QMUN,BAEKHYUN,Amusement Park,SM Entertainment,77,77,2,3819,2021-02-02,2021-02-02
97,spotify:track:3ryjLm3oupIjJFGc39naNi,BTS,dimple,BIGHIT MUSIC,97,128,2,3818,2021-02-02,2021-02-02
98,spotify:track:2ZwIO3ufWLFYxtEoam9ydu,RINI,My Favourite Clothes,Warner Records,55,55,2,3803,2021-02-02,2021-02-02
99,spotify:track:0D75ciM842cdUMKSMfAR9y,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),Selena Gomez Latin Project,71,71,2,3774,2021-02-02,2021-02-02
100,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,87,87,2,3659,2021-02-02,2021-02-02
101,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,101,-1,1,3605,2021-02-02,2021-02-02
102,spotify:track:314ZkcV7oLWG8yWE7LABvH,"BTS, Lauv",Make It Right (feat. Lauv),BIGHIT MUSIC,102,142,2,3587,2021-02-02,2021-02-02
103,spotify:track:0psS4i5YooJrXfDnGvWRLi,"Billie Eilish, ROSALÍA",Lo Vas A Olvidar (with ROSALÍA),Darkroom/Interscope Records,90,90,2,3583,2021-02-02,2021-02-02
104,spotify:track:7L8hkKW4hnemNfuOfEZcle,BTS,Epiphany,BIGHIT MUSIC,104,106,2,3575,2021-02-02,2021-02-02
105,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,"Big Machine Records, LLC",105,-1,1,3571,2021-02-02,2021-02-02
106,spotify:track:06bwLBRfk0UuPDrXUe0NqG,BTS,Outro : Ego,BIGHIT MUSIC,106,144,2,3562,2021-02-02,2021-02-02
107,spotify:track:1Z8X01dllP6jsUgAHRHOdW,BTS,Save Me,BIGHIT MUSIC,107,163,2,3509,2021-02-02,2021-02-02
108,spotify:track:2I5qMlv43L5UbimvjzWhzz,BTS,Outro: Wings,BIGHIT MUSIC,83,83,2,3496,2021-02-02,2021-02-02
109,spotify:track:2qG81jL9UIP54uS8gYyP4k,"Lauv, BTS",Who,Lauv,109,123,2,3487,2021-02-02,2021-02-02
110,spotify:track:6ePyl2ns4b7MVYhjsj32ZK,BTS,Intro: Singularity,BIGHIT MUSIC,105,105,2,3454,2021-02-02,2021-02-02
111,spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,Shawn Mendes,If I Can't Have You,Island Records,111,182,2,3418,2021-02-02,2021-02-02
112,spotify:track:3rrqE1KR8LtixLzgtBFcCu,BTS,I Need U,BIGHIT MUSIC,112,168,2,3416,2021-02-02,2021-02-02
113,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,Columbia,84,84,2,3416,2021-02-02,2021-02-02
114,spotify:track:6rcn967QN5JtkPOBDwYIuT,NCT DREAM,BOOM,SM Entertainment,74,74,2,3385,2021-02-02,2021-02-02
115,spotify:track:13On7DYsJ3IrWxBWuOwM8t,Yerin Baek,Square (2017),Blue Vinyl,115,124,2,3352,2021-02-02,2021-02-02
116,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,"NCT, NCT U",BOSS,SM Entertainment,116,178,2,3310,2021-02-02,2021-02-02
117,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",Warner Music Nashville,117,164,2,3308,2021-02-02,2021-02-02
118,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,94,94,2,3302,2021-02-02,2021-02-02
119,spotify:track:6sI8Q7TTJeA9exw6hxEqq3,"MAX, SUGA",Blueberry Eyes (feat. SUGA of BTS),Colour Vision Records/Sony Music Entertainment,100,100,2,3300,2021-02-02,2021-02-02
120,spotify:track:4CvId64YZSB0RfRdfzPIQU,BTS,So What,BIGHIT MUSIC,120,167,2,3297,2021-02-02,2021-02-02
121,spotify:track:5FOnZ5yGWaKk0bxHOigYQk,CHUNG HA,X,MNH ENTERTAINMENT,121,175,2,3296,2021-02-02,2021-02-02
122,spotify:track:2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Interscope Records*,122,136,2,3285,2021-02-02,2021-02-02
123,spotify:track:0PoAZ7SLFpqpYR9LSCYAo8,TWICE,CRY FOR ME,Republic Records - TWICE,122,122,2,3283,2021-02-02,2021-02-02
124,spotify:track:46qcoYJhhjkQoSfMjKs6sO,BTS,Not Today,BIGHIT MUSIC,124,161,2,3262,2021-02-02,2021-02-02
125,spotify:track:3NfgdU9mbIVhcJF3XvC0c9,OH MY GIRL,Dolphin,WM ENTERTAINMENT INC.,125,176,2,3247,2021-02-02,2021-02-02
126,spotify:track:6z1kLsntE7FuzKZHZWrXYN,DEAN,instagram,Universal Music Ltd.,126,139,2,3243,2021-02-02,2021-02-02
127,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,Ed Sheeran,Afterglow,Atlantic Records UK,120,120,2,3230,2021-02-02,2021-02-02
128,spotify:track:7Acvy2L38SCipAeMPOK8Ro,LeeHi,HOLO,"Genie Music Corporation, Stone Music Entertainment",128,165,2,3221,2021-02-02,2021-02-02
129,spotify:track:2J0X46UkpfLlWbuCXFgDLr,"Steve Aoki, BTS",Waste It On Me (feat. BTS),"Ultra Records, LLC",129,151,2,3205,2021-02-02,2021-02-02
