,main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
146,Lana Del Rey,ZA,5,104,2019-09-05,2023-06-01,144815,3,False,False,5,0
147,Lauv,ZA,14,17,2018-03-22,2021-04-22,5326993,4,False,False,366,5
148,Lay Bankz,ZA,1,65,2024-04-18,2024-05-30,738331,1,False,False,6,0
149,Leah Kate,ZA,1,144,2022-05-05,2022-05-19,79866,1,False,False,2,0
150,Lewis Capaldi,ZA,6,7,2019-01-17,2024-06-20,20466555,6,False,False,523,0
151,Lil Durk,ZA,6,2,2022-03-17,2024-02-22,5906190,3,False,False,46,4
152,Lil Mosey,ZA,3,5,2018-09-06,2021-07-22,2641154,4,False,False,84,1
153,Lil Nas X,ZA,21,1,2019-03-21,2022-10-27,16039312,4,False,False,379,12
154,Lil Tjay,ZA,6,2,2019-10-17,2022-09-08,2937669,3,False,False,83,5
155,Lil Uzi Vert,ZA,25,30,2018-03-15,2023-07-20,4597766,5,False,False,141,4
156,Lizzo,ZA,6,16,2019-05-02,2023-01-05,3108580,5,False,False,123,2
157,Lizzy McAlpine,ZA,1,72,2023-02-23,2023-05-11,612465,1,False,False,11,0
158,Lorde,ZA,1,66,2021-06-17,2021-06-24,57359,1,False,False,1,0
159,Lost Frequencies,ZA,2,13,2018-05-03,2024-01-11,6899635,5,False,False,110,2
160,MAX,ZA,1,119,2019-05-23,2019-06-20,39873,1,False,False,4,1
161,MEDUZA,ZA,5,14,2019-04-04,2023-06-01,7451605,5,False,False,249,7
162,Madison Beer,ZA,3,115,2018-04-05,2020-06-11,156563,2,False,False,14,1
163,Majestic,ZA,1,135,2021-05-20,2022-01-06,334736,2,False,False,14,1
164,Mariah Carey,ZA,5,2,2018-12-06,2024-06-20,10144210,7,False,False,151,0
165,Maroon 5,ZA,7,1,2018-03-15,2023-01-19,9104285,6,True,False,386,4
166,Marshmello,ZA,20,1,2018-03-15,2023-06-01,12935166,6,False,False,599,21
167,Martin Garrix,ZA,14,8,2018-03-15,2021-08-12,2354621,4,False,False,191,17
168,Masked Wolf,ZA,1,8,2021-01-07,2022-02-03,2554738,2,False,False,56,0
169,Megan Thee Stallion,ZA,10,8,2019-08-15,2024-02-08,2615435,5,False,False,100,7
170,Meghan Trainor,ZA,2,17,2018-12-27,2023-05-11,2217256,4,False,False,30,0
171,Metro Boomin,ZA,35,2,2018-11-08,2024-02-08,18792509,5,False,False,293,30
172,Michael Bubl,ZA,6,9,2018-12-06,2023-12-28,1617305,6,False,False,38,2
173,Migos,ZA,27,4,2018-03-15,2021-08-19,1663762,3,False,False,96,13
174,Miley Cyrus,ZA,9,1,2018-11-08,2024-05-09,8747134,6,False,False,148,1
175,Mitski,ZA,1,76,2023-10-12,2024-03-21,1859502,2,False,False,23,0
176,Mneskin,ZA,2,5,2021-06-10,2022-02-10,2473283,2,False,False,54,0
177,Muni Long,ZA,3,5,2022-01-13,2024-06-20,6697083,2,False,False,54,1
178,NEIKED,ZA,1,64,2021-10-28,2022-03-31,623142,2,False,False,18,2
179,NF,ZA,16,15,2018-03-15,2023-04-20,1643335,5,False,False,139,3
180,Nat King Cole,ZA,3,72,2018-12-27,2022-12-29,159125,5,False,False,6,0
