main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
Roddy Ricch,Global,6,1,2019/12/05,2021/07/29,1571048141,3,FALSE,FALSE,122,4
Rosa Linn,Global,1,16,2022/07/14,2023/08/17,731846561,2,FALSE,FALSE,57,0
Russ,Global,2,60,2018/09/13,2022/07/28,13778887,2,FALSE,FALSE,1,1
SZA,Global,30,1,2017/06/15,2024/06/20,4983842239,8,FALSE,FALSE,357,13
Sabrina Carpenter,Global,8,1,2017/02/16,2024/06/20,2027084169,5,FALSE,FALSE,139,1
Sam Fischer,Global,2,105,2020/04/23,2021/04/08,89327435,2,FALSE,FALSE,15,1
Sam Smith,Global,28,1,2016/12/29,2023/12/28,4585207039,8,FALSE,FALSE,449,7
Saweetie,Global,4,45,2019/08/15,2021/07/29,309227313,3,FALSE,FALSE,40,4
Selena Gomez,Global,26,1,2017/05/18,2024/02/29,2568936611,8,FALSE,FALSE,252,7
Shawn Mendes,Global,28,1,2016/12/29,2022/10/13,5404365013,7,FALSE,FALSE,580,6
Sia,Global,13,9,2016/12/29,2024/03/28,1734534999,9,FALSE,FALSE,227,5
Skrillex,Global,3,53,2017/08/03,2023/01/12,111364499,3,FALSE,FALSE,17,5
Skylar Grey,Global,1,61,2021/10/07,2021/10/28,30876809,1,FALSE,FALSE,3,3
Sleepy Hallow,Global,3,31,2020/05/21,2022/07/14,377684991,3,FALSE,FALSE,47,2
Stephen Sanchez,Global,2,10,2022/05/12,2024/04/11,1507939359,3,FALSE,FALSE,123,1
Steve Aoki,Global,3,16,2016/12/29,2018/12/06,262185543,3,FALSE,FALSE,31,3
Steve Lacy,Global,3,10,2021/08/12,2024/03/07,1755011830,4,FALSE,FALSE,172,0
Stray Kids,Global,7,39,2021/09/02,2024/05/16,116758769,4,TRUE,FALSE,13,1
Summer Walker,Global,4,63,2019/03/07,2021/11/11,45952535,2,FALSE,FALSE,7,4
Surfaces,Global,1,13,2020/01/23,2021/01/07,497879372,2,FALSE,FALSE,43,0
Swae Lee,Global,1,68,2019/08/22,2019/09/12,24055735,1,FALSE,FALSE,3,1
Swedish House Mafia,Global,1,7,2021/10/28,2022/05/05,295006243,2,FALSE,FALSE,27,1
TAEYANG,Global,2,32,2023/01/19,2023/05/11,68928578,1,FALSE,FALSE,6,2
THE ANXIETY,Global,1,24,2021/09/09,2022/03/31,287702449,2,FALSE,FALSE,29,2
Tai Verdes,Global,1,111,2021/08/19,2021/11/11,79461131,1,FALSE,FALSE,12,0
Tate McRae,Global,9,1,2020/07/16,2024/06/20,2540797623,5,FALSE,FALSE,173,1
Taylor Swift,Global,213,1,2017/06/15,2024/06/20,20091151454,8,FALSE,FALSE,1525,22
Teddy Swims,Global,1,5,2023/11/16,2024/06/20,738036606,2,FALSE,FALSE,31,0
The 1975,Global,4,113,2018/06/07,2020/04/30,18447722,2,TRUE,FALSE,3,0
The Chainsmokers,Global,33,2,2016/12/29,2024/06/20,5345212206,9,FALSE,FALSE,741,20
The Game,Global,1,35,2022/01/20,2022/01/27,19370971,1,FALSE,FALSE,1,1
The Kid LAROI,Global,12,1,2020/06/18,2024/06/20,4092830134,5,FALSE,FALSE,261,9
The Ronettes,Global,1,12,2016/12/29,2023/12/28,413657241,8,FALSE,TRUE,30,0
The Walters,Global,1,21,2021/10/14,2024/06/20,1058317408,4,FALSE,FALSE,109,0
The Weeknd,Global,64,1,2016/12/29,2024/06/20,19374683365,9,FALSE,FALSE,1669,17
Tinashe,Global,1,80,2024/06/13,2024/06/20,22071418,1,FALSE,FALSE,1,0
Tion Wayne,Global,1,17,2021/05/06,2021/07/22,131383409,1,FALSE,FALSE,11,8
Tisto,Global,9,9,2017/01/19,2023/06/29,2258389961,7,FALSE,FALSE,232,10
Tommy Richman,Global,3,1,2024/05/02,2024/06/20,464612075,1,FALSE,FALSE,10,0
Tones And I,Global,4,1,2019/07/25,2022/07/07,2722404836,4,FALSE,FALSE,180,0
Travis Scott,Global,45,1,2017/01/05,2024/06/20,7870650245,8,FALSE,FALSE,866,23
Trippie Redd,Global,22,19,2018/08/16,2023/01/26,391040674,5,FALSE,FALSE,62,10
Troye Sivan,Global,7,31,2018/01/18,2023/11/30,439149168,3,FALSE,FALSE,54,1
Twenty One Pilots,Global,19,27,2016/12/29,2023/11/30,770354410,7,FALSE,FALSE,151,0
Tyga,Global,9,6,2018/05/24,2022/03/24,1007997014,4,FALSE,FALSE,110,9
Tyla,Global,2,12,2023/09/28,2024/06/20,692058875,2,FALSE,FALSE,41,2
Tyler,Global,31,6,2017/07/06,2024/06/20,1425155168,8,FALSE,FALSE,137,19
V,Global,8,11,2021/12/30,2024/06/20,962421192,4,TRUE,FALSE,82,0
WILLOW,Global,2,28,2021/06/10,2022/09/01,290097763,2,FALSE,FALSE,33,1
