main_artist,track_name,streams
6LACK,Pretty Little Fears (feat. J. Cole),1099362
Post Malone,Cooped Up (with Roddy Ricch),1098650
Pheelz,Finesse,1096087
Sam Deep,Thokoza,1095326
Beyonc,BREAK MY SOUL,1093732
Swedish House Mafia,Moth To A Flame (with The Weeknd),1091574
Lewis Capaldi,Before You Go,1067572
Kendrick Lamar,Money Trees,1064110
Burna Boy,It's Plenty,1062565
Lloyiso,Dream About You,1047477
Felo Le Tee,66,1041841
DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),1040119
Giveon,Lost Me,1026683
The Weeknd,Starboy,1002302
CKay,love nwantiti (ah ah ah),1000427
Dua Lipa,Levitating (feat. DaBaby),1000165
Taylor Swift,Anti-Hero,997584
XXXTENTACION,Revenge,995865
Young Stunna,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",995202
Eloff,Johnnie Blou,994435
Post Malone,One Right Now (with The Weeknd),985719
Rosa Linn,SNAP,980122
Njelic,Down The Drain,964690
Myztro,Tobetsa,960408
Fabolous,Into You (feat. Tamia) - Main Mix,957717
Sleepy Hallow,2055,937285
Doja Cat,Need to Know,925874
Kabza De Small,Ebusuku (feat. Nkosazana Daughter),923329
H.E.R.,Could've Been (feat. Bryson Tiller),921888
ACRAZE,Do It To It,917612
Temple Boys Cpt,Saggies,903002
Lil Baby,Drip Too Hard (Lil Baby & Gunna),901685
Rema,Calm Down,896543
Big Zulu,Ivolovolo,892238
Soa Mattrix,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),889253
DJ Ngwazi,Uthando,889131
Zakes Bantwini,Osama,881873
Jaymes Young,Infinity,877509
DJ Maphorisa,Izolo,876536
Charlie Puth,Light Switch,864232
Quavo,HOTEL LOBBY (Unc & Phew),858716
Lojay,Monalisa,857336
The Weeknd,Call Out My Name,849938
Lwah Ndlunkulu,Ithuba,845481
Harry Styles,Late Night Talking,837637
Lowsheen,Thula,833330
Mas Musiq,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",824153
Olivia Rodrigo,traitor,822666
Chris Brown,Call Me Every Day (feat. Wizkid),814703
Khalid,Better,807264
Coldplay,My Universe,806519
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,802990
Busta 929,Mmapula,802571
Goya Menor,Ameno Amapiano Remix (You Wanna Bamba),798672
Beyonc,ALIEN SUPERSTAR,793400
Kabza De Small,"Ziwa Ngale (feat. DJ Tira, Young Stunna, Dladla Mshunqisi, Felo Le Tee, Beast & Dj Exit_sa)",784697
Drake,On BS,776445
Baby Keem,family ties (with Kendrick Lamar),775035
Brent Faiyaz,ALL MINE,765174
Dove Cameron,Boyfriend,755574
Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,755402
The Weeknd,The Hills,750480
Imagine Dragons,Bones,750228
Mellow & Sleazy,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",749080
Pabi Cooper,Waga Bietjie,745805
Eloff,Witblits,734301
Blxckie,Kwenzekile,733154
Ayra Starr,Rush,731436
WILLOW,Wait a Minute!,730718
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,730319
Jay Music,The Fxckin Injury,726294
Dave,Starlight,724074
Drake,Major Distribution,723251
Armani White,BILLIE EILISH.,722601
John Legend,All of Me,719479
Robot Boii,Salary Salary,714877
Meghan Trainor,Made You Look,702202
Billie Eilish,Happier Than Ever,701971
Charlie Puth,Left and Right (Feat. Jung Kook of BTS),689164
S'Villa,Jehovah,681641
Drake,Pussy & Millions (feat. Travis Scott),677234
Doja Cat,You Right,672883
Jason Derulo,Acapulco,671962
d4vd,Romantic Homicide,669046
Lauren Spencer-Smith,Fingers Crossed,668002
Q Twins,Alusafani,660974
Lady Gaga,Hold My Hand,658427
Summer Walker,Karma,657050
Kendrick Lamar,Silent Hill,651761
The Weeknd,I Was Never There,649340
Dave,Location (feat. Burna Boy),646906
SZA,Shirt,645565
Blaq Diamond,Qoma,641849
Joel Corry,Head & Heart (feat. MNEK),635708
Musketeers,Danko,631750
Blxckie,umoya,630365
Drizzy Sam Rsa,Thatheka,625404
Maroon 5,Memories,622634
Kendrick Lamar,LOVE. FEAT. ZACARI.,620352
Journey,Don't Stop Believin',619682
