source,streams,count_main_artist,count_track_name
"Dreamville, Inc., Under exclusive license to Roc Nation Records",515216034,1,15
Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,513337106,3,13
independently popular.,512770850,1,2
300 Entertainment/Atl,508068911,1,9
UMOD (Universal Music On Demand),507880801,1,2
"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",504035633,1,1
"Surfaces, LLC / TenThousand Projects, LLC",497879372,1,1
EMI / Interscope,497087870,1,1
NEON16/Interscope Records,493069641,1,2
Warner Music Nashville,488230568,1,1
"Flow La Movie, Inc.",483139046,1,2
Universal Music Latino/ NEON16,483027771,1,1
Chocolate City Music,479665166,1,1
"Tommy Boy Music, LLC",477998283,1,1
We Run It Ent./Cactus Jack/Atlantic,475125259,1,4
RCA Records/Sony Music International/Sony Music Latin,472022710,1,3
DJ Snake Music Productions Limited,470846742,1,4
Fueled By Ramen,470629656,2,10
"Getting Out Our Dreams, Inc./Def Jam Recordings",466422826,4,19
Jonas Brothers Recording,462140217,1,2
"Thrive Music, LLC",461769872,1,1
White World Music,455953707,1,2
Human Re Sources,453901745,1,2
"Slaughter Gang, LLC/Epic Records",451522474,1,4
Thirty Knots/Columbia,450523574,1,1
Nabru Records LLC,448560983,1,1
"2020 Real Hasta La Muerte, LLC",447779091,1,8
JP Entertainment (Jorge Pino),440266562,2,3
WM Germany,438541996,3,8
Epic/Grand Hustle/Cactus Jack,432087931,1,2
J. Cole P&D,431521911,1,15
Bendo LLC,429961461,1,3
Surf Curse,420891608,1,1
"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",419546716,2,4
KSR/Atlantic,410009919,1,2
Jive,407934205,4,4
Linked Music / Dynamic Records / EMPIRE,405092672,1,1
La Familia,403775008,1,2
Sony Music Entertainment Chile S.A,401846724,2,3
Victor Victor Worldwide/Republic Records,401156494,1,1
10 Summers Records/Interscope Records,400893659,1,3
Monkey Puzzle/Atlantic,397970561,1,4
Universal Music Ltda.,390187442,6,8
Rhino/Warner Records,388782494,1,1
Macklemore,385913783,1,1
Bloc Nation,382577041,1,1
Pina Records,375616360,1,1
Tinted Records,374655005,1,1
Spinnin' Records,372750288,6,7
Flow La Movie,371254425,1,1
DJ Snake Def Jam,369708861,1,2
Rancho Humilde/Street Mob Records,367784312,1,3
Universal Music New Zealand Limited,366439962,1,13
"MSFTSMusic / Roc Nation Records, LLC",363778904,2,2
Astralwerks (ASW),358665658,1,4
La Leyenda LLC,354978513,1,1
Bad Boy/Interscope Records,354859370,1,8
WM South Africa,352318094,1,2
Quality Control Music/Motown Records,351568784,4,22
Hollywood Records,350668632,7,10
Big Loud Records / Mercury Records / Republic Records,350347466,1,12
UMC (Universal Music Catalogue),349088139,2,2
Republic Records - TWICE,347440993,1,8
