main_artist,streams_sum,appearances,num_songs,yrsonchart,num_collaborators
JENNIE,2418810,36,3,3,0
JISOO,2587333,32,2,1,0
LISA,2657927,78,4,3,1
ROS,2289039,93,2,2,0
