source,streams
"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",419546716
KSR/Atlantic,410009919
Jive,407934205
Linked Music / Dynamic Records / EMPIRE,405092672
La Familia,403775008
Sony Music Entertainment Chile S.A,401846724
Victor Victor Worldwide/Republic Records,401156494
10 Summers Records/Interscope Records,400893659
Monkey Puzzle/Atlantic,397970561
Universal Music Ltda.,390187442
Rhino/Warner Records,388782494
Macklemore,385913783
Bloc Nation,382577041
Pina Records,375616360
Tinted Records,374655005
Spinnin' Records,372750288
Flow La Movie,371254425
DJ Snake Def Jam,369708861
Rancho Humilde/Street Mob Records,367784312
Universal Music New Zealand Limited,366439962
"MSFTSMusic / Roc Nation Records, LLC",363778904
Astralwerks (ASW),358665658
La Leyenda LLC,354978513
Bad Boy/Interscope Records,354859370
WM South Africa,352318094
Quality Control Music/Motown Records,351568784
Hollywood Records,350668632
Big Loud Records / Mercury Records / Republic Records,350347466
UMC (Universal Music Catalogue),349088139
Republic Records - TWICE,347440993
PTKF,327780559
Winners Circle/RCA Records,326973960
Masterworks,325548018
Elektra France,324813807
Friends Keep Secrets/Interscope Records,323433213
Universal Music LLC,322732167
BloodPop/DJ/RMBG/Republic,322461469
Scumgang Records,319928345
Friends Keep Secrets/Def Jam Recordings/Interscope Records,316694792
UME - Global Clearing House,311702611
Big Beat Records,309175011
Kygo/RCA Records,308371762
Quality Control/Motown Records,304172081
Positiva,302783493
Kordhell,296423695
LOMIORECORDS,296371503
Sony Music Entertainment India Pvt. Ltd.,294612165
CAPITOL CATALOG MKT (C92),293469838
WM Chile,292409299
2018,288741653
Rich The Kid / (TDE/ISR PS),288566090
Mosley Music/Interscope Records,285997600
Roc Nation / Rihanna,285201643
Chris Brown Entertainment/300 Entertainment/RCA Records,284236722
Four Music Local,283539306
DCD2 / Fueled By Ramen,283309482
Negative Gain Productions,281007749
Rhino,279939817
Getting Out Our Dreams II / Def Jam Recordings,279558486
Selena Gomez Latin Project,279549275
Bad Boy / Interscope,277257171
EMI Catalogue,277016315
Rich Music/Ingrooves Records,273516010
Mavin Records/Jonzing World,271243697
Grupo Frontera,270040067
Kemosabe Records/RCA Records/Sony Music Latin,267903862
Commission/BMG,267158306
Rancho Humilde,266536671
AWGE Label,265997897
"2018 Flow La Movie, Inc.",264870584
Paul McCartney Catalog,261149948
DEL Records,261064982
WM Italy,258905847
8123 / Arista Records,257784611
Guwop Enterprises/Atlantic,255125324
Wolf+Rothstein/RCA Records,253510816
RCA Records Label Nashville,249009372
P2019,246728931
Virgin Music México,245610870
Big Brother,245317307
Virgin Music Label And Artist Services (S&D),244287297
ICY/Warner Records,244269655
Rimas (J Balvin - Jowell & Randy),242457404
Black Butter,241614322
Rec. 118,239900915
CJ Music Group/T-Series,231603951
Shots Studios & Music/10:22pm/Interscope Records,230158907
Decaydance/Fueled By Ramen,225144929
Sony Music CG,223945187
EMI Recorded Music Australia Pty Ltd,220671782
"Ultra Records, LLC",220347011
GR6 Music,218456620
Villa 40/RCA Records,218366483
Roc Nation W Smith P&D,214021308
Epic/Record Company TEN,213519484
Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,213494363
Last Kings Music / EMPIRE,213321238
Sony Music México,213067410
Sweet Jane Recordings,211709519
Urban,209823942
SOURCE MUSIC,207320940
NITRON music,207238320
Photo Finish Records,206688452
Perfect Havoc / Asylum Records,205268468
"2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL",204121832
BorderKid Records/Sony Music Latin,199854251
King Records,199756508
"Spiff TV, LLC / Real Hasta La Muerte, Inc.",198413705
A$AP Worldwide/Polo Grounds Music/RCA Records,196650602
UNI/MOTOWN,196112357
OVO Sound,195588154
Warner Music India,193790951
Uptown / Republic Records,191931870
Nacho,190519051
Best Laid Plans/Columbia,189152276
JG Shows,187854035
Baby Records Inc,187846448
"Three Name Productions, Inc./ Island Records & Republic Records",187407722
"Hotel Ugly, under exclusive license to Amuseio AB",187190014
"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",185262180
BMG Rights Management (US) LLC,183176207
Not specified,180485304
Universal Music Italia srL.,179783634
ByStorm Entertainment/RCA Records,177142461
Hell Beach Catalog,173202437
Roc Nation/Def Jam/Hollywood,171117149
Columbia/Last Kings Records,170419332
Indeciso,169278501
Universal Music Division Island Def Jam,169180472
Tonspiel,168903954
5K Records Limited,168661751
Highbridge The Label,166087776
"Monster Mountain, LLC / Island",164604174
La Mafia Urbana Corp.,164498841
Play It Again Sam,164209016
DALE PLAY Records / Flakk Team,163303526
SBA Production,162125614
0207 Def Jam,161615951
Mom+Pop,160995284
FADER Label,160596557
INTERWORLD,159283269
Musical Freedom,157504067
Young Money/Cash Money Records,155390255
RCA Victor,154937559
Silver Cloud/Charlie's Angels,154837715
Question Everything/RCA Records,154719621
Room28,148886221
Mad Decent,147470566
Virgin Music Chile,147382738
Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,147033524
All We Got Ent.,146616851
One Umbrella Records,145696587
Red Zone Entertainment / IDJ,145612635
Sony Music Argentina,145530200
WM UK,144190297
Apple Orchard Music,142070539
"EP Entertainment, LLC / Def Jam",141761088
2Chainz PS/Def Jam,141581495
UMLE - Machete,141188686
5020 Records,138832391
Lil Peep,137487883
W.A.V.E. Recordings/EMPIRE/Atlantic,136678352
Los Oidos Fresh/ Los Proximos,135776730
Guns N Roses P&D,135545545
Atlantic Records/ATG,134850178
Universal Music Mexico,134751671
Chance the Rapper,133010294
DALE PLAY Records / SSJ Records,132403311
Highbridge the Label / Atlantic Records,132202445
S-Curve Records,131980690
Bagua Records,131288711
Keep Cool/RCA Records,129277021
Carbon Fiber Music,128657047
Columbia Records/Duars Entertainment/Sony Music Latin,128539499
Mi Gente Remix,125326484
STARSHIP Entertainment,122982008
Spinnin' Remixes,122598656
Harbour Artists & Music,121660751
Universal Music Latino,121463124
NEUEN,121426438
Epic/Sing It Loud,121233743
WM Korea,120519498
Geffen*,119998559
Benny Blanco Major,119671396
"Slaughter Gang, LLC",119012838
STREET MOB,118576097
Mr. 305 Records,117267607
Global Gemini,116189090
1400 Entertainment / 10K Projects,115841228
MMG/Atlantic,115250236
Jnr Choi/Epic,114291711
Hoffman West/Columbia,111735595
