main_artist,country
Ruger,Nigeria
Wande Coal,Nigeria
Timaya,Nigeria
The Therapist,Sierra Leon
Reminisce,Nigeria
DJ Tunez,Nigeria
Victony,ZA
Darkoo,UK
MacG,ZA
Ollie Flows,Nigeria
Reekado Banks,Nigeria
melvitto,Nigeria-America
1da Banton,Nigeria
Lil Kesh,Nigeria
Teni,Nigeria
Mayorkun,Nigeria
Peruzzi,Nigeria
Ayra Starr,Nigeria
Limoblaze,Nigeria
Young Jonn,Nigeria
AV,Nigeria
Asake,Nigeria
Mavins,Nigeria
Temple Boys Cpt,ZA
Magixx,Nigeria
Classic Man SmF,Ivory Coast
Bezza,France
Pushkin,ZA
Ice Spice,USA
Boi Chase,Nigeria
T.I BLAZE,Nigeria
Fave,Nigeria
Berri-Tiga,Nigeria
Vector,Nigeria
Cheque,Nigeria
Ajebutter22,Nigeria
Mr Eazi,Nigeria
Mohbad,Nigeria
LADIPOE,Nigeria
Zinoleesky,Nigeria
Zlatan,Nigeria
Carterefe,Nigeria
Camidoh,Ghana
Lad,TBC
BNXN fka Buju,Nigeria
Adekunle Gold,Nigeria
Wizkid,Nigeria
JAE5,UK
Crayon,Nigeria
Bella Shmurda,Nigeria
M.I. Abaga,Nigeria
Omar Apollo,USA
Montell Fish,USA
JVKE,USA
Eliza Rose,UK
d4vd,USA
Seafret,UK
James Hype,UK
031CHOPPA,Nigeria
Beach Weather,USA
Luxury SA,ZA
BLUE TAPE,ZA
Deep London,ZA
Pushkin & Springle,ZA
JID,USA
Lowsheen,ZA
Lwah Ndlunkulu,ZA
TALK,Canada
Jay Music,ZA
Sofia Carson,USA
Wendy Shay,Ghana
Imanbek,Kazakhstan
uLazi,ZA
Oxlade,Nigeria
Central Cee,UK
Rema,Nigeria
Nkulee501,ZA
Dinky Kunene,ZA
Rosa Linn,Armenia
Robot Boii,ZA
Coolkiid Da Vocalist,Cameroon-American
j-hope,South Korea
rum.gold,USA
JP Cooper,UK
HENNYBELIT,ZA
Dee-Jay,ZA
Johnny Clegg & Savuka,ZA
