Hip_Hop_Artist
$INISTER
070 Shake
2NERÃNEIS
3 Shades Brown
A.d.M.a.
A_liyah
Ad.M.a
Agent Olivia Orange
Aha T
Ale Du Black (FlowIce)
Alva
Alyshah Monroe
Amber London
Amelia
AMIRYAH
An?ela Veštica
Angel Haze
Antoinette
Apani
Armani Caesar
Asian Doll
Asteriah
Audra The Rapper
AYLEK$
B. Simone
Baby Goth
Baby Tate
BabyA
Babyxsosa
Bad Brya
Bahamadia
Bahar
Bailee Moore
Bali Baby
BbyMutha
BdotCroc
Beans
Benni E
Betsy Ross
Bhad Bhabie
BIA
Big Mali
BigKlit
Bktherula
Black Lavender
Bonobo
Boss
Br3nya
Bran'Nu
Bree Runway
BreezyLyn
Brianna Perry
BWP
Ca$h Shay
Candy Rain
Cardi B
Carolina Lopez
CasiDine
cati
Chadia Rodriguez
Champ MC
Champain
Charli Baltimore
Charlotte Darat
Chella H
Chelsea Reject
Cheru
Chika
Chloe Riley
Chyna Whyte
Chyng Diamond
Cin-a-Mon
City Girls
Class A
CLIP
Coi Leray
Cookie Crew
Cuban Doll
cupcakKe
Da Brat
DaniLeigh
DEFRANZY
Dess Dior
Diamond
Diamond Qing
Die P
Dirty Diana
DJ Vadim
Doechii
Doja Cat
Dreezy
Dua Saleh
Duell
Dumb Blonde
Ebow
Ellzed
Eripe & Quebonafide
ESSLAX
Esthaloco
Eunique
Eve
fakasutra
Fee Tha MC
Feezy Babey
Female Fonk
Flau'jae
Flo Milli
Flo Milli 
Foxy Brown
Freeda
Fuckasutra
Gail Gotti
Gallah & Rush
Gangsta Boo & La Chat
Ghetto Twiinz
Ginger Bronson
Girll Codee
GloPimpin
Glorilla
Gloss Up
Gonix
H.W.A.
Haiyti
Haviah Mighty
Hazy
Heather B.
Hedonis da Amazon
Hook
Iamdoechii
iCandy
Ice Spice
Icy Blu
Iggy Azalea
Ill e. gal
Its Dia
IV4
Ivorian Doll
J. Anise
Jacki-O
Jade Foxx
Jaeda
Jazzonia
Jean Deaux
Jean Grae
Jennifer Gegenläufer
Jiggie Gee
Jozzy
Jucee Froot
Justina Valentine
JV
K1ssy
Kaliii
Kari Faux
Kash Doll
Kash Kyla
Kate Tempest
Kayykilo
KenTheMan
Kenzo B
KeyMarie
Killaqueenz
Killumantii
King Kaja
Kisum
Kitty Kat
K'LA
Krys Ivory
KSANDRA
L.A. Star
La Chat
Lady London
Ladybug Mecca
Ladybug Mecca (Of Digable Planets)
Lakeyah
Larah Femina
Latto
Lauryn Hill
Lava La Rue
Lavida Loca
Le Fay
Legendary Rella
Leikeli47
Leila Akinyi
Lia 74
LightSkinKeisha
Lil Cham
lil keyu
lil mada
Lil Masti
Lil Ruf
Lil’ Kim
lilsaku
Lip Service
Little Simz
Lola Brooke
Lola Monroe
Londynn B
Loop Loona
Ludditák
Lumaraa
M.C. Ge Gee
Mack Misstress
Magnolia Shorty
Maiya The Don
Mari Marisol
Masia One
MC Ge Gee
MC Latina
MC Lyte
MC Manmeet Kaur
MeeLady
Megan Thee Stallion
Melii
Mello Buckzz
Menajahtwa
Meshauwn
Michie Mee
MIREKU DJIMA
Misfit
Miss Keke
Miss Kisa
Missy Elliot
Missy Elliott
Missy Mist
Mistress & DJ Madame
Miz Matthews
Monaleo
Monie Love
Mozee Montana
Ms Banks
Ms. Felony
Ms. Jade
Ms. Melodie
N.M.N
Nadanuf
Nadia Nakai
Narissa
Na'Tee
ne_mc
Neb Luv
Neru
Nia Kay
Nicki Minaj
Nikki D
Nikki Mcknight
Nina Macc
Nisha Rockstarr
"Nitty Scott, MC"
Nyemiah Supreme
Oaktown's 3.5.7
OCEAN X KUNGFU
Omeretta The Great
Onka
Out Uv Kontrol
Pap Chanel
Patwa
Paula Perry
Paulett & Tanya Winley
Paulett & Tanya Winley With Harlem Underground Band
Penelope Jones
Peshi
Phyr
Pilly Mae
PKTG
Poizon Posse
precise mc
pretty paid rude
Pretty Shy
Princess Loko
Psalm One
Queen Gena
Queen Latifah
Queen Pen
Rah Digga
Rap Girl
Rapsody
Rap-Unzel
Raye
Remy Ma
Renni Rucci
Rha Goddess
Rhymeberry
Rican Da Menace
Rich Nanni
Rico Nasty
Rimi
Rocky Badd
Roxanne Shante
Rubi Rose
Ruby Ibarra
RUNA NDS
Sally Sossa
Salome Ostad
Sara Flow
Sa-Roc
Saweetie
SBVCE
Scandaliz Vandalistz
Scar Lip
SexMasterka
Sexyy Red
Shae Na
Shani B.
Shaunta
Shaybo
Sheelahroc
She-Raw
Sh'killa
Sho Madjozi
Shunda K
Silk e fyne
Silk-E Fyne
Silk-E. Fyne
SilvaDolla
Sky Banks
SkyLar Blatt
Slimeroni
Smor One
Sneadr & Rawberry
Snow Tha Product
sofia ashraf
Somaya Reece
Steff La Cheffe
Stefflon Don
SU'lan
Sweet N Lo'
SXTN
Sydney Sierra
Sylk-E. Fyne
SyntaxE
T.Tam
Talone'
Tanya T6
Tay Money
Teezandos
Tenda Tee
The Bangz
The Bobby Effect
The Clique [U.S.]
The PreC.I.S.E. MC
The Queen of the South.
TiaCorine
TiCe
Tierra Whack
Tiffany Foxx
Tkay Maidza
Tkay Maidza  
T-Love
Tori WhoDat
Trina
Triptych Vibes
True High Class
Truemendous
Ty Bri
Uma
Vae Vanilla
Vayda
Veneno
Vist
Vita
Winter Blanco
Wöyza
WR
Wtch
Xclusive
Yolanda Whitaker
Yoshi Vintage
Young M.A.
Yung Baby Tate
Yung Miami
Zabrina
Zaily
