main_artist,artist_names
Armani White,
Armin van Buuren,
ArrDee,
Artemas,
Artwork Sounds,Kabza De Small - Bee bar
Artwork Sounds,Zain SA - Kelvin Momo
Artwork Sounds,Kabza De Small - Stakev
Asanda Mkhize,
Ashe,
Ashley O,
Ashnikko,
Aubrey Qwana,
Audiomarc,Blxckie - Nasty C
August Alsina,Rick Ross
Ava Max,
Avicii,
Avicii,Nicky Romero
Avicii,Rita Ora
Avicii,Aloe Blacc
Avicii,Agnes - Vargas & Lagola
Avicii,Sandro Cavazza
Avril Lavigne,Nicki Minaj
Avril Lavigne,
Axwell /\ Ingrosso,
Aya Msani,Blaq Diamond
Aymos,Samthing Soweto - Sha Sha - Mas Musiq
Aymos,Major League Djz - Josiah De Disciple
Aymos,Mas Musiq - MaWhoo
Aymos,Jessica LM
Aymos,Cassper Nyovest
Aymos,Kabza De Small - Eemoh
Aymos,Ami Faku
Aymos,Focalistic
Aymos,Mas Musiq
Aymos,
Aymos,Mas Musiq - Boohle
Ayra Starr,Giveon
Ayra Starr,
Azana,
BANNERS,
BENEE,Gus Dapperton
BIA,J. Cole
BIA,Nicki Minaj
BLACKPINK,Cardi B
BLACKPINK,
BLACKPINK,Selena Gomez
BLEU,Nicki Minaj
BLEU,Drake
BLUE TAPE,Jay Jody - A-Reece
BRNS,
BROCKHAMPTON,
BTS,
BTS,Halsey
BTS,Megan Thee Stallion
BTS,Charli XCX
BTS,Nicki Minaj
BTS,Lauv
BTS,Sia
BTS,Steve Aoki
Babalwa M,Stixx - Nvcho
Babalwa M,Kelvin Momo - MaWhoo
Babalwa M,Stixx
Babalwa M,Mzizi
Babalwa M,Nia Pearl - Bassie
Babalwa M,Yallunder
Babalwa M,Thatohatsi
Babalwa M,
Babalwa M,Kelvin Momo - Sia Mzizi
Babalwa M,Baby S.O.N - Kelvin Momo - Stixx
Babalwa M,Nia Pearl
Babalwa M,Mzizi - Kelvin Momo - Stixx - MaWhoo
Baby Keem,
Baby Keem,Kendrick Lamar
Baby Keem,Don Toliver
Baby Keem,Travis Scott
Baby Keem,Brent Faiyaz
Baby S.O.N,Kelvin Momo - Stixx - Mashudu
Baby Tate,
Bad Bunny,Jhay Cortez
Bad Bunny,Drake
Bad Wolves,
Bahubhe,
Bakar,Summer Walker
Balcony Mix Africa,Major League Djz - Lady Du - Aunty Gelato - Focalistic - LuuDaDeejay
Balcony Mix Africa,S.O.N - Omit ST - Major League Djz - Mathandos - Murumba Pitch
Band Aid,
Bandros,ZANI - Zee Nxumalo
Bandros,Mr. Maker - Kelvin Momo - Smash SA
Barto,
Bas,J. Cole
Bas,Lil Tjay - J. Cole
Bassie,Aymos - T-Man SA
Bassie,Ranger - LeeMcKrazy - Amaza - Tman Xpress - M-Touch
Bastille,
Bayanni,
Bazzi,
Bazzi,Camila Cabello
Bazzi,21 Savage
Bea Miller,
Beach Weather,
Bebe Rexha,Doja Cat
Bebe Rexha,
Bebe Rexha,Florida Georgia Line
Bebe Winans,
Becky Hill,Topic
Bella Poarch,
Belly,The Weeknd - Nas
Belly,The Weeknd - Young Thug
Benny Mayengani,
Benny The Butcher,J. Cole
Benson Boone,
Bernice West,Bok Van Blerk
Bernice West,
Beyonc,
Beyonc,Shatta Wale - Major Lazer
Beyonc,Kendrick Lamar
Beyonc,BEAM
Beyonc,Miley Cyrus
Beyonc,Post Malone
Beyonc,JAY-Z - Oumou Sangar - Childish Gambino
Beyonc,Tems - Grace Jones
Bezza,ElGrandeToto
Big Nuz,Dj Yamza
Big Sean,Hit-Boy - A$AP Ferg
Big Sean,Ty Dolla $ign - Jhen Aiko
Big Sean,Nipsey Hussle
Big Sean,
Big Sean,Travis Scott
Big Sean,Post Malone
Big Shaq,
Big Zulu,
Big Zulu,Emtee
Big Zulu,Malungelo - Azana
Big Zulu,Inkabi Nation
Big Zulu,Xowla
Big Zulu,Riky Rick - Intaba Yase Dubai
Big Zulu,Lwah Ndlunkulu
Big Zulu,Mduduzi Ncube - Xowla - Lwah Ndlunkulu - Siya Ntuli
Big Zulu,Mduduzi Ncube - Xowla - Lwah Ndlunkulu - Siya Ntuli
Big Zulu,Mnqobi Yazo
Big Zulu,Ugatsheni
Biggy,
Billie Eilish,
Billie Eilish,ROSALA
Billie Eilish,Justin Bieber
Billie Eilish,Khalid
Bing Crosby,Ken Darby Singers - John Scott Trotter & His Orchestra
Black Coffee,Jozzy - Pharrell Williams
Black Coffee,Karyendasoul - Zhao
Black Coffee,Delilah Montagu - David Guetta
Black Coffee,Una Rams - Tellaman
Black Coffee,RY X
Black Coffee,Mondli Ngcobo
Black Coffee,Usher
Black Coffee,Jinadu - DJ Angelo
Black Coffee,Samthing Soweto
Black Coffee,Diplo - Elderbrook
Black Coffee,Celeste
Black Coffee,Sabrina Claudio
Black Coffee,Msaki
Black Coffee,Maxine Ashley - Sun-El Musician
Black Eyed Peas,
Black Eyed Peas,Ozuna - J. Rey Soul
Black Eyed Peas,J Balvin
Black Motion,Sun-El Musician - Nobuhle
Black Motion,Nokwazi
Black Motion,Brenden Praise
Black Motion,MRDA - Afrikan Roots - Buckz
Black Sherif,
Blacko SA,Scotts Maphuma - Mellow & Sleazy
Blackstreet,Dr. Dre - Queen Pen
Blanco Brown,
Blaq Diamond,
Blaq Diamond,Dumi Mkokstad
Blaq Diamond,Siya Ntuli - Big Zulu
Blaq Major,Bless the Gentleman - DJ KAP
Blaq Major,BLESS THE GENTLEMAN - DJ KAP
Blaq Major,BLESS THE GENTLEMAN - DJ Kap
Blaqnick & MasterBlaq,Major League Djz
Blaqnick & MasterBlaq,M.J - Mellow & Sleazy
Blaqnick & MasterBlaq,Uncle Jo
Blissbouy,Life Enhle
BlocBoy JB,Drake
BlocBoy JB,21 Savage
Blue Ivy,SAINt JHN - Beyonc - WizKid
Blueface,
Blueface,YG - Cardi B
Blxckie,A-Reece
Blxckie,Lucasraps
Blxckie,
Blxckie,Madumane - Chang Cello
Blxckie,FLVME
Blxckie,Nasty C
Blxckie,Nicole Elocin
Blxckie,K1llbrady - Scumie
Blxckie,Mench
Blxst,Ty Dolla $ign - Tyga
Bobby Helms,
Boity,
Boity,Nasty C
Bok Van Blerk,Jay - Ruhan Du Toit - Bobby Van Jaarsveld - Steve Hofmeyr
Bok Van Blerk,Robbie Wessels
Boney M.,
Boohle,Busta 929 - Mpura
Boohle,Busta 929 - Reece Madlisa - Zuma
Boohle,Josiah De Disciple
Boohle,Murumba Pitch - Gaba Cannal
BoyWithUke,blackbear
BoyWithUke,
Boyz II Men,
Brenda Lee,
Brendan Peyper,
Brent Faiyaz,Tre' Amani
Brent Faiyaz,
Brent Faiyaz,Joony
Brent Faiyaz,Alicia Keys
Brent Faiyaz,The Creator - DJ Dahi - Tyler
Brent Faiyaz,Missy Elliott - Lil Gray
Brent Faiyaz,Coco Jones
Brent Faiyaz,A$AP Rocky - N3WYRKLA
Brent Faiyaz,Tommy Richman - FELIX!
Brent Faiyaz,The Neptunes - Drake
Brett Eldredge,Meghan Trainor
Bring Me The Horizon,
Britney Spears,
Bruce Springsteen,
Bruno Mars,Silk Sonic - Thundercat - Bootsy Collins - Anderson .Paak
Bruno Mars,Anderson .Paak - Silk Sonic
Bruno Mars,Cardi B
Bruno Mars,
Bryan Adams,
Bryce Vine,
Bryson Tiller,
Bryson Tiller,Drake
Bukzin Keyz,
Burl Ives,
Burna Boy,
Burna Boy,Dave
Burna Boy,J Hus
Burna Boy,Victony
Burna Boy,Ed Sheeran
Burna Boy,Ladysmith Black Mambazo
Burna Boy,Jorja Smith
Burna Boy,Youssou N'Dour
Burna Boy,Chris Martin
Burna Boy,Stormzy
Burna Boy,Blxst - Kehlani
Burna Boy,Sauti Sol
Bushy B,
Busiswa,Kabza De Small - Vyno Miller - DJ Maphorisa - Mas Musiq
Busta 929,Zuma
Busta 929,Zuma - Boohle
Busta 929,Mafidzodzo
Busta 929,Mzu M - Soulful G - Mgiftoz SA
Busta 929,Mzu M
Busta 929,Lady Du
Busta 929,Boohle
Busta 929,Almighty - Mgiftoz SA
Busta 929,Miano - 20ty Soundz
Busta 929,Mgiftoz SA
Busta 929,
Busta 929,Mr JazziQ - Lady Du - Reece Madlisa - Mpura - Zuma
Busta 929,Lady Du - Almighty
Busta 929,Zuma - Lady Du - Mpura
Busta 929,Thembii. N - Sje Konka - Mpura
Busta 929,Pcee
Busta Rhymes,Kendrick Lamar
CIZA,Jazzworx - Thukuthela
CJ,
CKay,Focalistic - Abidoza - Davido
CKay,
CKay,AX'EL - Dj Yo!
CORPSE,Savage Ga$p
CORPSE,Night Lovell
Caiiro,Ami Faku
Caltonic SA,Masterpiece YVK - Makhadzi - Focalistic
Calum Scott,
Calvin Harris,Rag'n'Bone Man
Calvin Harris,Dua Lipa
Calvin Harris,The Weeknd
Calvin Harris,Young Thug - Dua Lipa
Calvin Harris,Sam Smith - Jessie Reyez
CamelPhat,Elderbrook
Camidoh,Mayorkun - Darkoo - King Promise
Camila Cabello,Ed Sheeran
Camila Cabello,
Camila Cabello,Young Thug
Camila Cabello,Daddy Yankee
Camila Cabello,DaBaby
Camila Cabello,Swae Lee
Camila Cabello,WILLOW
Campmasters,Ezase Afro - We Dem Boyz
Cardi B,21 Savage
Cardi B,
Cardi B,Chance the Rapper
Cardi B,Megan Thee Stallion
Cardi B,Migos
Cardi B,Kanye West - Lil Durk
Cardi B,SZA
Cardi B,J Balvin - Bad Bunny
Cardi B,Bruno Mars
Cardi B,Kehlani
Cardi B,YG
Carolina Gaitn - La Gaita,Stephanie Beatriz - Rhenzy Feliz - Adassa - Diane Guerrero - Encanto - Cast - Mauro Castillo
Cash Cash,ABIR
Cashmere Cat,Tory Lanez - Major Lazer
Cassper Nyovest,Maglera Doe Boy
Cassper Nyovest,
Cassper Nyovest,LuuDaDeejay - Abidoza - Kammu Dee
Cassper Nyovest,Tweezy
Cassper Nyovest,Zola 7
Cassper Nyovest,African Gospel Singers - Tellaman
Cassper Nyovest,Windows 2000 - Nobantu Vilakazi - Alie Keys
Cassper Nyovest,Anthony Hamilton
Cassper Nyovest,Samthing Soweto
Cassper Nyovest,Langa Mavuso
Cassper Nyovest,Nadia Nakai
Cassper Nyovest,PROKID
Cassper Nyovest,Bas - Apu Sebekedi - YoungstaCPT
Cassper Nyovest,Legendary P - Busiswa
Cassper Nyovest,Mo Molemi - Tuks - Khuli Chana - Towdee Mac - HHP - DJ Lemonka
Cassper Nyovest,Phantom Steeze
Cassper Nyovest,Abidoza - Boohle
Cassper Nyovest,RAYE
Cassper Nyovest,WESTSIDE BOOGIE
Cassper Nyovest,Frank Casino
Casswell P,Nobuhle
Casswell P,Master KG - Lwami
Cat Burns,
Ceeka RSA,Tyler ICU - LeeMcKrazy - Khalil Harrison
Central Cee,Lil Baby
Central Cee,Dave
Central Cee,
Central Cee,21 Savage
Central Cee,Lil Durk
Ch'cco,ToooValid
Ch'cco,M.J - QuayR Musiq - Pabi Cooper
Ch'cco,Mellow & Sleazy
Ch'cco,Focalistic - Mellow & Sleazy
Chance the Rapper,
Chance the Rapper,John Legend
Chance the Rapper,Death Cab for Cutie
Chance the Rapper,TisaKorean - Murda Beatz
Chance the Rapper,MadeinTYO - DaBaby
Chappell Roan,
Charli XCX,Troye Sivan
Charli xcx,Billie Eilish
Charlie Puth,
Charlie Puth,Kehlani
Charlie Puth,Jung Kook - BTS
Charlie Puth,Jung Kook - BTS
Chase Atlantic,
Cheat Codes,Little Mix
Chella,
Chike,Mohbad
Childish Gambino,
Chle,
Chle,Chris Brown
Chloe x Halle,
Chris Brown,Lil Baby
Chris Brown,
Chris Brown,Maeta
Chris Brown,Fivio Foreign
Chris Brown,WizKid
Chris Brown,Wizkid
Chris Brown,H.E.R.
Chris Brown,Ink - Justin Bieber
Chris Brown,Young Thug
Chris Brown,Gunna
Chris Brown,EST Gee
Chris Brown,Lil Wayne - Tyga
Chris Brown,Bryson Tiller
Chris Brown,Byron Messia
Chris Brown,Drake
Chris Brown,Fridayy
Chris Brown,BLEU - Lil Wayne
Chris Brown,Jack Harlow
Chris Brown,Davido - Lojay
Chris Brown,Ella Mai
Chris Brown,Blxst
Chris Brown,Future
Chris Brown,Lil Durk - Capella Grey
Chris Brown,G-Eazy - Nicki Minaj
Chris Rea,
Chris Steyn,
Christina Aguilera,
Chrystal,NOTION
ChubbyCheeks,
Chuck Berry,
Cian Ducrot,
Ciara,Chris Brown
Ciara,
Clairo,
Classic Man SmF,
Clean Bandit,Julia Michaels
Clean Bandit,Demi Lovato
Clean Bandit,Zara Larsson
Clean Bandit,Mabel - 24kGoldn
Cline Dion,
Clinton Kane,
Cochise,$NOT
Coi Leray,Nicki Minaj
Coi Leray,
Coldplay,
Coldplay,Selena Gomez
Coldplay,BTS
Combo M,Cuba Beats - Mrnationthingz - Rockess - Ndodana - DJ Sicky - Sickoo
Conan Gray,
Coolio,L.V.
Coolkiid Da Vocalist,
Cordae,Roddy Ricch
Cordae,Anderson .Paak
Costa Titch,Riky Rick - DJ Maphorisa
Costa Titch,Sdida - Alfa Kat - Banaba Des - Man T - CBuda M
Costa Titch,C'buda M - Sdida - Alfa Kat - Banaba Des - Man T
CowBoii,Eltee - Scotts Maphuma - Novatron - Mellow & Sleazy
Curtis Waters,Harm Franklin
Cyfred,Babalwa M - Musa Keys - Soa Mattrix - Snenaah - Kelvin Momo
Cyfred,Scotts Maphuma
Cyfred,Mr JazziQ - Fake Love - Seekay - Mellow & Sleazy
DBN Gogo,Tyler ICU - Eltee - Ceeka RSA - Khalil Harrison - LeeMcKrazy - Tumelo_za
DBN Gogo,Young Stunna - Felo Le Tee - Pabi Cooper
DBN Gogo,TNK MusiQ - DJ Stopper - Eltonk SA
DBN Gogo,Optimist Music ZA - Dinho - Felo Le Tee - Hi Levelz
DBN Gogo,M.J - Mpura - Blaqnick & MasterBlaq - Ama Avenger
DBN Gogo,Kammu Dee - Xduppy - Mpho Spizzy - QuayR Musiq - Boontle RSA
DBN Gogo,Optimist Music ZA - Dinho - Musa Keys - Makhanj - Koek Sista - Lebza TheVillain
DBN Gogo,Stixx - MaWhoo - BoiBizza
DDG,Blueface
DJ Big Sky,Sbhanga - LuuDeDeejay
DJ Big Sky,Sbhanga - Gaba Cannal
DJ Cleo,Bucy Radebe
DJ Cleo,King Zeph - K Sugah
DJ Dadaman,DJ Maphorisa - Mellow & Sleazy - Uncool MC - Uncle Waffles - Ricky Lenyora - Gipa Entertainment
DJ Durel,Migos
