source,streams,count_main_artist,count_track_name
Starboy/RCA Records,1502809,2,8
Armada Music,1497581,1,2
Luxury SA Entertainment,1473290,1,1
REVENGE CLUB RECORDS,1426187,2,21
Thirty Knots/Columbia,1398112,1,1
Sundance Music,1374216,1,1
"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1372995,1,2
Big Beat Records,1359476,2,3
Interscope,1341295,4,8
"Supergiant Records, LLC / Def Jam Recordings",1337261,1,1
Superstar Studios,1336642,3,4
NTS,1336196,2,2
"MSFTSMusic / Roc Nation Records, LLC",1333087,3,6
M2N Services,1327862,1,1
MMG/Atlantic,1320147,1,8
"Thrive Music, LLC",1303541,1,1
Mavin Records / Jonzing World,1265399,1,1
Spinnin' Remixes,1257465,1,1
Soa Family,1243118,1,1
JOZI ENTERTAINMENT,1221449,1,1
Keep Cool/RCA Records,1215609,3,6
NF Real Music,1213511,1,12
Central Cee,1188395,1,1
Warner Bros.,1186947,2,3
5K Records Limited,1181389,1,1
"Surfaces, LLC / TenThousand Projects, LLC",1168450,1,1
Last Kings Music / EMPIRE,1136585,1,6
Warner Music Nashville,1126887,1,1
Kygo/RCA Records,1115334,1,4
Afrotainment,1103576,4,7
XL Recordings,1100951,1,10
Riidiimacool,1096087,1,1
Dlala Records (PTY) Ltd,1086235,1,2
Marshmello/Republic,1079365,1,1
"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",1066410,1,1
"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",1062951,1,15
Kamo Mphela Entertainment,1030676,1,4
Spinnin' Records,1029216,4,4
Muskat,1025919,1,1
RUBBERBVNDGVNG,1008901,1,14
TSNMI / Atlantic,992563,1,13
Getting Out Our Dreams II / Def Jam Recordings,980066,1,12
ICY/Warner Records,956022,1,1
RCA Records Label Nashville,955782,2,2
Neighbourhood,952683,1,6
Bad Boy/Interscope Records,918976,1,6
Perfect Havoc / Asylum Records,915995,1,1
4374710 Records DK,903002,1,1
Rocka Empire,897303,1,2
Mavin Records/Jonzing World,896543,1,1
Metallic Music/1789,857336,1,1
Vth Season/18 Area Holdings,853628,1,2
143/Reprise,847657,1,6
2018,843467,2,2
Not specified,835988,4,4
Parlophone (France),808740,1,9
Syco Music,802208,4,5
Photo Finish Records,791478,1,2
Soweto Music & Entertainment Academy,789933,1,1
Roc Nation/Def Jam/Hollywood,783580,2,3
Lost Kids,773847,1,5
Mavin Records,731436,1,1
Roc Nation W Smith P&D,730718,1,1
Friends Keep Secrets/Def Jam Recordings/Interscope Records,726123,1,1
Dave / Neighbourhood Recordings,724074,1,1
"Three Name Productions, Inc./ Island Records & Republic Records",721389,1,2
Silver Merci,714877,1,1
MER Recordings,690072,1,6
CJ Music Group/T-Series,689098,1,1
1713874 Records DK,686818,1,1
10 Summers / Interscope PS,670400,1,7
"Legendbound, LLC / Def Jam Recordings",665338,1,1
"EP Entertainment, LLC / Def Jam",659431,1,1
A$AP Worldwide/Polo Grounds Music/RCA Records,656700,2,17
Live Rich Entertainment,642586,1,1
Umuthi Othi Thi (Pty) Ltd,641849,1,1
Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,626478,1,1
Roc Nation / Rihanna,626401,1,3
