main_artist,artist_names
Cardi B,Megan Thee Stallion
Carolina Gaitn - La Gaita,Stephanie Beatriz - Rhenzy Feliz - Adassa - Diane Guerrero - Encanto - Cast - Mauro Castillo
Central Cee,Lil Baby
Central Cee,
Chang Kiha,
Chappell Roan,
Charli XCX,
Charli xcx,
Charli xcx,Billie Eilish
Charlie Puth,
Charlie Puth,Jung Kook - BTS
Charlie Puth,Jung Kook
Charlie Puth,Dan + Shay
Charlie Puth,Selena Gomez
Chle,
Choi Yu Ree,
Chris Brown,Young Thug
Chris Brown,
Christopher,
Christopher,CHUNG HA
Clean Bandit,Zara Larsson
Clinton Kane,
Coi Leray,
Colde,RM
Colde,
Colde,BAEKHYUN
Coldplay,
Coldplay,Selena Gomez
Coldplay,BTS
Coldplay,SUGA - BTS
Conan Gray,
Coogie,LeeHi
Coogie,BE'O
Coogie,Crush
Cosmic Boy,youra - Meego
Crash Adams,
Creepy Nuts,
Crush,
Crush,Paul Blanco
Crush,j-hope
Cynthia Erivo,Ariana Grande
D-Hack,PATEKO
D-Hack,
D.Ark,SUPERBEE
D.Ark,CHANGMO
D.O.,
D.O.,Wonstein
DAVICHI,
DAWN ,
DAY6,
DAY6 (Even of Day),
DEAN,FKJ
DEAN,Gaeko
DEAN,
DINDIN,10CM
DJ Khaled,Future - SZA
DJ Khaled,DaBaby - Post Malone - Megan Thee Stallion - Lil Baby
DJ Khaled,21 Savage - Justin Bieber
DJ Khaled,Drake - Lil Baby
DJ Snake,Rich Brian - Rick Ross
DJ Snake,Ozuna - Megan Thee Stallion - LISA
DJ Snake,Selena Gomez
DK,
DOKYEOM,
DON MALIK,Whee In - JUSTHIS
DON MALIK,BIG Naughty - JUSTHIS
DON MALIK,JUSTHIS - Paloalto
DOYOUNG,
DPR IAN,
DPR IAN,DPR LIVE - CL
DPR LIVE,
DPR LIVE,DPR IAN
DPR LIVE,peace. - DPR IAN
DPR LIVE,Beenzino - HWASA
DPR LIVE,Crush - eaJ
DaBaby,Roddy Ricch
DallasK,Lauv
Dan + Shay,Justin Bieber
Daniel Caesar,
Daniel Caesar,H.E.R.
Dave,Central Cee
David Guetta,Ty Dolla $ign - Bebe Rexha - A Boogie Wit da Hoodie
David Guetta,Bebe Rexha - AFROJACK - Nicki Minaj
David Guetta,Bebe Rexha
David Kushner,
Dean Lewis,
Dean Martin,
Demi Lovato,
Demi Lovato,Ariana Grande
Dhruv,
Djo,
Doechii,
Doja Cat,
Doja Cat,Ariana Grande
Doja Cat,SZA
Doja Cat,The Weeknd
Dominic Fike,
Don Mills,Dbo - Khakii - SUMIN
Don Mills,A-chess - Khakii - northfacegawd - sokodomo
Don Toliver,Travis Scott
Don Toliver,j-hope - Speedy - Pharrell Williams
Dove Cameron,
Drake,
Drake,21 Savage
Drake,Travis Scott
Drake,J. Cole
Drake,Tems
Drake,Ty Dolla $ign
Drake,Lil Baby
Drake,Yeat
Drake,Kid Cudi
Drake,Lil Durk - Giveon
Drake,Project Pat - 21 Savage
Drake,Lil Durk
Drake,Rick Ross
Drake,JAY-Z
Drake,Future
Drake,21 Savage - Travis Scott
Drake,SZA
Drake,Young Thug - Future
Drake,Yebba
Drake,Lil Wayne - Rick Ross
Dua Lipa,
Dua Lipa,DaBaby
Duke & Jones,Louis Theroux
Duncan Laurence,
Dynamicduo,DJ Premier
Dynamicduo,
Dynamicduo,Lee Young Ji
E SENS,Beenzino
E SENS,Jibin
E SENS,
E SENS,Dok2
ECLIPSE,
ENHYPEN,
ESEGYE,
EXID,
EXO,
Earth,Wind & Fire
Ed Sheeran,
Ed Sheeran,Lil Baby
Ed Sheeran,Khalid
Ed Sheeran,Elton John
Ed Sheeran,Taylor Swift
Ed Sheeran & Justin Bieber,Justin Bieber
Elley Duh,
Elton John,Charlie Puth
Elton John,PNAU - Dua Lipa
Elton John,Britney Spears
Elton John,
ElyOtto,
Em Beihold,
Eminem,
Emmy Meli,
En Butter,
Engel Montaz,Latinnites Music - Kuv507
