main_artist,unique collaborators,streams
Artwork Sounds,Bee bar,46330.71428571428
Artwork Sounds,Kabza De Small,46330.71428571428
Audiomarc,Blxckie,31017.75
Audiomarc,Nasty C,31017.75
August Alsina,Rick Ross,18569.0
Avicii,Agnes,10175.5
Avicii,Aloe Blacc,17324.09677419355
Avicii,Nicky Romero,2875.0
Avicii,Rita Ora,4566.928571428572
Avicii,Sandro Cavazza,5964.179487179487
Avicii,Vargas & Lagola,10175.5
Avril Lavigne,Nicki Minaj,8058.0
Aymos,Ami Faku,179558.8
Aymos,Boohle,37303.0
Aymos,Focalistic,35979.0
Aymos,Jessica LM,54959.5
Aymos,Josiah De Disciple,36198.5
Aymos,Major League Djz,36198.5
Aymos,Mas Musiq,29745.043478260868
BENEE,Gus Dapperton,22672.583333333332
BIA,J. Cole,36795.4
BIA,Nicki Minaj,25488.75
BLACKPINK,Cardi B,19422.0
BLACKPINK,Selena Gomez,25485.166666666668
BLEU,Drake,19858.666666666668
BLEU,Nicki Minaj,30861.0
BLUE TAPE,A,39133.0
BLUE TAPE,Jay Jody,39133.0
BLUE TAPE,Reece,39133.0
BTS,Charli XCX,10461.0
BTS,Halsey,14414.76923076923
BTS,Lauv,14778.0
BTS,Megan Thee Stallion,33147.0
BTS,Nicki Minaj,5219.333333333333
BTS,Sia,15431.5
BTS,Steve Aoki,4826.0
Baby Keem,Brent Faiyaz,25441.166666666668
Baby Keem,Don Toliver,25398.0
Baby Keem,Kendrick Lamar,43355.58620689655
Baby Keem,Travis Scott,28424.166666666668
Baby S.O.N,Kelvin Momo,62330.0
Baby S.O.N,Mashudu,62330.0
Baby S.O.N,Stixx,62330.0
Bad Bunny,Drake,11265.75
Bad Bunny,Jhay Cortez,16768.0
Balcony Mix Africa,Aunty Gelato,38330.857142857145
Balcony Mix Africa,Focalistic,38330.857142857145
Balcony Mix Africa,Lady Du,38330.857142857145
Balcony Mix Africa,LuuDaDeejay,38330.857142857145
Balcony Mix Africa,Major League Djz,37706.0
Balcony Mix Africa,Mathandos,33332.0
Balcony Mix Africa,Murumba Pitch,33332.0
Balcony Mix Africa,Omit ST,33332.0
Balcony Mix Africa,S.O.N,33332.0
Bas,J. Cole,18934.5
Bas,Lil Tjay,31170.0
Bazzi,21 Savage,11867.0
Bazzi,Camila Cabello,12215.666666666666
Bebe Rexha,Doja Cat,17656.5
Bebe Rexha,Florida Georgia Line,9061.957894736843
Becky Hill,Topic,25048.833333333332
Belly,Nas,21534.0
Belly,The Weeknd,22621.0
Belly,Young Thug,23708.0
Benny The Butcher,J. Cole,32674.5
Beyonc,BEAM,44744.333333333336
Beyonc,Childish Gambino,17839.5
Beyonc,Grace Jones,45470.5
Beyonc,JAY,17839.5
Beyonc,Kendrick Lamar,45065.333333333336
Beyonc,Major Lazer,15825.8
Beyonc,Oumou Sangar,17839.5
Beyonc,Shatta Wale,15825.8
Beyonc,Tems,45470.5
Beyonc,Z,17839.5
Bezza,ElGrandeToto,34485.0
Big Nuz,Dj Yamza,120038.89655172414
Big Sean,A$AP Ferg,9816.0
Big Sean,Hit,9816.0
Big Sean,Jhen Aiko,18583.0
Big Sean,Nipsey Hussle,19970.0
Big Sean,Post Malone,21649.409090909092
Big Sean,Travis Scott,27119.0
Big Sean,Ty Dolla $ign,18583.0
Big Sean,Boy,9816.0
Big Zulu,Intaba Yase Dubai,42764.23529411765
Big Zulu,Lwah Ndlunkulu,56181.148148148146
Big Zulu,Mduduzi Ncube,60371.21276595745
Big Zulu,Mnqobi Yazo,25129.0
Big Zulu,Riky Rick,42764.23529411765
Big Zulu,Siya Ntuli,60371.21276595745
Big Zulu,Xowla,50401.14864864865
Billie Eilish,Justin Bieber,18544.444444444445
Billie Eilish,Khalid,27876.65168539326
Billie Eilish,ROSALA,28630.333333333332
Bing Crosby,John Scott Trotter & His Orchestra,23959.8
Bing Crosby,Ken Darby Singers,23959.8
Black Coffee,Celeste,23070.333333333332
Black Coffee,DJ Angelo,25946.0
Black Coffee,David Guetta,15519.648648648648
Black Coffee,Delilah Montagu,15519.648648648648
Black Coffee,Diplo,22476.75
Black Coffee,Elderbrook,22476.75
Black Coffee,Jinadu,25946.0
Black Coffee,Jozzy,21535.0
Black Coffee,Karyendasoul,5749.0
Black Coffee,Maxine Ashley,19558.2
Black Coffee,Mondli Ngcobo,6007.0
Black Coffee,Msaki,11033.0
Black Coffee,Pharrell Williams,21535.0
Black Coffee,RY X,19378.5
Black Coffee,Sabrina Claudio,20009.75
Black Coffee,Samthing Soweto,6909.0
Black Coffee,Sun,19558.2
Black Coffee,Tellaman,25309.0
Black Coffee,Una Rams,25309.0
Black Coffee,Usher,12075.3
Black Coffee,Zhao,5749.0
Black Coffee,El Musician,19558.2
Black Eyed Peas,J Balvin,14220.375
Black Eyed Peas,J. Rey Soul,11926.0
Black Eyed Peas,Ozuna,11926.0
Black Motion,Brenden Praise,7330.5
Black Motion,Nobuhle,16512.0
Black Motion,Nokwazi,2071.0
Black Motion,Sun,16512.0
Black Motion,El Musician,16512.0
Blackstreet,Dr. Dre,2351.0
Blackstreet,Queen Pen,2351.0
Blaq Diamond,Big Zulu,54661.39473684211
Blaq Diamond,Dumi Mkokstad,22325.285714285714
Blaq Diamond,Siya Ntuli,54661.39473684211
Blaqnick & MasterBlaq,M.J,28935.0
Blaqnick & MasterBlaq,Major League Djz,45302.5
Blaqnick & MasterBlaq,Mellow & Sleazy,28935.0
Blaqnick & MasterBlaq,Uncle Jo,24437.0
BlocBoy JB,21 Savage,3271.0
BlocBoy JB,Drake,8849.265306122448
Blue Ivy,Beyonc,16845.61111111111
Blue Ivy,SAINt JHN,16845.61111111111
Blue Ivy,WizKid,16845.61111111111
Blueface,Cardi B,8847.0
Blueface,YG,8847.0
Blxckie,A,46297.72727272727
Blxckie,Chang Cello,34461.28571428572
Blxckie,FLVME,29124.0
Blxckie,K1llbrady,36409.0
Blxckie,Lucasraps,27888.5
Blxckie,Madumane,34461.28571428572
Blxckie,Mench,61272.0
Blxckie,Nasty C,35835.25
Blxckie,Nicole Elocin,31478.0
Blxckie,Scumie,36409.0
Blxckie,Reece,46297.72727272727
Blxst,Ty Dolla $ign,24524.8125
Blxst,Tyga,24524.8125
Boity,Nasty C,8357.5
Bok Van Blerk,Bobby Van Jaarsveld,16613.25
Bok Van Blerk,Jay,16613.25
Bok Van Blerk,Robbie Wessels,5666.0
Bok Van Blerk,Ruhan Du Toit,16613.25
Bok Van Blerk,Steve Hofmeyr,16613.25
Boohle,Busta 929,35779.666666666664
Boohle,Gaba Cannal,43643.833333333336
Boohle,Josiah De Disciple,21091.380952380954
Boohle,Mpura,25173.0
Boohle,Murumba Pitch,43643.833333333336
Boohle,Reece Madlisa,36537.28571428572
Boohle,Zuma,36537.28571428572
BoyWithUke,blackbear,26860.14285714286
Brent Faiyaz,Alicia Keys,56597.0
Brent Faiyaz,DJ Dahi,34031.6
Brent Faiyaz,Drake,34857.444444444445
Brent Faiyaz,Joony,52195.0
Brent Faiyaz,The Creator,34031.6
Brent Faiyaz,The Neptunes,34857.444444444445
Brent Faiyaz,Tre' Amani,49129.0
Brent Faiyaz,Tyler,34031.6
Brett Eldredge,Meghan Trainor,23182.666666666668
Bruno Mars,Anderson .Paak,42836.47727272727
Bruno Mars,Bootsy Collins,27842.0
Bruno Mars,Cardi B,4275.2
Bruno Mars,Silk Sonic,42836.47727272727
Bruno Mars,Thundercat,27842.0
Bryson Tiller,Drake,25091.14285714286
Burna Boy,Blxst,29506.0
Burna Boy,Chris Martin,18164.0
Burna Boy,Ed Sheeran,86215.16326530612
Burna Boy,J Hus,35319.0
Burna Boy,Jorja Smith,11982.0
Burna Boy,Kehlani,29506.0
Burna Boy,Ladysmith Black Mambazo,33880.0
Burna Boy,Sauti Sol,14371.0
Burna Boy,Stormzy,16650.0
Burna Boy,Victony,36086.333333333336
Burna Boy,Youssou N'Dour,17207.0
Busiswa,DJ Maphorisa,15868.0
Busiswa,Kabza De Small,15868.0
Busiswa,Mas Musiq,15868.0
Busiswa,Vyno Miller,15868.0
Busta 929,20ty Soundz,35247.76470588235
Busta 929,Almighty,25198.5
Busta 929,Boohle,73793.56944444444
Busta 929,Lady Du,53661.596774193546
Busta 929,Mafidzodzo,31632.166666666668
Busta 929,Mgiftoz SA,27552.75
Busta 929,Miano,35247.76470588235
Busta 929,Mpura,55291.06779661017
Busta 929,Mr JazziQ,56177.59649122807
Busta 929,Mzu M,77690.15
Busta 929,Reece Madlisa,56177.59649122807
Busta 929,Sje Konka,26828.0
Busta 929,Soulful G,23807.0
Busta 929,Thembii. N,26828.0
Busta 929,Zuma,47082.229166666664
Busta Rhymes,Kendrick Lamar,18127.0
CKay,AX'EL,40074.07142857143
CKay,Abidoza,28008.0
CKay,Davido,28008.0
CKay,Dj Yo!,40074.07142857143
CKay,Focalistic,28008.0
CORPSE,Night Lovell,26136.0
CORPSE,Savage Ga$p,17100.333333333332
Caltonic SA,Focalistic,27177.0
Caltonic SA,Makhadzi,27177.0
Caltonic SA,Masterpiece YVK,27177.0
Calvin Harris,Dua Lipa,11145.627450980392
Calvin Harris,Jessie Reyez,15261.318181818182
Calvin Harris,Rag'n'Bone Man,14033.9
Calvin Harris,Sam Smith,15261.318181818182
Calvin Harris,The Weeknd,20821.6
Calvin Harris,Young Thug,31637.5
CamelPhat,Elderbrook,2090.0
Camidoh,Darkoo,30388.0
Camidoh,King Promise,30388.0
Camidoh,Mayorkun,30388.0
Camila Cabello,DaBaby,25118.689655172413
Camila Cabello,Daddy Yankee,2116.0
Camila Cabello,Ed Sheeran,39001.42857142857
Camila Cabello,Swae Lee,4210.0
Camila Cabello,WILLOW,23328.0
Camila Cabello,Young Thug,8210.823529411764
Cardi B,21 Savage,3649.0
Cardi B,Bad Bunny,10693.538461538461
Cardi B,Bruno Mars,14459.15
Cardi B,Chance the Rapper,3863.5
Cardi B,J Balvin,10693.538461538461
Cardi B,Kanye West,37394.75
Cardi B,Kehlani,4385.0
Cardi B,Lil Durk,37394.75
Cardi B,Megan Thee Stallion,46219.8679245283
Cardi B,Migos,4075.8333333333335
Cardi B,SZA,3994.8
Cardi B,YG,3064.0
Carolina Gaitn - La Gaita,Adassa,35415.933333333334
Carolina Gaitn - La Gaita,Cast,35415.933333333334
Carolina Gaitn - La Gaita,Diane Guerrero,35415.933333333334
Carolina Gaitn - La Gaita,Encanto,35415.933333333334
