main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Max Song Count per artist,Max Weeks on Chart per song,first_week_rank,first_week_streams,Max Artist Appearance,encoded_source
Taylor Swift,Sweet Nothing,36064,21216,57280,28640.0,76,88,14848,2.1578947368421053,1.6998491704374057,31,2,76,36064,128,352
Taylor Swift,This Love (Taylors Version),18102,18102,18102,18102.0,106,0,0,1.0,1.0,31,1,106,18102,128,352
Taylor Swift,Vigilante Shit,44104,19021,90452,30150.666666666668,55,143,25083,3.6,2.3187003837863416,31,3,55,44104,128,352
Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),9266,9266,9266,9266.0,195,0,0,1.0,1.0,31,1,195,9266,128,352
Taylor Swift,Wildest Dreams (Taylor's Version),15699,10947,38350,12783.333333333334,67,55,4752,1.8208955223880596,1.4340915319265553,31,3,116,11704,128,352
Taylor Swift,You All Over Me (feat. Maren Morris) (Taylors Version) (From The Vault),14850,8415,33376,11125.333333333334,65,108,6435,2.6615384615384614,1.7647058823529411,31,3,65,14850,128,352
Taylor Swift,"You're On Your Own, Kid",56989,20877,142403,35600.75,35,132,36112,4.771428571428571,2.7297504430713224,31,4,35,56989,128,352
Taylor Swift,willow,22169,8245,112738,12526.444444444445,25,152,13924,7.08,2.6887810794420863,31,9,58,14290,128,352
Tei,Monologue,30839,19492,531679,24167.227272727272,87,112,11347,2.2873563218390807,1.5821362610301661,22,22,165,20069,21,312
The 1975,I'm In Love With You,20344,20344,20344,20344.0,132,0,0,1.0,1.0,1,1,132,20344,1,111
The 1975,Oh Caroline,20116,20116,20116,20116.0,171,0,0,1.0,1.0,1,1,171,20116,1,111
The Birthday,LOVE ROCKETS,28017,21051,147659,24609.833333333332,118,82,6966,1.694915254237288,1.3309106455750321,6,6,130,25564,5,366
The Black Skirts,Baptized In Fire,18918,18918,18918,18918.0,178,0,0,1.0,1.0,49,1,178,18918,62,102
The Black Skirts,Cicadas,18576,18576,18576,18576.0,184,0,0,1.0,1.0,49,1,184,18576,62,102
The Black Skirts,EVERYTHING,25944,13205,1045392,21334.530612244896,110,87,12739,1.790909090909091,1.964710336993563,49,49,192,13205,62,103
The Black Skirts,Flying Bobs,21551,21551,21551,21551.0,139,0,0,1.0,1.0,49,1,139,21551,62,102
The Black Skirts,Girl Scout!,13697,13697,13697,13697.0,77,0,0,1.0,1.0,49,1,77,13697,62,115
The Black Skirts,Heavy Rain,12087,12087,12087,12087.0,92,0,0,1.0,1.0,49,1,92,12087,62,115
The Black Skirts,Kleenex,13054,13054,13054,13054.0,82,0,0,1.0,1.0,49,1,82,13054,62,115
The Black Skirts,Min,19922,19922,19922,19922.0,160,0,0,1.0,1.0,49,1,160,19922,62,102
The Black Skirts,My Little Lambs,18330,17271,35601,17800.5,158,34,1059,1.2151898734177216,1.0613166579815876,49,2,158,17271,62,114
The Black Skirts,My Little Lambs,18330,17271,35601,17800.5,158,34,1059,1.2151898734177216,1.0613166579815876,49,2,158,17271,62,102
The Black Skirts,Plain Jane,11233,11233,11233,11233.0,106,0,0,1.0,1.0,49,1,106,11233,62,115
The Black Skirts,Sunday Girl,19364,19364,19364,19364.0,173,0,0,1.0,1.0,49,1,173,19364,62,102
The Black Skirts,Two Days,17248,10827,28075,14037.5,50,66,6421,2.32,1.593054401034451,49,2,50,17248,62,115
The Black Skirts,When I Think Of You,11905,11905,11905,11905.0,96,0,0,1.0,1.0,49,1,96,11905,62,115
The Chainsmokers,Closer,13171,8279,366326,9392.97435897436,114,86,4892,1.7543859649122806,1.5908926198816282,39,39,134,13171,74,113
The Chainsmokers,High,21904,12477,129734,16216.75,50,120,9427,3.4,1.7555502123907991,39,8,50,21904,74,113
The Chainsmokers,I Love U,16276,16276,16276,16276.0,142,0,0,1.0,1.0,39,1,142,16276,74,113
The Chainsmokers,Riptide,14475,14475,14475,14475.0,161,0,0,1.0,1.0,39,1,161,14475,74,113
The Chainsmokers,Something Just Like This,11024,7725,173963,8698.15,133,67,3299,1.5037593984962405,1.4270550161812299,39,20,193,11024,74,113
The Chainsmokers,iPad,22938,13253,97031,16171.833333333334,52,126,9685,3.423076923076923,1.7307779370708518,39,6,52,22938,74,113
The Game,Eazy,14164,14164,14164,14164.0,107,0,0,1.0,1.0,1,1,107,14164,0,6
The Kid LAROI,LOVE AGAIN,42877,21268,150498,30099.6,57,133,21609,3.3333333333333335,2.0160334775249202,98,5,112,28352,136,93
The Kid LAROI,NOT SOBER (feat. Polo G & Stunna Gambino),21117,10192,73899,14779.8,58,94,10925,2.6206896551724137,2.071919152276295,98,5,58,21117,136,93
The Kid LAROI,STAY (with Justin Bieber),151778,36185,6184722,63109.4081632653,1,92,115593,93.0,4.194500483625812,98,98,3,122824,136,93
The Kid LAROI,Thousand Miles,43380,16179,177092,25298.85714285714,30,142,27201,5.733333333333333,2.6812534767290934,98,7,30,43380,136,93
The Kid LAROI,WITHOUT YOU,17040,8844,238175,11908.75,33,167,8196,6.0606060606060606,1.9267299864314789,98,20,142,9482,136,93
The Kid LAROI,WITHOUT YOU (with Miley Cyrus),18366,14207,32573,16286.5,43,27,4159,1.627906976744186,1.2927430140071796,98,2,43,18366,136,93
The Ronettes,Sleigh Ride,15835,10717,41573,13857.666666666666,97,84,5118,1.865979381443299,1.47755901838201,3,3,181,10717,2,208
The Stray,", ",12135,11515,23650,11825.0,190,8,620,1.0421052631578946,1.0538428137212332,2,2,198,11515,1,429
The Volunteers,Let me go!,10577,10577,10577,10577.0,142,0,0,1.0,1.0,4,1,142,10577,6,72
The Volunteers,PINKTOP,9757,9757,9757,9757.0,162,0,0,1.0,1.0,4,1,162,9757,6,72
The Volunteers,Summer,13616,9706,45538,11384.5,88,103,3910,2.1704545454545454,1.4028436018957346,4,4,88,13616,6,72
The Volunteers,Violet,9317,9317,9317,9317.0,174,0,0,1.0,1.0,4,1,174,9317,6,72
The Walters,I Love You So,18065,8827,346376,13855.04,63,131,9238,3.0793650793650795,2.0465616857369433,25,25,194,8827,24,387
The Weeknd,A Tale By Quincy,26459,12687,39146,19573.0,49,93,13772,2.8979591836734695,2.08552061164972,114,2,49,26459,414,393
The Weeknd,Best Friends,30598,16725,47323,23661.5,40,33,13873,1.825,1.8294768310911809,114,2,40,30598,414,393
The Weeknd,Blinding Lights,32871,13621,2239480,19644.56140350877,8,190,19250,24.75,2.413258938403935,114,114,37,17826,414,292
The Weeknd,Dawn FM,30660,14078,44738,22369.0,38,71,16582,2.8684210526315788,2.177866174172468,114,2,38,30660,414,393
The Weeknd,Die For You,54850,19028,1861081,39597.46808510638,36,91,35822,3.5277777777777777,2.882594071894051,114,47,127,19028,414,371
The Weeknd,Die For You (with Ariana Grande) - Remix,111259,42890,691929,62902.63636363636,8,81,68369,11.125,2.594054558172068,114,13,8,111259,414,393
The Weeknd,Die For You - Remix,131328,108000,239328,119664.0,7,5,23328,1.7142857142857142,1.216,114,2,12,108000,414,393
The Weeknd,Dont Break My Heart,20261,20261,20261,20261.0,64,0,0,1.0,1.0,114,1,64,20261,414,393
The Weeknd,Double Fantasy (with Future),58782,35170,93952,46976.0,62,49,23612,1.7903225806451613,1.6713676428774524,114,2,62,58782,414,292
The Weeknd,Every Angel is Terrifying,20395,20395,20395,20395.0,63,0,0,1.0,1.0,114,1,63,20395,414,393
The Weeknd,Gasoline,37832,13145,72360,24120.0,20,112,24687,6.6,2.8780524914416126,114,3,20,37832,414,393
The Weeknd,"Here We Go Again (feat. Tyler, the Creator)",38844,10011,86612,21653.0,19,163,28833,9.578947368421053,3.8801318549595445,114,4,19,38844,414,393
The Weeknd,How Do I Make You Love Me?,36700,11506,67985,22661.666666666668,25,137,25194,6.48,3.1896401877281417,114,3,25,36700,414,393
The Weeknd,I Feel It Coming,10079,7779,52617,8769.5,86,95,2300,2.104651162790698,1.2956678236277157,114,6,135,8051,414,371
The Weeknd,I Heard Youre Married (feat. Lil Wayne),30297,12844,43141,21570.5,41,94,17453,3.292682926829268,2.3588445966988476,114,2,41,30297,414,393
The Weeknd,In Your Eyes,9198,6777,38545,7709.0,104,77,2421,1.7403846153846154,1.3572377158034528,114,5,104,9198,414,292
The Weeknd,Is There Someone Else?,35665,12540,108780,21756.0,27,105,23125,4.888888888888889,2.844098883572568,114,5,27,35665,414,393
The Weeknd,Less Than Zero,29562,12415,61780,20593.333333333332,45,102,17147,3.2666666666666666,2.381151832460733,114,3,45,29562,414,393
The Weeknd,Nothing Is Lost (You Give Me Strength),23338,20842,44180,22090.0,168,29,2496,1.1726190476190477,1.1197581805968717,114,2,168,23338,414,159
The Weeknd,Out of Time,59833,20477,1873947,28829.953846153847,7,188,39356,27.857142857142858,2.9219612247887876,114,65,9,59833,414,393
The Weeknd,Phantom Regret by Jim,15408,15408,15408,15408.0,95,0,0,1.0,1.0,114,1,95,15408,414,393
The Weeknd,Sacrifice,67386,11578,309005,28091.363636363636,5,188,55808,38.6,5.820176196234238,114,11,5,67386,414,393
The Weeknd,Save Your Tears,39886,10015,545517,22729.875,3,181,29871,61.333333333333336,3.982626060908637,114,24,29,18890,414,292
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,21885,16282,569004,18966.8,66,132,5603,3.0,1.344122343692421,114,77,72,20335,414,393
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),60679,15628,1358960,28914.042553191488,8,88,45051,12.0,3.8827105195802405,114,47,8,49088,414,292
The Weeknd,Starry Eyes,24911,11958,36869,18434.5,54,106,12953,2.962962962962963,2.083207894296705,114,2,54,24911,414,393
The Weeknd,Take My Breath,32966,11172,62735,20911.666666666668,32,138,21794,5.3125,2.950769781596849,114,3,32,32966,414,393
The Weeknd,Take My Breath - Single Version,57641,12269,356271,25447.928571428572,10,97,45372,10.7,4.698100904719211,114,14,10,57641,414,393
The Weeknd,The Hills,6833,6833,6833,6833.0,182,0,0,1.0,1.0,114,1,182,6833,414,371
Tion Wayne,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",8155,8155,8155,8155.0,185,0,0,1.0,1.0,1,1,185,8155,0,46
Tisto,The Business,11159,8107,112843,9403.583333333334,90,108,3052,2.2,1.3764647835204145,18,12,127,8377,29,45
Tisto,The Motto,13966,9383,212507,11805.944444444445,153,46,4583,1.3006535947712419,1.488436534157519,18,18,172,9383,29,45
Tom Grennan,Little Bit of Love,14752,9658,185457,11591.0625,103,66,5094,1.6407766990291262,1.5274383930420377,16,16,125,10514,15,168
Tones And I,Dance Monkey,7575,6813,21733,7244.333333333333,158,11,762,1.0696202531645569,1.1118450022016733,3,3,158,7345,2,125
Tophyun,Horangsuwolga,15498,11285,113568,12618.666666666666,84,95,4213,2.130952380952381,1.3733274257864423,9,9,157,11630,15,357
Tophyun,Tell me you love me,19981,17332,130904,18700.571428571428,127,71,2649,1.5590551181102361,1.1528386798984538,9,7,145,17399,15,358
Travis Scott,ESCAPE PLAN,29003,9458,53728,17909.333333333332,29,162,19545,6.586206896551724,3.066504546415733,22,3,29,29003,25,83
Travis Scott,Goosebumps - Remix,15909,8121,269641,12256.40909090909,38,157,7788,5.131578947368421,1.9589951976357591,22,22,194,8121,25,83
