main_artist,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
Aubrey Qwana,20777,12954,297865,16548.055555555555,105,1,86,7823,1.819047619047619,1.6039061293808863,0
Audiomarc,46168,24647,124071,31017.75,42,7,122,21521,3.9047619047619047,1.8731691483750559,8
August Alsina,20668,16470,37138,18569.0,83,1,65,4198,1.783132530120482,1.2548876745598057,6
Ava Max,33962,6511,3166830,17496.298342541435,8,77,191,27451,24.875,5.216095837812932,6
Avicii,29840,1030,1949197,10152.067708333334,7,1,193,28810,28.571428571428573,28.97087378640777,7
Avril Lavigne,10974,4894,169525,7705.681818181818,53,1,135,6080,3.547169811320755,2.2423375561912544,7
Axwell /\ Ingrosso,7135,2170,257439,4767.388888888889,89,2,110,4965,2.235955056179775,3.2880184331797233,4
Aymos,44627,21833,900888,31065.103448275862,39,1,158,22794,5.051282051282051,2.0440159391746437,8
Azana,25071,16497,229266,20842.363636363636,99,9,96,8574,1.9696969696969697,1.5197308601563921,6
BANNERS,21280,15047,233970,16712.14285714286,158,1,39,6233,1.2468354430379747,1.414235395759952,0
BENEE,30285,14981,544142,22672.583333333332,36,2,131,15304,4.638888888888889,2.0215606434817435,2
BIA,57427,21190,378618,34419.818181818184,33,1,161,36237,5.878787878787879,2.710099103350637,3
BLACKPINK,33851,7581,552328,19045.793103448275,37,29,160,26270,5.324324324324325,4.46524205249967,6
BLEU,22700,16572,178728,19858.666666666668,123,16,50,6128,1.4065040650406504,1.3697803524016414,6
BRNS,21719,13883,456480,19020.0,95,7,105,7836,2.1052631578947367,1.5644313188792047,6
BROCKHAMPTON,18113,9055,147136,14713.6,80,3,98,9058,2.225,2.0003313086692436,0
BTS,104507,3019,3490397,25110.769784172662,3,4,197,101488,66.66666666666667,34.61642928121895,2
Baby Keem,99584,19359,2542882,37953.46268656717,15,1,184,80225,13.266666666666667,5.1440673588511805,3
Bad Bunny,17342,6864,320682,11877.111111111111,19,3,172,10478,10.052631578947368,2.5265151515151514,0
Bad Wolves,2707,1234,8715,2178.75,68,5,116,1473,2.7058823529411766,2.193679092382496,4
Balcony Mix Africa,59993,22262,268316,38330.857142857145,37,1,160,37731,5.324324324324325,2.694861198454766,3
Band Aid,38905,5666,138774,23129.0,31,19,166,33239,6.354838709677419,6.866396046593717,2
Bas,38114,4751,75738,18934.5,50,18,111,33363,3.22,8.0223110924016,6
Bastille,7335,7335,7335,7335.0,175,1,0,0,1.0,1.0,7
Bazzi,22017,2660,2709175,11383.088235294117,13,8,187,19357,15.384615384615385,8.277067669172933,7
Bea Miller,20151,14068,88184,17636.8,120,26,79,6083,1.6583333333333334,1.4323997725334092,6
Bebe Rexha,19783,2353,1458939,9005.796296296296,19,2,180,17430,10.473684210526315,8.407564810879729,7
Becky Hill,27057,23088,300586,25048.833333333332,143,4,57,3969,1.3986013986013985,1.1719074844074844,2
Bella Poarch,43798,22288,396741,33061.75,42,5,130,21510,4.095238095238095,1.9650933237616655,8
Belly,23708,21534,45242,22621.0,132,1,67,2174,1.5075757575757576,1.1009566267298225,2
Benny The Butcher,46715,24386,130698,32674.5,45,2,154,22329,4.4222222222222225,1.9156483228081687,8
Benson Boone,33062,23719,200143,28591.85714285714,87,4,94,9343,2.0804597701149423,1.3939036215692062,8
Bernice West,25412,16833,801124,20028.1,105,1,94,8579,1.8952380952380952,1.5096536565080496,6
Beyonc,24791,2278,721606,10770.23880597015,22,1,178,22513,9.090909090909092,10.882791922739244,7
Big Sean,32075,9816,675922,20482.484848484848,41,1,154,22259,4.7560975609756095,3.2676242868785654,6
Big Shaq,3208,2545,8456,2818.6666666666665,91,1,56,663,1.6153846153846154,1.2605108055009824,4
Big Zulu,128630,19215,1318071,36613.083333333336,1,1,198,109415,199.0,6.694249284413218,3
Biggy,44432,10103,723323,24942.172413793105,6,2,178,34329,30.666666666666668,4.397901613382164,2
Billie Eilish,99710,3436,20180193,20868.86556359876,1,1,199,96274,200.0,29.01920838183935,6
